#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent Trends in the Identification of Incidental Pulmonary Nodules. Am J Respir Crit Care Med. 2015;192.",Recent Trends in the Identification of Incidental Pulmonary Nodules,Am J Respir Crit Care Med,2015,192,,,,,Gould MK; Tang T; Liu IL
2,"Lung N, Trial Research S, Team, Aberle DR, Adams AM. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,Lung N; Trial Research S; Team; Aberle DR; Adams AM
3,"Yousaf-Khan U, Van Der Aalst C, Jong PA. Final screening round of the NELSON lung cancer screening trial: the effect of a 2.5-year screening interval. Thorax. 2017;72.",Final screening round of the NELSON lung cancer screening trial: the effect of a 2.5-year screening interval,Thorax,2017,72,,,,,Yousaf-Khan U; Van Der Aalst C; Jong PA
4,Murgu SD. Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions. BMC Pulm Med. 2019;19:89.,Robotic assisted-bronchoscopy: technical tips and lessons learned from the initial experience with sampling peripheral lung lesions,BMC Pulm Med,2019,19,,89,,,Murgu SD
5,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143.","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,,,,,Gould MK; Donington J; Lynch WR
6,"Ettinger DS, Aisner DL, Wood DE. NCCN Guidelines Insights: Non-Small Cell Lung Cancer, Version 5. J Natl Compr Canc Netw. 2018;16.","NCCN Guidelines Insights: Non-Small Cell Lung Cancer, Version 5",J Natl Compr Canc Netw,2018,16,,,,,Ettinger DS; Aisner DL; Wood DE
7,"Folch EE, Pritchett MA, Nead MA. Electromagnetic Navigation Bronchoscopy for Peripheral Pulmonary Lesions: One-Year Results of the Prospective, Multicenter NAVIGATE Study. J Thorac Oncol. 2019;14.","Electromagnetic Navigation Bronchoscopy for Peripheral Pulmonary Lesions: One-Year Results of the Prospective, Multicenter NAVIGATE Study",J Thorac Oncol,2019,14,,,,,Folch EE; Pritchett MA; Nead MA
8,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7.",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,,,,,Dibardino DM; Yarmus LB; Semaan RW
9,"Leal Ghezzi T, Corleta C, O. 30 Years of Robotic Surgery. World J Surg. 2016;40.",30 Years of Robotic Surgery,World J Surg,2016,40,,,,,Leal Ghezzi T; Corleta C; O
10,"Shah J, Vyas A, Vyas D. The History of Robotics in Surgical Specialties. Am J Robot Surg. 2014;1.",The History of Robotics in Surgical Specialties,Am J Robot Surg,2014,1,,,,,Shah J; Vyas A; Vyas D
11,"Chen AC, Gillespie CT. Robotic Endoscopic Airway Challenge: REACH Assessment. Ann Thorac Surg. 2018;106.",Robotic Endoscopic Airway Challenge: REACH Assessment,Ann Thorac Surg,2018,106,,,,,Chen AC; Gillespie CT
12,"Rojas-Solano JR, Gamboa U, Machuzak L, M. Robotic Bronchoscopy for Diagnosis of Suspected Lung Cancer: A Feasibility Study. J Bronchology Interv Pulmonol. 2018;25.",Robotic Bronchoscopy for Diagnosis of Suspected Lung Cancer: A Feasibility Study,J Bronchology Interv Pulmonol,2018,25,,,,,Rojas-Solano JR; Gamboa U; Machuzak L; M
13,"Ruchardt A, Gruber B, Trenkwalder P. Intrapulmonary tumor cell embolism from cancer of the bladder as the cause of a subacute cor pulmonale. Dtsch Med Wochenschr. 2001;126.",Intrapulmonary tumor cell embolism from cancer of the bladder as the cause of a subacute cor pulmonale,Dtsch Med Wochenschr,2001,126,,,,,Ruchardt A; Gruber B; Trenkwalder P
14,"Ali MS, Trick W, Mba BI. Radial endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions: A systematic review and meta-analysis. Respirology. 2017;22.",Radial endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions: A systematic review and meta-analysis,Respirology,2017,22,,,,,Ali MS; Trick W; Mba BI
