#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent trends in the identification of incidental pulmonary nodules. Am J Respir Crit Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am J Respir Crit Care Med,2015,192,10,,,,Gould MK; Tang T; Liu IL
2,"Tanner NT, Yarmus L, Chen A. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154(5).","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,5,,,,Tanner NT; Yarmus L; Chen A
3,"Oki M, Saka H, Ando M. Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial. Am J Respir Crit Care Med. 2015;192(4).",Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions: a randomized trial,Am J Respir Crit Care Med,2015,192,4,,,,Oki M; Saka H; Ando M
4,"Eberhardt R, Anantham D, Ernst A. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A
5,Veronesi G. Robotic lobectomy and segmentectomy for lung cancer: results and operating technique. J Thorac Dis. 2015;7(suppl 2).,Robotic lobectomy and segmentectomy for lung cancer: results and operating technique,J Thorac Dis,2015,7,suppl 2,,,,Veronesi G
6,"Chen AC, Gillespie CT. Robotic endoscopic airway challenge: REACH assessment. Ann Thorac Surg. 2018;106(1).",Robotic endoscopic airway challenge: REACH assessment,Ann Thorac Surg,2018,106,1,,,,Chen AC; Gillespie CT
7,"Chen AC, Pastis NJ, Machuzak MS. Accuracy of a robotic endoscopic system in cadaver models with simulated tumor targets: ACCESS study. Respiration. 2020;99(1).",Accuracy of a robotic endoscopic system in cadaver models with simulated tumor targets: ACCESS study,Respiration,2020,99,1,,,,Chen AC; Pastis NJ; Machuzak MS
8,"Yarmus L, Akulian J, Wahidi M. A prospective randomized comparative study of three guided bronchoscopic approaches investigating pulmonary nodules: the PRECISION-1 study. Chest. 2020;157.",A prospective randomized comparative study of three guided bronchoscopic approaches investigating pulmonary nodules: the PRECISION-1 study,Chest,2020,157,,,,,Yarmus L; Akulian J; Wahidi M
9,"Rojas-Solano JR, Gamboa U, Machuzak L, M. Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study. J Bronchol Interv Pulmonol. 2018;25(3).",Robotic bronchoscopy for diagnosis of suspected lung cancer: a feasibility study,J Bronchol Interv Pulmonol,2018,25,3,,,,Rojas-Solano JR; Gamboa U; Machuzak L; M
10,"Chaddha U, Kovac SP, Manley C. Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience. BMC Pulm Med. 2019;19(1):243.",Robot-assisted bronchoscopy for pulmonary lesion diagnosis: results from the initial multicenter experience,BMC Pulm Med,2019,19,1,243,,,Chaddha U; Kovac SP; Manley C
11,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(suppl 5).","Establishing the diagnosis of lung cancer: Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,suppl 5,,,,Rivera MP; Mehta AC; Wahidi MM
12,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
13,"Chen AC, Chenna P, Loisell A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5 year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions: a 5 year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen AC; Chenna P; Loisell A; Massoni J; Mayse M; Misselhorn D
14,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
15,"Gildea TR, Mazzone PJ, Karnak D. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D
16,"Oki M, Saka H, Asano F. Use of an ultrathin vs thin bronchoscope for peripheral pulmonary lesions: a randomized trial. Chest. 2019;156(5).",Use of an ultrathin vs thin bronchoscope for peripheral pulmonary lesions: a randomized trial,Chest,2019,156,5,,,,Oki M; Saka H; Asano F
17,"Silvestri GA, Bevill BT, Huang J. An evaluation of diagnostic yield from bronchoscopy: the impact of clinical/ radiographic factors, procedure type and degree of suspicion for cancer. Chest. 2020;157(6).","An evaluation of diagnostic yield from bronchoscopy: the impact of clinical/ radiographic factors, procedure type and degree of suspicion for cancer",Chest,2020,157,6,,,,Silvestri GA; Bevill BT; Huang J
18,"Yamada N, Yamazaki K, Kurimoto N. Factors related to diagnostic yield of transbronchial biopsy using endobronchial ultrasonography with a guide sheath in small peripheral pulmonary lesions. Chest. 2007;132(2).",Factors related to diagnostic yield of transbronchial biopsy using endobronchial ultrasonography with a guide sheath in small peripheral pulmonary lesions,Chest,2007,132,2,,,,Yamada N; Yamazaki K; Kurimoto N
19,"Chen AC, Loiselle A, Zhou L, Baty J, Misselhorn D. Localization of peripheral pulmonary lesions using a method of CTanatomic correlation and radial probe endobronchial ultrasound confirmation. Ann Am Thorac Soc. 2016;13(9).",Localization of peripheral pulmonary lesions using a method of CTanatomic correlation and radial probe endobronchial ultrasound confirmation,Ann Am Thorac Soc,2016,13,9,,,,Chen AC; Loiselle A; Zhou L; Baty J; Misselhorn D
20,"Casal RF, Sarkiss M, Jones AK. Cone beam computed tomography-guided thin/ ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective study. J Thorac Dis. 2018;10(12).",Cone beam computed tomography-guided thin/ ultrathin bronchoscopy for diagnosis of peripheral lung nodules: a prospective study,J Thorac Dis,2018,10,12,,,,Casal RF; Sarkiss M; Jones AK
