#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Grillo HC, Donahue DM, Mathisen DJ, Wain JC, Wright CD. Postintubation tracheal stenosis treatment and results. J Thorac Cardiovasc Surg. 1995;109.",Postintubation tracheal stenosis treatment and results,J Thorac Cardiovasc Surg,1995,109,,,,,Grillo HC; Donahue DM; Mathisen DJ; Wain JC; Wright CD
2,"Go ´mez-Caro A, Morcillo A, Wins R, Molins L, Galan G, Tarrazona V. Surgical management of benign tracheal stenosis. MMCTS. 2011;None. doi:10.1510/mmcts.2010.004945.",Surgical management of benign tracheal stenosis,MMCTS,2011,,,,10.1510/mmcts.2010.004945,,Go ´mez-Caro A; Morcillo A; Wins R; Molins L; Galan G; Tarrazona V
3,Grillo HC. Stents and sense. Ann Thorac Surg. 2000;70:1142.,Stents and sense,Ann Thorac Surg,2000,70,,1142,,,Grillo HC
4,Montgomery WW. T-tube tracheal stent. Arch Otolaryngol. 1965;82.,T-tube tracheal stent,Arch Otolaryngol,1965,82,,,,,Montgomery WW
5,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
6,"Lee P, Kupeli E, Mehta AC. Airway stents. Clin Chest Med. 2010;31.",Airway stents,Clin Chest Med,2010,31,,,,,Lee P; Kupeli E; Mehta AC
7,Monnier P. A new stent for the management of adult and pediatric laryngotracheal stenosis. Laryngoscope. 2003;113. doi:10.1097/00005537-200308000-00029.,A new stent for the management of adult and pediatric laryngotracheal stenosis,Laryngoscope,2003,113,,,10.1097/00005537-200308000-00029,,Monnier P
8,"Zhu GH, Ng AH, Venkatraman SS, Boey FY, Wee AL, Trasti SL. A novel bioabsorbable drug-eluting tracheal stent. Laryngoscope. 2011;121. doi:10.1002/lary.22175.",A novel bioabsorbable drug-eluting tracheal stent,Laryngoscope,2011,121,,,10.1002/lary.22175,,Zhu GH; Ng AH; Venkatraman SS; Boey FY; Wee AL; Trasti SL
9,"Robey TC, Va ¨limaa T, Murphy HS et al.. Use of internal bioabsorbable PLGA ''finger-type'' stents in a rabbit tracheal reconstruction model. Arch Otolaryngol Head Neck Surg. 2000;125.",Use of internal bioabsorbable PLGA ''finger-type'' stents in a rabbit tracheal reconstruction model,Arch Otolaryngol Head Neck Surg,2000,125,,,,,Robey TC; Va ¨limaa T; Murphy HS; To ˆrma ˆla; ˆp; Mooney DJ; Mooney DJ
10,"Pereszlenyi A, Igaz M, Majer I, Harustiak S. Role of endotracheal stenting in tracheal reconstruction surgery-retrospective analysis. Eur J Cardiothorac Surg. 2004;25.",Role of endotracheal stenting in tracheal reconstruction surgery-retrospective analysis,Eur J Cardiothorac Surg,2004,25,,,,,Pereszlenyi A; Igaz M; Majer I; Harustiak S
11,"Carretta A, Casiraghi M, Melloni G, Bandiera A, Ciriaco P, Ferla L. Montgomery T-tube placement in the treatment of benign tracheal lesions. Eur J Cardiothorac Surg. 2009;36. doi:10.1016/j.ejcts.2009.02.049.",Montgomery T-tube placement in the treatment of benign tracheal lesions,Eur J Cardiothorac Surg,2009,36,,,10.1016/j.ejcts.2009.02.049,,Carretta A; Casiraghi M; Melloni G; Bandiera A; Ciriaco P; Ferla L
12,"Pinedo-Onofre JA, ´llez-Becerra T, JL et al.. Subglottic stenosis above tracheal stoma: technique for Montgomery T-tube insertion. Ann Thorac Surg. 2010;89.",Subglottic stenosis above tracheal stoma: technique for Montgomery T-tube insertion,Ann Thorac Surg,2010,89,,,,,Pinedo-Onofre JA; ´llez-Becerra T; JL; ˜o-Gallegos P; H; Franco M-; Lugo A; ´lvarez -; G
13,"Jacobsen N, Pitkin L, Gleeson M. An effortless way of inserting a Montgomery T-tube stent in a closed neck. J Laryngol Otol. 2006;120.",An effortless way of inserting a Montgomery T-tube stent in a closed neck,J Laryngol Otol,2006,120,,,,,Jacobsen N; Pitkin L; Gleeson M
14,"Davis N, Madden BP, Sheth A, Crerar-Gilbert AJ. Airway management of patients with tracheobronchial stents. Br J Anaesth. 2006;96. doi:10.1093/bja/aei267.",Airway management of patients with tracheobronchial stents,Br J Anaesth,2006,96,,,10.1093/bja/aei267,,Davis N; Madden BP; Sheth A; Crerar-Gilbert AJ
15,"Phillips PS, Kubba H, Hartley B, Albert DM. The use of the Montgomery T-tube in difficult paediatric airways. Int J Pediatr Otorhinolaryngol. 2006;70. doi:10.1016/j.ijporl.2005.05.008.",The use of the Montgomery T-tube in difficult paediatric airways,Int J Pediatr Otorhinolaryngol,2006,70,,,10.1016/j.ijporl.2005.05.008,,Phillips PS; Kubba H; Hartley B; Albert DM
