#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Zappa C, Mousa SA. Non-small cell lung cancer: current treatment and future advances. Transl Lung Cancer Res. 2016;5(3).",Non-small cell lung cancer: current treatment and future advances,Transl Lung Cancer Res,2016,5,3,,,,Zappa C; Mousa SA
2,Detterbeck F. Stage classification and prediction of prognosis: difference between accountants and speculators. J Thorac Oncol. 2013;8(7).,Stage classification and prediction of prognosis: difference between accountants and speculators,J Thorac Oncol,2013,8,7,,,,Detterbeck F
3,"Amin MB, Greene FL, Edge SB. The Eighth Edition AJCC Cancer Staging Manual: continuing to build a bridge from a population-based to a more ""personalized"" approach to cancer staging. CA Cancer J Clin. 2017;67(2).","The Eighth Edition AJCC Cancer Staging Manual: continuing to build a bridge from a population-based to a more ""personalized"" approach to cancer staging",CA Cancer J Clin,2017,67,2,,,,Amin MB; Greene FL; Edge SB
4,"Detterbeck FC, Chansky K, Groome P. The IASLC Lung Cancer Staging Project: methodology and validation used in the development of proposals for revision of the stage classification of NSCLC in the forthcoming (Eighth) edition of the TNM classification of lung cancer. J Thorac Oncol. 2016;11(9).",The IASLC Lung Cancer Staging Project: methodology and validation used in the development of proposals for revision of the stage classification of NSCLC in the forthcoming (Eighth) edition of the TNM classification of lung cancer,J Thorac Oncol,2016,11,9,,,,Detterbeck FC; Chansky K; Groome P
5,"Ji X, Bu ZD, Yan Y. The 8th edition of the American Joint Committee on Cancer tumor-node-metastasis staging system for gastric cancer is superior to the 7th edition: results from a Chinese mono-institutional study of 1663 patients. Gastric Cancer. 2018;21(4).",The 8th edition of the American Joint Committee on Cancer tumor-node-metastasis staging system for gastric cancer is superior to the 7th edition: results from a Chinese mono-institutional study of 1663 patients,Gastric Cancer,2018,21,4,,,,Ji X; Bu ZD; Yan Y
6,"Amin MB, Edge SB, Greene FL. AJCC Cancer Staging Manual. AJCC Cancer Staging Manual. 1024;None.",AJCC Cancer Staging Manual,AJCC Cancer Staging Manual,1024,,,,,,Amin MB; Edge SB; Greene FL
7,"Asamura H, Chansky K, Crowley J. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 8th edition of the TNM Classification for Lung Cancer. J Thorac Oncol. 2015;10(12).",The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 8th edition of the TNM Classification for Lung Cancer,J Thorac Oncol,2015,10,12,,,,Asamura H; Chansky K; Crowley J
8,"Rusch VW, Crowley J, Giroux DJ. The IASLC Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming seventh edition of the TNM classification for lung cancer. J Thorac Oncol. 2007;2(7).",The IASLC Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming seventh edition of the TNM classification for lung cancer,J Thorac Oncol,2007,2,7,,,,Rusch VW; Crowley J; Giroux DJ
9,"Park BJ, Kim TH, Shin S. Recommended change in the N descriptor proposed by the International Association for the Study of Lung Cancer: a validation study. J Thorac Oncol. 2019;14(11).",Recommended change in the N descriptor proposed by the International Association for the Study of Lung Cancer: a validation study,J Thorac Oncol,2019,14,11,,,,Park BJ; Kim TH; Shin S
10,"Yoshino I, Yoshida S, Miyaoka E. Surgical outcome of stage IIIA-cN2/pN2 non-small-cell lung cancer patients in Japanese lung cancer registry study in 2004. J Thorac Oncol. 2012;7(5).",Surgical outcome of stage IIIA-cN2/pN2 non-small-cell lung cancer patients in Japanese lung cancer registry study in 2004,J Thorac Oncol,2012,7,5,,,,Yoshino I; Yoshida S; Miyaoka E
11,"Naruke T, Suemasu K, Ishikawa S. Lymph node mapping and curability at various levels of metastasis in resected lung cancer. J Thorac Cardiovasc Surg. 1978;76(6).",Lymph node mapping and curability at various levels of metastasis in resected lung cancer,J Thorac Cardiovasc Surg,1978,76,6,,,,Naruke T; Suemasu K; Ishikawa S
12,"Huang J, Osarogiagbon RU, Giroux DJ. The IASLC Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 9th edition of the TNM Classification for Lung Cancer. J Thorac Oncol. 2024;5(19).",The IASLC Lung Cancer Staging Project: proposals for the revision of the N descriptors in the forthcoming 9th edition of the TNM Classification for Lung Cancer,J Thorac Oncol,2024,5,19,,,,Huang J; Osarogiagbon RU; Giroux DJ
13,"Asamura H, Nishimura KK, Giroux DJ. IASLC Lung Cancer Staging Project: the new database to inform revisions in the ninth edition of the TNM chestjournal.org Classification of Lung Cancer. J Thorac Oncol. 2023;18(5).",IASLC Lung Cancer Staging Project: the new database to inform revisions in the ninth edition of the TNM chestjournal.org Classification of Lung Cancer,J Thorac Oncol,2023,18,5,,,,Asamura H; Nishimura KK; Giroux DJ
14,"David EA, Cooke DT, Chen Y, Nijar K, Canter RJ, Cress RD. Does lymph node count influence survival in surgically resected non-small cell lung cancer?. Ann Thorac Surg. 2017;103(1).",Does lymph node count influence survival in surgically resected non-small cell lung cancer?,Ann Thorac Surg,2017,103,1,,,,David EA; Cooke DT; Chen Y; Nijar K; Canter RJ; Cress RD
15,"Osarogiagbon RU, Decker PA, Ballman K, Wigle D, Allen MS, Darling GE. Survival implications of variation in the thoroughness of pathologic lymph node examination in American College of Surgeons Oncology group Z0030 (Alliance). Ann Thorac Surg. 2016;102(2).",Survival implications of variation in the thoroughness of pathologic lymph node examination in American College of Surgeons Oncology group Z0030 (Alliance),Ann Thorac Surg,2016,102,2,,,,Osarogiagbon RU; Decker PA; Ballman K; Wigle D; Allen MS; Darling GE
16,"Riquet M, Legras A, Mordant P. Number of mediastinal lymph nodes in non-small cell lung cancer: a Gaussian curve, not a prognostic factor. Ann Thorac Surg. 2014;98(1).","Number of mediastinal lymph nodes in non-small cell lung cancer: a Gaussian curve, not a prognostic factor",Ann Thorac Surg,2014,98,1,,,,Riquet M; Legras A; Mordant P
17,"Saji H, Tsuboi M, Shimada Y. A proposal for combination of total number and anatomical location of involved lymph nodes for nodal classification in non-small cell lung cancer. Chest. 2013;143(6).",A proposal for combination of total number and anatomical location of involved lymph nodes for nodal classification in non-small cell lung cancer,Chest,2013,143,6,,,,Saji H; Tsuboi M; Shimada Y
