#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural diseases. Pleural diseases. 2013;None.,Pleural diseases,Pleural diseases,2013,,,,,,Light RW
2,"Owings MF, Kozak LJ. Ambulatory and inpatient procedures in the United States, 1996. Vital Health Stat. 1998;13.","Ambulatory and inpatient procedures in the United States, 1996",Vital Health Stat,1998,13,,,,,Owings MF; Kozak LJ
3,Feller-Kopman D. Therapeutic thoracentesis: the role of ultrasound and pleural manometry. Curr Opin Pulm Med. 2007;13.,Therapeutic thoracentesis: the role of ultrasound and pleural manometry,Curr Opin Pulm Med,2007,13,,,,,Feller-Kopman D
4,"Ault MJ, Rosen BT, Scher J, Feinglass J, Barsuk JH. Thoracentesis outcomes: a 12-year experience. Thorax. 2015;70.",Thoracentesis outcomes: a 12-year experience,Thorax,2015,70,,,,,Ault MJ; Rosen BT; Scher J; Feinglass J; Barsuk JH
5,"Feller-Kopman D, Berkowitz D, Boiselle P, Ernst A. Large-volume thoracentesis and the risk of reexpansion pulmonary edema. Ann Thorac Surg. 2007;84.",Large-volume thoracentesis and the risk of reexpansion pulmonary edema,Ann Thorac Surg,2007,84,,,,,Feller-Kopman D; Berkowitz D; Boiselle P; Ernst A
6,"Feller-Kopman D, Walkey A, Berkowitz D, Ernst A. The relationship of pleural pressure to symptom development during therapeutic thoracentesis. Chest. 2006;129.",The relationship of pleural pressure to symptom development during therapeutic thoracentesis,Chest,2006,129,,,,,Feller-Kopman D; Walkey A; Berkowitz D; Ernst A
7,"Light RW, Jenkinson SG, Minh VD, George RB. Observations on pleural fluid pressures as fluid is withdrawn during thoracentesis. Am Rev Respir Dis. 1980;121.",Observations on pleural fluid pressures as fluid is withdrawn during thoracentesis,Am Rev Respir Dis,1980,121,,,,,Light RW; Jenkinson SG; Minh VD; George RB
8,"Pavlin J, Cheney FW. Unilateral pulmonary edema in rabbits after reexpansion of collapsed lung. J Appl Physiol. 1979;46.",Unilateral pulmonary edema in rabbits after reexpansion of collapsed lung,J Appl Physiol,1979,46,,,,,Pavlin J; Cheney FW
9,"Miller WC, Toon R, Palat H, Lacroix J. Experimental pulmonary edema following re-expansion of pneumothorax. Am Rev Respir Dis. 1973;108.",Experimental pulmonary edema following re-expansion of pneumothorax,Am Rev Respir Dis,1973,108,,,,,Miller WC; Toon R; Palat H; Lacroix J
10,"Pannu J, Depew ZS, Mullon JJ, Daniels CE, Hagen CE, Maldonado F. Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study. J Bronchol Interv Pulmonol. 2014;21.",Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study,J Bronchol Interv Pulmonol,2014,21,,,,,Pannu J; Depew ZS; Mullon JJ; Daniels CE; Hagen CE; Maldonado F
11,"Roberts ME, Neville E, Berrisford RG et al.. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ; Bts P; Disease G; Group
12,Feller-Kopman D. Point: should pleural manometry be performed routinely during thoracentesis? Yes. Chest. 2012;141.,Point: should pleural manometry be performed routinely during thoracentesis? Yes,Chest,2012,141,,,,,Feller-Kopman D
13,"Lee HJ, Yarmus L, Kidd D. Comparison of pleural pressure measuring instruments. Chest. 2014;146.",Comparison of pleural pressure measuring instruments,Chest,2014,146,,,,,Lee HJ; Yarmus L; Kidd D
14,"Heidecker J, Huggins JT, Sahn SA, Doelken P. Pathophysiology of pneumothorax following ultrasound-guided thoracentesis. Chest. 2006;130.",Pathophysiology of pneumothorax following ultrasound-guided thoracentesis,Chest,2006,130,,,,,Heidecker J; Huggins JT; Sahn SA; Doelken P
15,"Doelken P, Huggins JT, Pastis NJ, Sahn SA. Pleural manometry: technique and clinical implications. Chest. 2004;126.",Pleural manometry: technique and clinical implications,Chest,2004,126,,,,,Doelken P; Huggins JT; Pastis NJ; Sahn SA
16,"Maldonado F, Feller-Kopman D. Should manometry be routinely used during thoracentesis? Yes, but not without some basic physiologic understanding!. Expert Rev Respir Med. 2016;10.","Should manometry be routinely used during thoracentesis? Yes, but not without some basic physiologic understanding!",Expert Rev Respir Med,2016,10,,,,,Maldonado F; Feller-Kopman D
17,"Maldonado F, Mullon JJ. Counterpoint: should pleural manometry be performed routinely during thoracentesis? No. Chest. 2012;141.",Counterpoint: should pleural manometry be performed routinely during thoracentesis? No,Chest,2012,141,,,,,Maldonado F; Mullon JJ
18,"Huggins JT, Amit C. Large volume thoracentesis. Large volume thoracentesis. 2016;None.",Large volume thoracentesis,Large volume thoracentesis,2016,,,,,,Huggins JT; Amit C
19,"Havelock T, Teoh R, Laws D, Gleeson F, Disease G, Group. Pleural procedures and thoracic ultrasound: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65.",Pleural procedures and thoracic ultrasound: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,,,,,Havelock T; Teoh R; Laws D; Gleeson F; Disease G; Group
20,"Mammarappallil JG, Anderson SA, Danelson KA, Stitzel JA, Chiles C. Estimation of pleural fluid volumes on chest radiography using computed tomography volumetric analysis: an update of the visual prediction rule. J Thorac Imaging. 2015;30.",Estimation of pleural fluid volumes on chest radiography using computed tomography volumetric analysis: an update of the visual prediction rule,J Thorac Imaging,2015,30,,,,,Mammarappallil JG; Anderson SA; Danelson KA; Stitzel JA; Chiles C
21,"Moy MP, Levsky JM, Berko NS, Godelman A, Jain VR, Haramati LB. A new, simple method for estimating pleural effusion size on CT scans. Chest. 2013;143.","A new, simple method for estimating pleural effusion size on CT scans",Chest,2013,143,,,,,Moy MP; Levsky JM; Berko NS; Godelman A; Jain VR; Haramati LB
22,Goecke S. Die Real-Time Sonographie in der Diagnostik von Pleuraergüssen. Ultraschall-Diagnostik '89. 1990;None.,Die Real-Time Sonographie in der Diagnostik von Pleuraergüssen,Ultraschall-Diagnostik '89,1990,,,,,,Goecke S
23,"Todd KH, Funk KG, Funk JP, Bonacci R. Clinical significance of reported changes in pain severity. Ann Emerg Med. 1996;27.",Clinical significance of reported changes in pain severity,Ann Emerg Med,1996,27,,,,,Todd KH; Funk KG; Funk JP; Bonacci R
24,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314.",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,,,,,Rahman NM; Pepperell J; Rehal S
25,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,,,,,Davies HE; Mishra EK; Kahan BC
26,"Psallidas I, Yousuf A, Talwar A. Assessment of patient-reported outcome measures in pleural interventions. BMJ Open Respir Res. 2017;4:e000171.",Assessment of patient-reported outcome measures in pleural interventions,BMJ Open Respir Res,2017,4,,e000171,,,Psallidas I; Yousuf A; Talwar A
27,"Villena V, López-Encuentra A, Pozo F, De-Pablo A, Martín-Escribano P. Measurement of pleural pressure during therapeutic thoracentesis. Am J Respir Crit Care Med. 2000;162.",Measurement of pleural pressure during therapeutic thoracentesis,Am J Respir Crit Care Med,2000,162,,,,,Villena V; López-Encuentra A; Pozo F; De-Pablo A; Martín-Escribano P
28,"Light RW, Macgregor MI, Luchsinger PC, Ball WC. Pleural effusions: the diagnostic separation of transudates and exudates. Ann Intern Med. 1972;77.",Pleural effusions: the diagnostic separation of transudates and exudates,Ann Intern Med,1972,77,,,,,Light RW; Macgregor MI; Luchsinger PC; Ball WC
