#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent trends in the identification of incidental pulmonary nodules. Am J Respir Crit Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am J Respir Crit Care Med,2015,192,10,,,,Gould MK; Tang T; Liu IL
2,"De Koning HJ, Van Der Aalst CM, Jong PA. Reduced lung-cancer mortality with volume CT screening in a randomized trial. N Engl J Med. 2020;382(6).",Reduced lung-cancer mortality with volume CT screening in a randomized trial,N Engl J Med,2020,382,6,,,,De Koning HJ; Van Der Aalst CM; Jong PA
3,"Gierada DS, Pinsky PF. Survival following detection of stage I lung cancer by screening in the National Lung Screening Trial. Chest. 2021;159(2).",Survival following detection of stage I lung cancer by screening in the National Lung Screening Trial,Chest,2021,159,2,,,,Gierada DS; Pinsky PF
4,"Aberle DR, Adams AM, Berg CD. Reduced lung-cancer mortality with lowdose computed tomographic screening. N Engl J Med. 2011;365(5).",Reduced lung-cancer mortality with lowdose computed tomographic screening,N Engl J Med,2011,365,5,,,,Aberle DR; Adams AM; Berg CD
5,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
6,"Wiener RS, Schwartz LM, Woloshin S, Welch HG. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann Intern Med. 2011;155(3).",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann Intern Med,2011,155,3,,,,Wiener RS; Schwartz LM; Woloshin S; Welch HG
7,"Schwarz Y, Greif J, Becker HD, Ernst A, Mehta A. Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study. Chest. 2006;129(4).",Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study,Chest,2006,129,4,,,,Schwarz Y; Greif J; Becker HD; Ernst A; Mehta A
8,"Aboudara M, Roller L, Rickman O. Improved diagnostic yield for lung nodules with digital tomosynthesiscorrected navigational bronchoscopy: initial experience with a novel adjunct. Respirology. 2020;25(2).",Improved diagnostic yield for lung nodules with digital tomosynthesiscorrected navigational bronchoscopy: initial experience with a novel adjunct,Respirology,2020,25,2,,,,Aboudara M; Roller L; Rickman O
9,"Katsis J, Roller L, Aboudara M. Diagnostic yield of digital tomosynthesisassisted navigational bronchoscopy for indeterminate lung nodules. J Bronchology Interv Pulmonol. 2021;28(4).",Diagnostic yield of digital tomosynthesisassisted navigational bronchoscopy for indeterminate lung nodules,J Bronchology Interv Pulmonol,2021,28,4,,,,Katsis J; Roller L; Aboudara M
10,"Avasarala SK, Roller L, Katsis J. Sight unseen: diagnostic yield and safety outcomes of a novel multimodality navigation bronchoscopy platform with real-time target acquisition. Respiration. 2022;101(2).",Sight unseen: diagnostic yield and safety outcomes of a novel multimodality navigation bronchoscopy platform with real-time target acquisition,Respiration,2022,101,2,,,,Avasarala SK; Roller L; Katsis J
