#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
2,"Rousseau H, Dahan M, Lauque D et al.. Self-expandable prostheses in the tracheobronchial tree. Radiology. 1993;188.",Self-expandable prostheses in the tracheobronchial tree,Radiology,1993,188,,,,,Rousseau H; Dahan M; Lauque D; Carré P; Didier A; Bilbao I; Herrero J; Blancjouvant F; Joffre F
3,"Dasgupta A, Dolmatch BL, Abi-Saleh WJ, Mathur PN, Mehta AC. Self-expandable metallic airway stent insertion employing flexible bronchoscopy: preliminary results. Chest. 1998;114.",Self-expandable metallic airway stent insertion employing flexible bronchoscopy: preliminary results,Chest,1998,114,,,,,Dasgupta A; Dolmatch BL; Abi-Saleh WJ; Mathur PN; Mehta AC
4,"Madden BP, Datta S, Charokopos N. Experience with Ultraflex expandable metallic stents in the management of endobronchial pathology. Ann Thorac Surg. 2002;73.",Experience with Ultraflex expandable metallic stents in the management of endobronchial pathology,Ann Thorac Surg,2002,73,,,,,Madden BP; Datta S; Charokopos N
5,"Saad CP, Murthy S, Krizmanich G, Mehta AC. Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis. Chest. 2003;124.",Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis,Chest,2003,124,,,,,Saad CP; Murthy S; Krizmanich G; Mehta AC
6,"Colreavy MP, Walsh MA. Nitinol tracheobronchial stents: a word of caution. Laryngoscope. 2000;110:1070.",Nitinol tracheobronchial stents: a word of caution,Laryngoscope,2000,110,,1070,,,Colreavy MP; Walsh MA
7,"Lunn W, Feller-Kopman D, Wahidi M, Ashiku S, Thurer R, Ernst A. Endoscopic removal of metallic airway stents. Chest. 2005;127.",Endoscopic removal of metallic airway stents,Chest,2005,127,,,,,Lunn W; Feller-Kopman D; Wahidi M; Ashiku S; Thurer R; Ernst A
8, 8 FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. 8 FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders. 2005;None.,8 FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,8 FDA public health notification: complications from metallic tracheal stents in patients with benign airway disorders,2005,,,,,,
9,"Chung FT, Chen HC, Chou CL et al.. An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study. J Cardiothorac Surg. 2011;6:46.",An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study,J Cardiothorac Surg,2011,6,,46,,,Chung FT; Chen HC; Chou CL; Yu CT; Kuo CH; Kuo HP; Lin SM
10,"Marchese R, Poidomani G, Paglino G et al.. Fully covered selfexpandable metal stent in tracheobronchial disorders: clinical experience. Respiration. 2015;89.",Fully covered selfexpandable metal stent in tracheobronchial disorders: clinical experience,Respiration,2015,89,,,,,Marchese R; Poidomani G; Paglino G; Crimi C; Nigro L; Argano C; V
11,"Dooms C, Keukeleire D, Janssens T, Carron A, K. Performance of fully covered self-expanding metallic stents in benign airway strictures. Respiration. 2009;77.",Performance of fully covered self-expanding metallic stents in benign airway strictures,Respiration,2009,77,,,,,Dooms C; Keukeleire D; Janssens T; Carron A; K
12,"Fernandez-Bussy S, Akindipe O, Kulkarni V, Swafford W, Baz M, Jantz MA. Clinical experience with a new removable tracheobronchial stent in the management of airway complications after lung transplantation. J Heart Lung Transplant. 2009;28.",Clinical experience with a new removable tracheobronchial stent in the management of airway complications after lung transplantation,J Heart Lung Transplant,2009,28,,,,,Fernandez-Bussy S; Akindipe O; Kulkarni V; Swafford W; Baz M; Jantz MA
13,"Shin JH, Song HY, Ko GY et al.. Treatment of tracheobronchial obstruction with a polytetrafluoroethylene-covered retrievable expandable nitinol stent. J Vasc Interv Radiol. 2006;17.",Treatment of tracheobronchial obstruction with a polytetrafluoroethylene-covered retrievable expandable nitinol stent,J Vasc Interv Radiol,2006,17,,,,,Shin JH; Song HY; Ko GY; Shim TS; Kim SW; Cho YK; Ko HK; Kim YJ; Yoon HK; Sung KB
14,"Tan JH, Fidelman N, Durack JC et al.. Management of recurrent airway strictures in lung transplant recipients using AERO covered stents. J Vasc Interv Radiol. 2010;21.",Management of recurrent airway strictures in lung transplant recipients using AERO covered stents,J Vasc Interv Radiol,2010,21,,,,,Tan JH; Fidelman N; Durack JC; Hays SR; Leard LL; Laberge JM; Kerlan RK; Golden JA; Gordon RL
15,"Dutau H, Musani AI, Plojoux J, Laroumagne S, Astoul P. The use of self-expandable metallic stents in the airways in the adult population. Expert Rev Respir Med. 2014;8.",The use of self-expandable metallic stents in the airways in the adult population,Expert Rev Respir Med,2014,8,,,,,Dutau H; Musani AI; Plojoux J; Laroumagne S; Astoul P
16,"Gaissert HA, Grillo HC, Wright CD, Donahue DM, Wain JC, Mathisen DJ. Complication of benign tracheobronchial strictures by self-expanding metal stents. J Thorac Cardiovasc Surg. 2003;126.",Complication of benign tracheobronchial strictures by self-expanding metal stents,J Thorac Cardiovasc Surg,2003,126,,,,,Gaissert HA; Grillo HC; Wright CD; Donahue DM; Wain JC; Mathisen DJ
17,"Noppen M, Stratakos G, 'haese D, Meysman J, Vinken M, W. Removal of covered self-expandable metallic airway stents in benign disorders: indications, technique, and outcomes. Chest. 2005;127.","Removal of covered self-expandable metallic airway stents in benign disorders: indications, technique, and outcomes",Chest,2005,127,,,,,Noppen M; Stratakos G; 'haese D; Meysman J; Vinken M; W
18,"Galluccio G, Lucantoni G, Battistoni P et al.. Interventional endoscopy in the management of benign tracheal stenoses: definitive treatment at long-term follow-up. Eur J Cardiothorac Surg. 2009;35.",Interventional endoscopy in the management of benign tracheal stenoses: definitive treatment at long-term follow-up,Eur J Cardiothorac Surg,2009,35,,,,,Galluccio G; Lucantoni G; Battistoni P; Paone G; Batzella S; Lucifora V; Iacono D; R
19,"Dalar L, Karasulu L, Abul Y et al.. Bronchoscopic treatment in the management of benign tracheal stenosis: choices for simple and complex tracheal stenosis. Ann Thorac Surg. 2016;101.",Bronchoscopic treatment in the management of benign tracheal stenosis: choices for simple and complex tracheal stenosis,Ann Thorac Surg,2016,101,,,,,Dalar L; Karasulu L; Abul Y; Özdemir C; Sökücü SN; Tarhan M; Altin S
20,"Martinez-Ballarin JI, Diaz-Jimenez JP, Castro MJ, Moya JA. Silicone stents in the management of benign tracheobronchial stenoses. Tolerance and early results in 63 patients. Chest. 1996;109.",Silicone stents in the management of benign tracheobronchial stenoses. Tolerance and early results in 63 patients,Chest,1996,109,,,,,Martinez-Ballarin JI; Diaz-Jimenez JP; Castro MJ; Moya JA
21,"Dutau H, Cavailles A, Fernandez-Navamuel I, Breen DP. Tracheal compression in a patient with Marfan's syndrome-associated tracheomegaly treated by an XXL stent: the largest diameter airway stent ever placed in a previously undescribed airway condition. Respiration. 2009;77.",Tracheal compression in a patient with Marfan's syndrome-associated tracheomegaly treated by an XXL stent: the largest diameter airway stent ever placed in a previously undescribed airway condition,Respiration,2009,77,,,,,Dutau H; Cavailles A; Fernandez-Navamuel I; Breen DP
22,"Plojoux J, Laroumagne S, Vandemoortele T, Astoul PJ, Thomas P, Dutau H. Management of benign dynamic ""A-shape"" tracheal stenosis: a retrospective study of 60 patients. Ann Thorac Surg. 2015;99.","Management of benign dynamic ""A-shape"" tracheal stenosis: a retrospective study of 60 patients",Ann Thorac Surg,2015,99,,,,,Plojoux J; Laroumagne S; Vandemoortele T; Astoul PJ; Thomas P; Dutau H
