#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ernst A, Feller-Kopman D, Becker HD. Central airway obstruction. Am. J. Respir. Crit. Care Med. 2004;169.",Central airway obstruction,Am. J. Respir. Crit. Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD
2,"Gompelmann D, Eberhardt R, Herth FJ. Advanced malignant lung disease: what the specialist can offer. Respiration. 2011;82.",Advanced malignant lung disease: what the specialist can offer,Respiration,2011,82,,,,,Gompelmann D; Eberhardt R; Herth FJ
3,"Williamson JP, Phillips MJ, Hillman DR. Managing obstruction of the central airways. Intern. Med. J. 2010;40.",Managing obstruction of the central airways,Intern. Med. J,2010,40,,,,,Williamson JP; Phillips MJ; Hillman DR
4,"Noppen M, Meysman M, Haese D, J. Interventional bronchoscopy: 5-year experience at the Academic Hospital of the Vrije Universiteit Brussel (AZ-VUB). Acta Clin. Belg. 1997;52.",Interventional bronchoscopy: 5-year experience at the Academic Hospital of the Vrije Universiteit Brussel (AZ-VUB),Acta Clin. Belg,1997,52,,,,,Noppen M; Meysman M; Haese D; J
5,"Chen C, Bent JP, Parikh SR. Powered debridement of suprastomal granulation tissue to facilitate pediatric tracheotomy decannulation. Int. J. Pediatr. Otorhinolaryngol. 2011;75.",Powered debridement of suprastomal granulation tissue to facilitate pediatric tracheotomy decannulation,Int. J. Pediatr. Otorhinolaryngol,2011,75,,,,,Chen C; Bent JP; Parikh SR
6,"Brichet A, Verkindre C, Dupont J. Multidisciplinary approach to management of postintubation tracheal stenoses. Eur. Respir. J. 1999;13.",Multidisciplinary approach to management of postintubation tracheal stenoses,Eur. Respir. J,1999,13,,,,,Brichet A; Verkindre C; Dupont J
7,"Morice RC, Ece T, Ece F. Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction. Chest. 2001;119.",Endobronchial argon plasma coagulation for treatment of hemoptysis and neoplastic airway obstruction,Chest,2001,119,,,,,Morice RC; Ece T; Ece F
8,"Colt HG, Harrell JH. Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction. Chest. 1997;112.",Therapeutic rigid bronchoscopy allows level of care changes in patients with acute respiratory failure from central airways obstruction,Chest,1997,112,,,,,Colt HG; Harrell JH
9,"Stephens KE, Jr W, De. Bronchoscopic management of central airway obstruction. J. Thorac. Cardiovasc. Surg. 2000;119.",Bronchoscopic management of central airway obstruction,J. Thorac. Cardiovasc. Surg,2000,119,,,,,Stephens KE; Jr W; De
10,"Morris CD, Budde JM, Godette KD. Palliative management of malignant airway obstruction. Ann. Thorac. Surg. 2002;74.",Palliative management of malignant airway obstruction,Ann. Thorac. Surg,2002,74,,,,,Morris CD; Budde JM; Godette KD
11,"Cavaliere S, Venuta F, Foccoli P. Endoscopic treatment of malignant airway obstructions in 2008 patients. Chest. 1996;110.",Endoscopic treatment of malignant airway obstructions in 2008 patients,Chest,1996,110,,,,,Cavaliere S; Venuta F; Foccoli P
12,"Lunn W, Garland R, Ashiku S. Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist. Ann. Thorac. Surg. 2005;80.",Microdebrider bronchoscopy: a new tool for the interventional bronchoscopist,Ann. Thorac. Surg,2005,80,,,,,Lunn W; Garland R; Ashiku S
13,"Cornet ME, Reinartz SM, Georgalas C. The microdebrider, a step forward or an expensive gadget?. Rhinology. 2012;50.","The microdebrider, a step forward or an expensive gadget?",Rhinology,2012,50,,,,,Cornet ME; Reinartz SM; Georgalas C
14,"Kennedy MP, Morice RC, Jimenez CA. Treatment of bronchial airway obstruction using a rotating tip microdebrider: a case report. J. Cardiothorac. Surg. 2007;2:16.",Treatment of bronchial airway obstruction using a rotating tip microdebrider: a case report,J. Cardiothorac. Surg,2007,2,,16,,,Kennedy MP; Morice RC; Jimenez CA
15,"Melendez J, Cornwell L, Green L. Treatment of large subglottic tracheal schwannoma with microdebrider bronchoscopy. J. Thorac. Cardiovasc. Surg. 2012;144.",Treatment of large subglottic tracheal schwannoma with microdebrider bronchoscopy,J. Thorac. Cardiovasc. Surg,2012,144,,,,,Melendez J; Cornwell L; Green L
16,"Wahla AS, Khan I, Bellinger C. Use of microdebrider bronchoscopy for the treatment of endobronchial leiomyoma. Clin. Respir. J. 2011;5.",Use of microdebrider bronchoscopy for the treatment of endobronchial leiomyoma,Clin. Respir. J,2011,5,,,,,Wahla AS; Khan I; Bellinger C
17,"El-Bitar MA, Zazal GH. Powered instrumentation in the treatment of recurrent respiratory papillomatosis: an alternative to the carbon dioxide laser. Arch. Otolaryngol. Head Neck Surg. 2002;128.",Powered instrumentation in the treatment of recurrent respiratory papillomatosis: an alternative to the carbon dioxide laser,Arch. Otolaryngol. Head Neck Surg,2002,128,,,,,El-Bitar MA; Zazal GH
18,"Dumon JF, Reboud E, Garbe L. Treatment of tracheobronchial lesions by laser photoresection. Chest. 1982;81.",Treatment of tracheobronchial lesions by laser photoresection,Chest,1982,81,,,,,Dumon JF; Reboud E; Garbe L
19,"Venuta F, Rendina EA, Giacomo D, T. Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment. Ann. Thorac. Surg. 2002;74.",Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment,Ann. Thorac. Surg,2002,74,,,,,Venuta F; Rendina EA; Giacomo D; T
