#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Urban KG, Terris DJ. Percutaneous endoscopic gastrostomy by head and neck surgeons. Otolaryngol Head Neck Surg. 1997;116(4).",Percutaneous endoscopic gastrostomy by head and neck surgeons,Otolaryngol Head Neck Surg,1997,116,4,,,,Urban KG; Terris DJ
2,Shackelford RT. Surgery of the Alimentary Tract. Surgery of the Alimentary Tract. 1981;None:336.,Surgery of the Alimentary Tract,Surgery of the Alimentary Tract,1981,,,336,,,Shackelford RT
3,"Gauderer MW, Ponsky JL, Izant RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. J Pediatr Surg. 1980;15(6).",Gastrostomy without laparotomy: a percutaneous endoscopic technique,J Pediatr Surg,1980,15,6,,,,Gauderer MW; Ponsky JL; Izant RJ
4,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123(5).",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,5,,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
5,"Lamb CR, Feller-Kopman D, Ernst A. An approach to interventional pulmonary fellowship training. Chest. 2010;137(1).",An approach to interventional pulmonary fellowship training,Chest,2010,137,1,,,,Lamb CR; Feller-Kopman D; Ernst A
6,"Dajani AS, Taubert KA, Wilson W. Prevention of bacterial endocarditis. Recommendations by the American Heart Association. JAMA. 1997;277(22).",Prevention of bacterial endocarditis. Recommendations by the American Heart Association,JAMA,1997,277,22,,,,Dajani AS; Taubert KA; Wilson W
7,"Hirota WK, Petersen K, Baron TH. Standards of Practice Committee of the American Society for Gastrointestinal Endoscopy . Guidelines for antibiotic prophylaxis for GI endoscopy. Gastrointest Endosc. 2003;58(4).",Standards of Practice Committee of the American Society for Gastrointestinal Endoscopy . Guidelines for antibiotic prophylaxis for GI endoscopy,Gastrointest Endosc,2003,58,4,,,,Hirota WK; Petersen K; Baron TH
8,"Sharma VK, Howden CW. Meta-analysis of randomized, controlled trials of antibiotic prophylaxis before percutaneous endoscopic gastrostomy. Am J Gastroenterol. 2000;95(11).","Meta-analysis of randomized, controlled trials of antibiotic prophylaxis before percutaneous endoscopic gastrostomy",Am J Gastroenterol,2000,95,11,,,,Sharma VK; Howden CW
9,"Mccarter TL, Condon SC, Aguilar RC, Gibson DJ, Chen YK. Randomized prospective trial of early versus delayed feeding after percutaneous endoscopic gastrostomy placement. Am J Gastroenterol. 1998;93(3).",Randomized prospective trial of early versus delayed feeding after percutaneous endoscopic gastrostomy placement,Am J Gastroenterol,1998,93,3,,,,Mccarter TL; Condon SC; Aguilar RC; Gibson DJ; Chen YK
10,"Yarmus L, Pandian V, Gilbert C. Safety and effi ciency of interventional pulmonologists performing percutaneous tracheostomy. Respiration. 2012;84(2).",Safety and effi ciency of interventional pulmonologists performing percutaneous tracheostomy,Respiration,2012,84,2,,,,Yarmus L; Pandian V; Gilbert C
11,"Grant DG, Bradley PT, Pothier DD. Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis. Clin Otolaryngol. 2009;34(2).","Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis",Clin Otolaryngol,2009,34,2,,,,Grant DG; Bradley PT; Pothier DD
12,"Lowe JB, Page CP, Schwesinger WH, Gaskill HV, Stauffer JS. Percutaneous endoscopic gastrostomy tube placement in a surgical training program. Am J Surg. 1997;174(6).",Percutaneous endoscopic gastrostomy tube placement in a surgical training program,Am J Surg,1997,174,6,,,,Lowe JB; Page CP; Schwesinger WH; Gaskill HV; Stauffer JS
13,"Abuksis G, Mor M, Segal N. Percutaneous endoscopic gastrostomy: high mortality rates in hospitalized patients. Am J Gastroenterol. 2000;95(1).",Percutaneous endoscopic gastrostomy: high mortality rates in hospitalized patients,Am J Gastroenterol,2000,95,1,,,,Abuksis G; Mor M; Segal N
14,"Tokunaga T, Kubo T, Ryan S. Long-term outcome after placement of a percutaneous endoscopic gastrostomy tube. Geriatr Gerontol Int. 2008;8(1).",Long-term outcome after placement of a percutaneous endoscopic gastrostomy tube,Geriatr Gerontol Int,2008,8,1,,,,Tokunaga T; Kubo T; Ryan S
15,"Eisen GM, Baron TH, Dominitz JA. Role of endoscopy in enteral feeding. Gastrointest Endosc. 2002;55(7).",Role of endoscopy in enteral feeding,Gastrointest Endosc,2002,55,7,,,,Eisen GM; Baron TH; Dominitz JA
