#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mcclave SA, Dibaise JK, Mullin GE. ACG clinical guideline: nutrition therapy in the adult hospitalized patient. Am J Gastroenterol. 2016;111.",ACG clinical guideline: nutrition therapy in the adult hospitalized patient,Am J Gastroenterol,2016,111,,,,,Mcclave SA; Dibaise JK; Mullin GE
2,"Yuan Y, Zhao Y, Xie T. Percutaneous endoscopic gastrostomy versus percutaneous radiological gastrostomy for swallowing disturbances. Cochrane Database Syst Rev. 2016;2:9198.",Percutaneous endoscopic gastrostomy versus percutaneous radiological gastrostomy for swallowing disturbances,Cochrane Database Syst Rev,2016,2,,9198,,,Yuan Y; Zhao Y; Xie T
3,"Sutcliffe J, Wigham A, Mceniff N. CIRSE standards of practice guidelines on gastrostomy. Cardiovasc Intervent Radiol. 2016;39.",CIRSE standards of practice guidelines on gastrostomy,Cardiovasc Intervent Radiol,2016,39,,,,,Sutcliffe J; Wigham A; Mceniff N
4,"Bankhead RR, Fisher CA, Rolandelli RH. Gastrostomy tube placement outcomes: comparison of surgical, endoscopic, and laparoscopic methods. Nutr Clin Pract. 2005;20.","Gastrostomy tube placement outcomes: comparison of surgical, endoscopic, and laparoscopic methods",Nutr Clin Pract,2005,20,,,,,Bankhead RR; Fisher CA; Rolandelli RH
5,"Park S, Kim JY, Koh S. Complications of percutaneous endoscopic and radiologic gastrostomy tube insertion: a KASID (Korean Association for the Study of Intestinal Diseases) study. Surg Endosc. 2019;33.",Complications of percutaneous endoscopic and radiologic gastrostomy tube insertion: a KASID (Korean Association for the Study of Intestinal Diseases) study,Surg Endosc,2019,33,,,,,Park S; Kim JY; Koh S
6,"Grant DG, Bradley PT, Pothier DD. Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis. Clin Otolaryngol. 2009;34.","Complications following gastrostomy tube insertion in patients with head and neck cancer: a prospective multi-institution study, systematic review and meta-analysis",Clin Otolaryngol,2009,34,,,,,Grant DG; Bradley PT; Pothier DD
7,"Standards P, Committee ;, Jain R, Maple JT, Anderson MA. The role of endoscopy in enteral feeding. Gastrointest Endosc. 2011;74.",The role of endoscopy in enteral feeding,Gastrointest Endosc,2011,74,,,,,Standards P; Committee ;; Jain R; Maple JT; Anderson MA
8,"Lozoya-González D, Pelaez-Luna M, Farca-Belsaguy A. Percutaneous endoscopic gastrostomy complication rates and compliance with the American Society for Gastrointestinal Endoscopy guidelines for the management of antithrombotic therapy. JPEN J Parenter Enteral Nutr. 2012;36.",Percutaneous endoscopic gastrostomy complication rates and compliance with the American Society for Gastrointestinal Endoscopy guidelines for the management of antithrombotic therapy,JPEN J Parenter Enteral Nutr,2012,36,,,,,Lozoya-González D; Pelaez-Luna M; Farca-Belsaguy A
9,"Itkin M, Delegge MH, Fang JC. Multidisciplinary practical guidelines for gastrointestinal access for enteral nutrition and decompression from the Society of Interventional Radiology and American Gastroenterological Association (AGA) Institute, with endorsement by Canadian Interventional Radiological Association (CIRA) and Cardiovascular and Interventional Radiological Society of Europe (CIRSE). Gastroenterology. 2011;141.","Multidisciplinary practical guidelines for gastrointestinal access for enteral nutrition and decompression from the Society of Interventional Radiology and American Gastroenterological Association (AGA) Institute, with endorsement by Canadian Interventional Radiological Association (CIRA) and Cardiovascular and Interventional Radiological Society of Europe (CIRSE)",Gastroenterology,2011,141,,,,,Itkin M; Delegge MH; Fang JC
10,"Wollman B, Agostino D, Walus-Wigle HB, JR. Radiologic, endoscopic, and surgical gastrostomy: an institutional evaluation and meta-analysis of the literature. Radiology. 1995;197.","Radiologic, endoscopic, and surgical gastrostomy: an institutional evaluation and meta-analysis of the literature",Radiology,1995,197,,,,,Wollman B; Agostino D; Walus-Wigle HB; JR
