#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ayers ML, Beamis JF. Rigid bronchoscopy in the twenty-first century. Clin Chest Med. 2001;22.",Rigid bronchoscopy in the twenty-first century,Clin Chest Med,2001,22,,,,,Ayers ML; Beamis JF
2,"Ernst A, Feller-Kopman D, Becker HD. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD
3,"Desai SJ, Mehta AC, Medendorp V, S. Survival experience following Nd:YAG laser photoresection for primary bronchogenic carcinoma. Chest. 1988;94.",Survival experience following Nd:YAG laser photoresection for primary bronchogenic carcinoma,Chest,1988,94,,,,,Desai SJ; Mehta AC; Medendorp V; S
4,"Gelb AF, Tashkin DP, Epstein JD. Nd-YAG laser surgery for severe tracheal stenosis physiologically and clinically masked by severe diffuse obstructive pulmonary disease. Chest. 1987;91.",Nd-YAG laser surgery for severe tracheal stenosis physiologically and clinically masked by severe diffuse obstructive pulmonary disease,Chest,1987,91,,,,,Gelb AF; Tashkin DP; Epstein JD
5,"Milic R, Popovic L, Lalic B, N. Life-Threatening Hemoptysis Leading to Suffocation. Cureus. 2024;16:55001.",Life-Threatening Hemoptysis Leading to Suffocation,Cureus,2024,16,,55001,,,Milic R; Popovic L; Lalic B; N
6,"Ost DE, Ernst A, Grosu HB. Complications Following Therapeutic Bronchoscopy for Malignant Central Airway Obstruction: Results of the AQuIRE Registry. Chest. 2015;148.",Complications Following Therapeutic Bronchoscopy for Malignant Central Airway Obstruction: Results of the AQuIRE Registry,Chest,2015,148,,,,,Ost DE; Ernst A; Grosu HB
7,"Swanson KL, Edell ES. Tracheobronchial foreign bodies. Chest Surg Clin N Am. 2001;11.",Tracheobronchial foreign bodies,Chest Surg Clin N Am,2001,11,,,,,Swanson KL; Edell ES
8,"Drummond M, Magalhaes A, Hespanhol V. Rigid bronchoscopy: Complications in a university hospital. J Bronchol. 2003;10.",Rigid bronchoscopy: Complications in a university hospital,J Bronchol,2003,10,,,,,Drummond M; Magalhaes A; Hespanhol V
9,"Mahmood K, Wahidi MM, Osann KE. Development of a Tool to Assess Basic Competency in the Performance of Rigid Bronchoscopy. Ann Am Thorac Soc. 2016;13.",Development of a Tool to Assess Basic Competency in the Performance of Rigid Bronchoscopy,Ann Am Thorac Soc,2016,13,,,,,Mahmood K; Wahidi MM; Osann KE
10,"Conlan AA, Hurwitz SS. Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage. Thorax. 1980;35.",Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage,Thorax,1980,35,,,,,Conlan AA; Hurwitz SS
11,"Valipour A, Kreuzer A, Koller H. Bronchoscopyguided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis. Chest. 2005;127.",Bronchoscopyguided topical hemostatic tamponade therapy for the management of life-threatening hemoptysis,Chest,2005,127,,,,,Valipour A; Kreuzer A; Koller H
12,"Kim SH, Chang B, Ahn HJ. Safety of Rigid Bronchoscopy for Therapeutic Intervention at the Intensive Care Unit Bedside. Medicina. 2022;58:1762.",Safety of Rigid Bronchoscopy for Therapeutic Intervention at the Intensive Care Unit Bedside,Medicina,2022,58,,1762,,,Kim SH; Chang B; Ahn HJ
13,"Seol HY, Kim CG, JH. Intubated or rigid bronchoscopy under high-flow oxygenation and deep sedation without ventilator or anesthesiologist: A report on a new technique. Respirol Case Rep. 2024;12:70017.",Intubated or rigid bronchoscopy under high-flow oxygenation and deep sedation without ventilator or anesthesiologist: A report on a new technique,Respirol Case Rep,2024,12,,70017,,,Seol HY; Kim CG; JH
14,"Galway U, Zura A, Khanna S. Anesthetic considerations for bronchoscopic procedures: a narrative review based on the Cleveland Clinic experience. J Thorac Dis. 2019;11.",Anesthetic considerations for bronchoscopic procedures: a narrative review based on the Cleveland Clinic experience,J Thorac Dis,2019,11,,,,,Galway U; Zura A; Khanna S
15,"Mahajan AK, Bautista J, Hodson E. Financial Justification for Interventional Pulmonology Programs: Terminology and Programmatic Models. Chest. 2020;158.",Financial Justification for Interventional Pulmonology Programs: Terminology and Programmatic Models,Chest,2020,158,,,,,Mahajan AK; Bautista J; Hodson E
