#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Hong KS, Choi EY, Park DA. Safety and efficacy of the moderate sedation during flexible bronchoscopic procedure: a systematic review and meta-analysis of randomized controlled trials. Medicine. 2015;94(40):1459.",Safety and efficacy of the moderate sedation during flexible bronchoscopic procedure: a systematic review and meta-analysis of randomized controlled trials,Medicine,2015,94,40,1459,,,Hong KS; Choi EY; Park DA
2,"Casal RF, Lazarus DR, Kuhl K. Randomized trial of endobronchial ultrasound-guided transbronchial needle aspiration under general anesthesia versus moderate sedation. Am J Respir Crit Care Med. 2015;191(7).",Randomized trial of endobronchial ultrasound-guided transbronchial needle aspiration under general anesthesia versus moderate sedation,Am J Respir Crit Care Med,2015,191,7,,,,Casal RF; Lazarus DR; Kuhl K
3,"Bowling MR, Kohan MW, Walker P. The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy. J Bronchology Interv Pulmonol. 2015;22(1).",The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy,J Bronchology Interv Pulmonol,2015,22,1,,,,Bowling MR; Kohan MW; Walker P
4,"Wahidi MM, Jain P, Jantz M. American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during flexible bronchoscopy in adult patients. Chest. 2011;140(5).","American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during flexible bronchoscopy in adult patients",Chest,2011,140,5,,,,Wahidi MM; Jain P; Jantz M
5,"Colt HG, Morris JF. Fiberoptic bronchoscopy without premedication. A retrospective study. Chest. 1990;98(6).",Fiberoptic bronchoscopy without premedication. A retrospective study,Chest,1990,98,6,,,,Colt HG; Morris JF
6,"Maguire GP, Rubinfeld AR, Trembath PW. Patients prefer sedation for fibreoptic bronchoscopy. Respirology. 1998;3(2).",Patients prefer sedation for fibreoptic bronchoscopy,Respirology,1998,3,2,,,,Maguire GP; Rubinfeld AR; Trembath PW
7,"Putinati S, Ballerin L, Corbetta L. Patient satisfaction with conscious sedation for bronchoscopy. Chest. 1999;115(5).",Patient satisfaction with conscious sedation for bronchoscopy,Chest,1999,115,5,,,,Putinati S; Ballerin L; Corbetta L
8,"Clary B, Skaryak L, Tedder M. Methemoglobinemia complicating topical anesthesia during bronchoscopic procedures. J Thorac Cardiovasc Surg. 1997;114(2).",Methemoglobinemia complicating topical anesthesia during bronchoscopic procedures,J Thorac Cardiovasc Surg,1997,114,2,,,,Clary B; Skaryak L; Tedder M
9,"Moore TJ, Walsh CS, Cohen MR. Reported adverse event cases of methemoglobinemia associated with benzocaine products. Arch Intern Med. 2004;164(11).",Reported adverse event cases of methemoglobinemia associated with benzocaine products,Arch Intern Med,2004,164,11,,,,Moore TJ; Walsh CS; Cohen MR
10,"Kane GC, Hoehn SM, Behrenbeck TR. Benzocaine-induced methemoglobinemia based on the Mayo Clinic experience from 28 478 transesophageal echocardiograms: incidence, outcomes, and predisposing factors. Arch Intern Med. 2007;167(18).","Benzocaine-induced methemoglobinemia based on the Mayo Clinic experience from 28 478 transesophageal echocardiograms: incidence, outcomes, and predisposing factors",Arch Intern Med,2007,167,18,,,,Kane GC; Hoehn SM; Behrenbeck TR
11,"Antoniades N, Worsnop C. Topical lidocaine through the bronchoscope reduces cough rate during bronchoscopy. Respirology. 2009;14(6).",Topical lidocaine through the bronchoscope reduces cough rate during bronchoscopy,Respirology,2009,14,6,,,,Antoniades N; Worsnop C
12,"Milman N, Laub M, Munch EP. Serum concentrations of lignocaine and its metabolite monoethylglycinexylidide during fibre-optic bronchoscopy in local anaesthesia. Respir Med. 1998;92(1).",Serum concentrations of lignocaine and its metabolite monoethylglycinexylidide during fibre-optic bronchoscopy in local anaesthesia,Respir Med,1998,92,1,,,,Milman N; Laub M; Munch EP
13,"Mainland PA, Kong AS, Chung DC. Absorption of lidocaine during aspiration anesthesia of the airway. J Clin Anesth. 2001;13(6).",Absorption of lidocaine during aspiration anesthesia of the airway,J Clin Anesth,2001,13,6,,,,Mainland PA; Kong AS; Chung DC
14,"Stolz D, Chhajed PN, Leuppi J. Nebulized lidocaine for flexible bronchoscopy: a randomized, double-blind, placebo-controlled trial. Chest. 2005;128(3).","Nebulized lidocaine for flexible bronchoscopy: a randomized, double-blind, placebo-controlled trial",Chest,2005,128,3,,,,Stolz D; Chhajed PN; Leuppi J
15,"Benzaquen BS, Cohen V, Eisenberg MJ. Effects of cocaine on the coronary arteries. Am Heart J. 2001;142(3).",Effects of cocaine on the coronary arteries,Am Heart J,2001,142,3,,,,Benzaquen BS; Cohen V; Eisenberg MJ
16,"Osula S, Stockton P, Abdelaziz MM. Intratracheal cocaine induced myocardial infarction: an unusual complication of fibreoptic bronchoscopy. Thorax. 2003;58(8).",Intratracheal cocaine induced myocardial infarction: an unusual complication of fibreoptic bronchoscopy,Thorax,2003,58,8,,,,Osula S; Stockton P; Abdelaziz MM
17,"Graham DR, Hay JG, Clague J. Comparison of three different methods used to achieve local anesthesia for fiberoptic bronchoscopy. Chest. 1992;102(3).",Comparison of three different methods used to achieve local anesthesia for fiberoptic bronchoscopy,Chest,1992,102,3,,,,Graham DR; Hay JG; Clague J
18,"Hamad S, Al-Alawi M, Devaney N. Evaluation of the efficacy of transcricoid lignocaine as adjunctive local anaesthesia for fiberoptic bronchoscopy. Ir J Med Sci. 2015;184(2).",Evaluation of the efficacy of transcricoid lignocaine as adjunctive local anaesthesia for fiberoptic bronchoscopy,Ir J Med Sci,2015,184,2,,,,Hamad S; Al-Alawi M; Devaney N
19,"Demeester TR, Skinner DB, Evans RH. Local nerve block anesthesia for peroral endoscopy. Ann Thorac Surg. 1977;24(3).",Local nerve block anesthesia for peroral endoscopy,Ann Thorac Surg,1977,24,3,,,,Demeester TR; Skinner DB; Evans RH
20,"Goyal G, Pisani MA, Murphy TE. Advanced diagnostic bronchoscopy using conscious sedation and the laryngeal nerve block: tolerability, thoroughness, and diagnostic yield. Lung. 2014;192(6).","Advanced diagnostic bronchoscopy using conscious sedation and the laryngeal nerve block: tolerability, thoroughness, and diagnostic yield",Lung,2014,192,6,,,,Goyal G; Pisani MA; Murphy TE
21,"Morgan GE, Mikhail MS, Murray MJ. Clinical anesthesiology. Clinical anesthesiology. 2006;None.",Clinical anesthesiology,Clinical anesthesiology,2006,,,,,,Morgan GE; Mikhail MS; Murray MJ
