#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Dipper A, Jones HE, Bhatnagar R. Interventions for the management of malignant pleural effusions: a network metaanalysis. Cochrane Database Syst Rev. 2020;4:10529.",Interventions for the management of malignant pleural effusions: a network metaanalysis,Cochrane Database Syst Rev,2020,4,,10529,,,Dipper A; Jones HE; Bhatnagar R
2,"Porcel JM, Gasol A, Bielsa S. Clinical features and survival of lung cancer patients with pleural effusions. Respirology. 2015;20.",Clinical features and survival of lung cancer patients with pleural effusions,Respirology,2015,20,,,,,Porcel JM; Gasol A; Bielsa S
3,"Feller-Kopman DJ, Reddy CB. Management of malignant pleural effusions. An official ATS/STS/STR clinical practice guideline. Am J Respir Crit Care Med. 2018;198.",Management of malignant pleural effusions. An official ATS/STS/STR clinical practice guideline,Am J Respir Crit Care Med,2018,198,,,,,Feller-Kopman DJ; Reddy CB
4,"Qureshi NR, Rahman NM, Gleeson FV. Thoracic ultrasound in the diagnosis of malignant pleural effusion. Thorax. 2009;64.",Thoracic ultrasound in the diagnosis of malignant pleural effusion,Thorax,2009,64,,,,,Qureshi NR; Rahman NM; Gleeson FV
5,"Porcel JM, Pardina M, Bielsa S. Derivation and validation of a CT scan scoring system for discriminating malignant from benign pleural effusions. Chest. 2015;147.",Derivation and validation of a CT scan scoring system for discriminating malignant from benign pleural effusions,Chest,2015,147,,,,,Porcel JM; Pardina M; Bielsa S
6,"Fjaellegaard K, Petersen K, Reuter J, S. Positron emission tomography-computed tomography (PET-CT) in suspected malignant pleural effusion. An updated systematic review and meta-analysis. Lung Cancer. 2021;162.",Positron emission tomography-computed tomography (PET-CT) in suspected malignant pleural effusion. An updated systematic review and meta-analysis,Lung Cancer,2021,162,,,,,Fjaellegaard K; Petersen K; Reuter J; S
7,"Roberts ME, Rahman NM, Maskell NA. British Thoracic Society Guideline for pleural disease. Thorax. 2023;78(suppl 3).",British Thoracic Society Guideline for pleural disease,Thorax,2023,78,suppl 3,,,,Roberts ME; Rahman NM; Maskell NA
8,"Reuter S, Naur T, Clementsen PF. The value of computed tomography in discriminating malignant from nonmalignant causes of unresolved unilateral pleural effusions: a systematic review. Eur Clin Respir J. 2019;6:1565803.",The value of computed tomography in discriminating malignant from nonmalignant causes of unresolved unilateral pleural effusions: a systematic review,Eur Clin Respir J,2019,6,,1565803,,,Reuter S; Naur T; Clementsen PF
9,"Hallifax RJ, Haris M, Corcoran JP. Role of CT in assessing pleural malignancy prior to thoracoscopy. Thorax. 2015;70.",Role of CT in assessing pleural malignancy prior to thoracoscopy,Thorax,2015,70,,,,,Hallifax RJ; Haris M; Corcoran JP
10,"Salamonsen MR, Lo A, Ng A. Novel use of pleural ultrasound can identify malignant entrapped lung prior to effusion drainage. Chest. 2014;146.",Novel use of pleural ultrasound can identify malignant entrapped lung prior to effusion drainage,Chest,2014,146,,,,,Salamonsen MR; Lo A; Ng A
