#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural Disease. Pleural Disease. 2007;None.,Pleural Disease,Pleural Disease,2007,,,,,,Light RW
2,"Puchalski JT, Argento AC, Murphy TE, Araujo KL, Pisani MA. The safety of thoracentesis in patients with uncorrected bleeding risk. Ann Am Thorac Soc. 2013;8(4).",The safety of thoracentesis in patients with uncorrected bleeding risk,Ann Am Thorac Soc,2013,8,4,,,23952852,Puchalski JT; Argento AC; Murphy TE; Araujo KL; Pisani MA
3,"Jones PW, Moyers JP, Rogers JT, Rodriguez RM, Lee YC, Light RW. Ultrasound-guided thoracentesis: is it a safer method. Chest. 2003;2(2).",Ultrasound-guided thoracentesis: is it a safer method,Chest,2003,2,2,,,12576360,Jones PW; Moyers JP; Rogers JT; Rodriguez RM; Lee YC; Light RW
4,"Havelock T, Teoh R, Laws D, Gleeson F. Pleural procedures and thoracic ultrasound: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;8(Suppl 2).",Pleural procedures and thoracic ultrasound: British Thoracic Society Pleural Disease Guideline,Thorax,2010,8,Suppl 2,,,20696688,Havelock T; Teoh R; Laws D; Gleeson F
5,"Seneff MG, Corwin RW, Gold LH. Complications associated with thoracocentesis. Chest. 1986;7(1).",Complications associated with thoracocentesis,Chest,1986,7,1,,,3522123,Seneff MG; Corwin RW; Gold LH
6,"Roth BJ, Cragun WH, Grathwohl KW. Complications associated with thoracentesis. Arch Intern Med. 1991;10(10).",Complications associated with thoracentesis,Arch Intern Med,1991,10,10,,,,Roth BJ; Cragun WH; Grathwohl KW
7,"Raptopoulos V, Davis LM, Lee G. Factors affecting the development of pneumothorax associated with thoracentesis. AJR Am J Roentgenol. 1991;5(5).",Factors affecting the development of pneumothorax associated with thoracentesis,AJR Am J Roentgenol,1991,5,5,,,2017951,Raptopoulos V; Davis LM; Lee G
8,"Heidecker J, Huggins JT, Sahn SA, Doelken P. Pathophysiology of pneumothorax following ultrasound-guided thoracentesis. Chest. 2006;10(4).",Pathophysiology of pneumothorax following ultrasound-guided thoracentesis,Chest,2006,10,4,,,17035453,Heidecker J; Huggins JT; Sahn SA; Doelken P
9,"Josephson T, Nordenskjold CA, Larsson J, Rosenberg LU, Kaijser M. Amount drained at ultrasound-guided thoracentesis and risk of pneumothorax. Acta Radiol. 2009;1(1).",Amount drained at ultrasound-guided thoracentesis and risk of pneumothorax,Acta Radiol,2009,1,1,,,19052935,Josephson T; Nordenskjold CA; Larsson J; Rosenberg LU; Kaijser M
10,"Feller-Kopman D, Walkey A, Berkowitz D, Ernst A. The relationship of pleural pressure to symptom development during therapeutic thoracentesis. Chest. 2006;6(6).",The relationship of pleural pressure to symptom development during therapeutic thoracentesis,Chest,2006,6,6,,,16778274,Feller-Kopman D; Walkey A; Berkowitz D; Ernst A
11,Beech RD. Practical System for Thoracentesis Using Blood Donor Set. JAMA. 1951;8(17):1597.,Practical System for Thoracentesis Using Blood Donor Set,JAMA,1951,8,17,1597,,,Beech RD
12,"Albertson HA, Leavitt D, Gamble JR. A simple method for doing a thoracentesis using a plasmacollecting vacuum bottle. J Thorac Surg. 1954;11(5).",A simple method for doing a thoracentesis using a plasmacollecting vacuum bottle,J Thorac Surg,1954,11,5,,,13212859,Albertson HA; Leavitt D; Gamble JR
13," Using vacuum bottles during thoracentesis procedures: clinical benefits and harms, and guidelines. Using vacuum bottles during thoracentesis procedures: clinical benefits and harms, and guidelines. 2009;None.","Using vacuum bottles during thoracentesis procedures: clinical benefits and harms, and guidelines","Using vacuum bottles during thoracentesis procedures: clinical benefits and harms, and guidelines",2009,,,,,,
14,"Puchalski JT, Argento AC, Murphy TE. Etiologies of bilateral pleural effusions. Respiratory medicine. 2013;2(2).",Etiologies of bilateral pleural effusions,Respiratory medicine,2013,2,2,,,23219348,Puchalski JT; Argento AC; Murphy TE
15,"Petersen WG, Zimmerman R. Limited Utility of Chest Radiograph After Thoracentesis. Chest. 2000;4(4).",Limited Utility of Chest Radiograph After Thoracentesis,Chest,2000,4,4,,,10767236,Petersen WG; Zimmerman R
16,"Kelil T, Shyn PB, Wu LE. Wall suction-assisted image-guided therapeutic paracentesis: a safe and less expensive alternative to evacuated bottles. Abdominal Radiology. 2016;1(7).",Wall suction-assisted image-guided therapeutic paracentesis: a safe and less expensive alternative to evacuated bottles,Abdominal Radiology,2016,1,7,,,27315094,Kelil T; Shyn PB; Wu LE
17,"Alraiyes AH, Kheir FK, Harris K. How much negative pressure are we generating during thoracentesis?. Ochsner Journal. 2017;17(2).",How much negative pressure are we generating during thoracentesis?,Ochsner Journal,2017,17,2,,,28638284,Alraiyes AH; Kheir FK; Harris K
18,"Bahreini M, Jalili M, Moradi-Lakeh M. A comparison of three self-report pain scales in adults with acute pain. J Emerg Med. 2015;1(1).",A comparison of three self-report pain scales in adults with acute pain,J Emerg Med,2015,1,1,,,25271179,Bahreini M; Jalili M; Moradi-Lakeh M
19,"Bijur PE, Latimer CT, Gallagher EJ. Validation of a verbally administered numerical rating scale of acute pain for use in the emergency department. Acad Emerg Med. 2003;4(4).",Validation of a verbally administered numerical rating scale of acute pain for use in the emergency department,Acad Emerg Med,2003,4,4,,,12670856,Bijur PE; Latimer CT; Gallagher EJ
20,Mercaldi CJ. Lanes SF Ultrasound guidance decreases complications and improves the cost of care among patients undergoing thoracentesis and paracentesis. Chest. 2013;2(1).,Lanes SF Ultrasound guidance decreases complications and improves the cost of care among patients undergoing thoracentesis and paracentesis,Chest,2013,2,1,,,23381318,Mercaldi CJ
