#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Yanai N, Ishikawa S. Flexible bronchofiberscope. Keio J Med. 1968;17(1).",Flexible bronchofiberscope,Keio J Med,1968,17,1,,,,Ikeda S; Yanai N; Ishikawa S
2,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. Connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. Connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
3,"Asano F, Shinagawa N, Ishida T. Virtual bronchoscopic navigation combined with ultrathin bronchoscopy. A randomized clinical trial. Am J Respir Crit Care Med. 2013;188(3).",Virtual bronchoscopic navigation combined with ultrathin bronchoscopy. A randomized clinical trial,Am J Respir Crit Care Med,2013,188,3,,,,Asano F; Shinagawa N; Ishida T
4,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
5,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE Study. J Thorac Oncol. 2019;14(3).","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: oneyear results of the prospective, multicenter NAVIGATE Study",J Thorac Oncol,2019,14,3,,,,Folch EE; Pritchett MA; Nead MA
6,"Gildea TR, Mazzone PJ, Karnak D, Meziane M, Mehta AC. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D; Meziane M; Mehta AC
7,"Oki M, Saka H, Ando M. Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions. A randomized trial. Am J Respir Crit Care Med. 2015;192(4).",Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions. A randomized trial,Am J Respir Crit Care Med,2015,192,4,,,,Oki M; Saka H; Ando M
8,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
9,"Silvestri GA, Vachani A, Whitney D. A bronchial genomic classifier for the diagnostic evaluation of lung cancer. N Engl J Med. 2015;373(3).",A bronchial genomic classifier for the diagnostic evaluation of lung cancer,N Engl J Med,2015,373,3,,,,Silvestri GA; Vachani A; Whitney D
10,"Tanner NT, Yarmus L, Chen A. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154(5).","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,5,,,,Tanner NT; Yarmus L; Chen A
11,"Silvestri GA, Bevill BT, Huang J. An evaluation of diagnostic yield from bronchoscopy: the impact of clinical/ radiographic factors, procedure type, and degree of suspicion for cancer. Chest. 2020;157(6).","An evaluation of diagnostic yield from bronchoscopy: the impact of clinical/ radiographic factors, procedure type, and degree of suspicion for cancer",Chest,2020,157,6,,,,Silvestri GA; Bevill BT; Huang J
12,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
13,"Bhatt KM, Tandon YK, Graham R. Electromagnetic navigational bronchoscopy versus CT-guided percutaneous sampling of peripheral indeterminate pulmonary nodules: a cohort study. Radiology. 2018;286(3).",Electromagnetic navigational bronchoscopy versus CT-guided percutaneous sampling of peripheral indeterminate pulmonary nodules: a cohort study,Radiology,2018,286,3,,,,Bhatt KM; Tandon YK; Graham R
14, Premarket notification-Monarch Endoscopy Platform (Monarch Platform). Premarket notification-Monarch Endoscopy Platform (Monarch Platform). 2018;None:510.,Premarket notification-Monarch Endoscopy Platform (Monarch Platform),Premarket notification-Monarch Endoscopy Platform (Monarch Platform),2018,,,510,,,
15, Premarket notification-Ion Endoluminal System. Premarket notification-Ion Endoluminal System. 2019;None:510.,Premarket notification-Ion Endoluminal System,Premarket notification-Ion Endoluminal System,2019,,,510,,,
16,"Solomon SB, White P, Jr, Acker DE, Strandberg J, Venbrux AC. Real-time bronchoscope tip localization enables three-dimensional CT image guidance for transbronchial needle aspiration in swine. Chest. 1998;114(5).",Real-time bronchoscope tip localization enables three-dimensional CT image guidance for transbronchial needle aspiration in swine,Chest,1998,114,5,,,,Solomon SB; White P; Jr; Acker DE; Strandberg J; Venbrux AC
