#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Montgomery WW. Reconstruction of the cervical trachea. Ann Otol Rhinol Laryngol. 1964;73.,Reconstruction of the cervical trachea,Ann Otol Rhinol Laryngol,1964,73,,,,,Montgomery WW
2,"Pereszlenyi A, Igaz M, Majer I, Harustiak S. Role of endotracheal stenting in tracheal reconstruction surgery -retrospective analysis. Eur J Cardiothorac Surg. 2004;25.",Role of endotracheal stenting in tracheal reconstruction surgery -retrospective analysis,Eur J Cardiothorac Surg,2004,25,,,,,Pereszlenyi A; Igaz M; Majer I; Harustiak S
3,"Wahidi MM, Ernst A. The Montgomery T-tube tracheal stent. Clin Chest Med. 2003;24.",The Montgomery T-tube tracheal stent,Clin Chest Med,2003,24,,,,,Wahidi MM; Ernst A
4,"Puma F, Ragusa M, Avenia N et al.. The role of silicone stents in the treatment of cicatricial tracheal stenoses. J Thorac Cardiovasc Surg. 2000;120.",The role of silicone stents in the treatment of cicatricial tracheal stenoses,J Thorac Cardiovasc Surg,2000,120,,,,,Puma F; Ragusa M; Avenia N; Urbani M; Droghetti A; Daddi N; Daddi G
5,"Liu HC, Lee KS, Huang CJ, Cheng CR, Hsu WH, Huang MH. Silicone T-tube for complex laryngotracheal problems. Eur J Cardiothorac Surg. 2002;21.",Silicone T-tube for complex laryngotracheal problems,Eur J Cardiothorac Surg,2002,21,,,,,Liu HC; Lee KS; Huang CJ; Cheng CR; Hsu WH; Huang MH
6,"Phillips PS, Kubba H, Hartley BE, Albert DM. The use of the Montgomery T-tube in difficult paediatric airways. Int J Pediatr Otorhinolaryngol. 2006;70.",The use of the Montgomery T-tube in difficult paediatric airways,Int J Pediatr Otorhinolaryngol,2006,70,,,,,Phillips PS; Kubba H; Hartley BE; Albert DM
7,"Martinez-Ballarin JI, Diaz-Jimenez JP, Castro MJ, Moya JA. Silicone stents in the management of benign tracheobronchial stenoses, tolerance and early results in 63 patients. Chest. 1996;109.","Silicone stents in the management of benign tracheobronchial stenoses, tolerance and early results in 63 patients",Chest,1996,109,,,,,Martinez-Ballarin JI; Diaz-Jimenez JP; Castro MJ; Moya JA
8,"Preciado D, Zalzal G. Laryngeal and tracheal stents in children. Curr Opin Otolaryngol Head Neck Surg. 2008;16.",Laryngeal and tracheal stents in children,Curr Opin Otolaryngol Head Neck Surg,2008,16,,,,,Preciado D; Zalzal G
9, 9 Cotton RT: Pediatric laryngotracheal stenosis. J Pediatr Surg. 1984;19.,9 Cotton RT: Pediatric laryngotracheal stenosis,J Pediatr Surg,1984,19,,,,,
10,"Wang CY, Qin Y. Surgical management of laryngotracheal stenosis: a retrospective study of 53 cases. Chin J Otorhinolaryngol Head Neck Surg. 2008;43.",Surgical management of laryngotracheal stenosis: a retrospective study of 53 cases,Chin J Otorhinolaryngol Head Neck Surg,2008,43,,,,,Wang CY; Qin Y
11,"Liu LF, Wu WM, Wang JL, Feng B, Zhao H, Huang DL. Analysis of traumatic laryngotracheal stenosis in 63 cases. Chin J Otorhinolaryngol Head Neck Surg. 2009;5.",Analysis of traumatic laryngotracheal stenosis in 63 cases,Chin J Otorhinolaryngol Head Neck Surg,2009,5,,,,,Liu LF; Wu WM; Wang JL; Feng B; Zhao H; Huang DL
