#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent trends in the identification of incidental pulmonary nodules. Am J Respir Crit Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am J Respir Crit Care Med,2015,192,10,,,,Gould MK; Tang T; Liu IL
2,"Lung N, Trial Research S, Trial, Aberle DR, Adams AM. Reduced lung-cancer mortality with lowdose computed tomographic screening. N Engl J Med. 2011;365(5).",Reduced lung-cancer mortality with lowdose computed tomographic screening,N Engl J Med,2011,365,5,,,,Lung N; Trial Research S; Trial; Aberle DR; Adams AM
3,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(suppl 5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,suppl 5,,,,Gould MK; Donington J; Lynch WR
4,"Tanner NT, Aggarwal J, Gould MK. Management of pulmonary nodules by community pulmonologists: a multicenter observational study. Chest. 2015;148(6).",Management of pulmonary nodules by community pulmonologists: a multicenter observational study,Chest,2015,148,6,,,,Tanner NT; Aggarwal J; Gould MK
5,"Tanner NT, Porter A, Gould MK, Li XJ, Vachani A, Silvestri GA. Physician assessment of pretest probability of malignancy and adherence with guidelines for pulmonary nodule evaluation. Chest. 2017;152(2).",Physician assessment of pretest probability of malignancy and adherence with guidelines for pulmonary nodule evaluation,Chest,2017,152,2,,,,Tanner NT; Porter A; Gould MK; Li XJ; Vachani A; Silvestri GA
6,"Li XJ, Hayward C, Fong PY. A blood-based proteomic classifier for the molecular characterization of pulmonary nodules. Sci Translation Med. 2013;5(207).",A blood-based proteomic classifier for the molecular characterization of pulmonary nodules,Sci Translation Med,2013,5,207,,,,Li XJ; Hayward C; Fong PY
7,"Vachani A, Hammoud Z, Springmeyer S. Clinical utility of a plasma protein classifier for indeterminate lung nodules. Lung. 2015;193(6).",Clinical utility of a plasma protein classifier for indeterminate lung nodules,Lung,2015,193,6,,,,Vachani A; Hammoud Z; Springmeyer S
8,"Grassadonia A, Tinari N, Iurisci I. 90K (Mac-2 BP) and galectins in tumor progression and metastasis. Glycoconj J. 2002;19(7-9).",90K (Mac-2 BP) and galectins in tumor progression and metastasis,Glycoconj J,2002,19,7-9,,,,Grassadonia A; Tinari N; Iurisci I
9,"Yang L, Wang F, Wang L. CD163þ tumor-associated macrophage is a prognostic biomarker and is associated with therapeutic effect on malignant pleural effusion of lung cancer patients. Oncotarget. 2015;6(12).",CD163þ tumor-associated macrophage is a prognostic biomarker and is associated with therapeutic effect on malignant pleural effusion of lung cancer patients,Oncotarget,2015,6,12,,,,Yang L; Wang F; Wang L
10,"Moestrup SK, Moller HJ. CD163: a regulated hemoglobin scavenger receptor with a role in the antiinflammatory response. Ann Med. 2004;36(5).",CD163: a regulated hemoglobin scavenger receptor with a role in the antiinflammatory response,Ann Med,2004,36,5,,,,Moestrup SK; Moller HJ
11,"Kearney P, Hunsucker SW, Li XJ, Porter A, Springmeyer S, Mazzone P. An integrated risk predictor for pulmonary nodules. PLoS One. 2017;12(5):177635.",An integrated risk predictor for pulmonary nodules,PLoS One,2017,12,5,177635,,,Kearney P; Hunsucker SW; Li XJ; Porter A; Springmeyer S; Mazzone P
12,"Silvestri GA, Vachani A, Whitney D. A bronchial genomic classifier for the diagnostic evaluation of lung cancer. N Engl J Med. 2015;373(3).",A bronchial genomic classifier for the diagnostic evaluation of lung cancer,N Engl J Med,2015,373,3,,,,Silvestri GA; Vachani A; Whitney D
13,"Fagerland MW, Lydersen S, Laake P. The McNemar test for binary matched-pairs data: mid-p and asymptotic are better than exact conditional. BMC Med Res Methodol. 2013;13:91.",The McNemar test for binary matched-pairs data: mid-p and asymptotic are better than exact conditional,BMC Med Res Methodol,2013,13,,91,,,Fagerland MW; Lydersen S; Laake P
14,"Swensen SJ, Silverstein MD, Ilstrup DM, Schleck CD, Edell ES. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch Intern Med. 1997;157(8).",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch Intern Med,1997,157,8,,,,Swensen SJ; Silverstein MD; Ilstrup DM; Schleck CD; Edell ES
15,"Gould MK, Ananth L, Barnett PG. A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules. Chest. 2007;131(2).",A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules,Chest,2007,131,2,,,,Gould MK; Ananth L; Barnett PG
16,"Schultz EM, Silvestri GA, Gould MK. Variation in experts' beliefs about lung cancer growth, progression, and prognosis. J Thorac Oncol. 2008;3(4).","Variation in experts' beliefs about lung cancer growth, progression, and prognosis",J Thorac Oncol,2008,3,4,,,,Schultz EM; Silvestri GA; Gould MK
17,"Deppen SA, Blume JD, Kensinger CD. Accuracy of FDG-PET to diagnose lung cancer in areas with infectious lung disease: a meta-analysis. JAMA. 2014;312(12).",Accuracy of FDG-PET to diagnose lung cancer in areas with infectious lung disease: a meta-analysis,JAMA,2014,312,12,,,,Deppen SA; Blume JD; Kensinger CD
18,"Wiener RS, Wiener DC, Gould MK. Risks of transthoracic needle biopsy: how high?. Clin Pulm Med. 2013;20(1).",Risks of transthoracic needle biopsy: how high?,Clin Pulm Med,2013,20,1,,,,Wiener RS; Wiener DC; Gould MK
19,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Critic Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Critic Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
20,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
21,"Lokhandwala T, Bittoni MA, Dann RA. Costs of diagnostic assessment for lung cancer: a Medicare claims analysis. Clin Lung Cancer. 2017;18(1).",Costs of diagnostic assessment for lung cancer: a Medicare claims analysis,Clin Lung Cancer,2017,18,1,,,,Lokhandwala T; Bittoni MA; Dann RA
22,"Vachani A, Tanner NT, Aggarwal J. Factors that influence physician decision making for indeterminate pulmonary nodules. Ann Am Thorac Soc. 2014;11(10).",Factors that influence physician decision making for indeterminate pulmonary nodules,Ann Am Thorac Soc,2014,11,10,,,,Vachani A; Tanner NT; Aggarwal J
23,"Wiener RS, Gould MK, Slatore CG, Fincke BG, Schwartz LM, Woloshin S. Resource use and guideline concordance in evaluation of pulmonary nodules for cancer: too much and too little care. JAMA Intern Med. 2014;174(6).",Resource use and guideline concordance in evaluation of pulmonary nodules for cancer: too much and too little care,JAMA Intern Med,2014,174,6,,,,Wiener RS; Gould MK; Slatore CG; Fincke BG; Schwartz LM; Woloshin S
24,"Mazzone PJ, Sears CR, Arenberg DA. Evaluating molecular biomarkers for the early detection of lung cancer: when is a biomarker ready for clinical use? An official American Thoracic Society policy statement. Am J Respir Crit Care Med. 2017;196(7).",Evaluating molecular biomarkers for the early detection of lung cancer: when is a biomarker ready for clinical use? An official American Thoracic Society policy statement,Am J Respir Crit Care Med,2017,196,7,,,,Mazzone PJ; Sears CR; Arenberg DA
