#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pastis NJ, Silvestri GA, Shepherd RW. Quality-of-life improvement and cost-effectiveness of interventional pulmonary procedures. Clin Chest Med. 2013;34.",Quality-of-life improvement and cost-effectiveness of interventional pulmonary procedures,Clin Chest Med,2013,34,,,,,Pastis NJ; Silvestri GA; Shepherd RW
2,"Mondoni M, Radovanovic D, Sotgiu G. Interventional pulmonology techniques in elderly patients with comorbidities. Eur J Intern Med. 2019;59.",Interventional pulmonology techniques in elderly patients with comorbidities,Eur J Intern Med,2019,59,,,,,Mondoni M; Radovanovic D; Sotgiu G
3,"Pastis NJ, Nietert PJ, Silvestri GA. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors. Chest. 2005;127.",Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors,Chest,2005,127,,,,,Pastis NJ; Nietert PJ; Silvestri GA
4,"Stather DR, Jarand J, Silvestri GA. An evaluation of procedural training in Canadian respirology fellowship programs: program directors' and fellows' perspectives. Can Respir J. 2009;16.",An evaluation of procedural training in Canadian respirology fellowship programs: program directors' and fellows' perspectives,Can Respir J,2009,16,,,,,Stather DR; Jarand J; Silvestri GA
5,"Corbetta L, Patelli M. Executive Summary of Training and Competence Standards for the Interventional Pulmonology Master Program in Italy. J Bronchology Interv Pulmonol. 2018;25.",Executive Summary of Training and Competence Standards for the Interventional Pulmonology Master Program in Italy,J Bronchology Interv Pulmonol,2018,25,,,,,Corbetta L; Patelli M
6,"Yarmus L, Feller-Kopman D, Imad M. Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors. Chest. 2013;144.",Procedural volume and structure of interventional pulmonary fellowships: a survey of fellows and fellowship program directors,Chest,2013,144,,,,,Yarmus L; Feller-Kopman D; Imad M
7,"Arias S, Lee HJ. The future of interventional pulmonology. Semin Respir Crit Care Med. 2014;35.",The future of interventional pulmonology,Semin Respir Crit Care Med,2014,35,,,,,Arias S; Lee HJ
8,"Semler MW, Keriwala RD, Clune JK. A randomized trial comparing didactics, demonstration, and simulation for teaching teamwork to medical residents. Ann Am Thorac Soc. 2015;12.","A randomized trial comparing didactics, demonstration, and simulation for teaching teamwork to medical residents",Ann Am Thorac Soc,2015,12,,,,,Semler MW; Keriwala RD; Clune JK
9,"Chang L, Dym A, Venegas-Borsellino AA, C. Comparison between Simulation-based Training and Lecture-based Education in Teaching Situation Awareness. A Randomized Controlled Study. Ann Am Thorac Soc. 2017;14.",Comparison between Simulation-based Training and Lecture-based Education in Teaching Situation Awareness. A Randomized Controlled Study,Ann Am Thorac Soc,2017,14,,,,,Chang L; Dym A; Venegas-Borsellino AA; C
10,"Ramar K, Moraes D, Selim AG, B. Effectiveness of hands-on tutoring and guided self-directed learning versus self-directed learning alone to educate critical care fellows on mechanical ventilation -a pilot project. Med Educ Online. 2016;21:32727.",Effectiveness of hands-on tutoring and guided self-directed learning versus self-directed learning alone to educate critical care fellows on mechanical ventilation -a pilot project,Med Educ Online,2016,21,,32727,,,Ramar K; Moraes D; Selim AG; B
11,"Huang GC, Mcsparron JI, Balk EM. Procedural instruction in invasive bedside procedures: a systematic review and meta-analysis of effective teaching approaches. BMJ Qual Saf. 2016;25.",Procedural instruction in invasive bedside procedures: a systematic review and meta-analysis of effective teaching approaches,BMJ Qual Saf,2016,25,,,,,Huang GC; Mcsparron JI; Balk EM
12, Policies and Procedures for Certification. Policies and Procedures for Certification. 2006;None.,Policies and Procedures for Certification,Policies and Procedures for Certification,2006,,,,,,
13,"Mcsparron JI, Michaud GC, Gordan PL. Simulation for Skills-based Education in Pulmonary and Critical Care Medicine. Ann Am Thorac Soc. 2015;12.",Simulation for Skills-based Education in Pulmonary and Critical Care Medicine,Ann Am Thorac Soc,2015,12,,,,,Mcsparron JI; Michaud GC; Gordan PL
14,"Stather DR, Maceachern P, Chee A. Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice. Respiration. 2013;85.",Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice,Respiration,2013,85,,,,,Stather DR; Maceachern P; Chee A
15,"Nayahangan LJ, Clementsen PF, Paltved C. Identifying Technical Procedures in Pulmonary Medicine That Should Be Integrated in a Simulation-Based Curriculum: A National General Needs Assessment. Respiration. 2016;91.",Identifying Technical Procedures in Pulmonary Medicine That Should Be Integrated in a Simulation-Based Curriculum: A National General Needs Assessment,Respiration,2016,91,,,,,Nayahangan LJ; Clementsen PF; Paltved C
16,"Kurup V, Matei V, Ray J. Role of in-situ simulation for training in healthcare: opportunities and challenges. Curr Opin Anaesthesiol. 2017;30.",Role of in-situ simulation for training in healthcare: opportunities and challenges,Curr Opin Anaesthesiol,2017,30,,,,,Kurup V; Matei V; Ray J
17,"Dine CJ, Gersh RE, Leary M. Improving cardiopulmonary resuscitation quality and resuscitation training by combining audiovisual feedback and debriefing. Crit Care Med. 2008;36.",Improving cardiopulmonary resuscitation quality and resuscitation training by combining audiovisual feedback and debriefing,Crit Care Med,2008,36,,,,,Dine CJ; Gersh RE; Leary M
