#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Donington J, Lynch WR et al.. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Gould MK; Donington J; Lynch WR; Mazzone PJ; Midthun DE; Naidich DP; Wiener RS
2,"Aberle DR, Adams AM, Berg CD et al.. Reduced lung-cancer mortality with low-dose computed tomographic screening. N. Engl. J. Med. 2011;365(5).",Reduced lung-cancer mortality with low-dose computed tomographic screening,N. Engl. J. Med,2011,365,5,,,,Aberle DR; Adams AM; Berg CD; Black WC; Clapp JD; Fagerstrom RM; Gareen IF; Gatsonis C; Marcus PM; Sicks JD
3,"Wahidi MM, Govert JA, Goudar RK, Gould MK, Mccrory DC. Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132(3).",Evidence for the treatment of patients with pulmonary nodules: when is it lung cancer?: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,3,,,,Wahidi MM; Govert JA; Goudar RK; Gould MK; Mccrory DC
4,"Ost D, Fein AM, Feinsilver SH. Clinical practice. The solitary pulmonary nodule. N. Engl. J. Med. 2003;348(25).",Clinical practice. The solitary pulmonary nodule,N. Engl. J. Med,2003,348,25,,,,Ost D; Fein AM; Feinsilver SH
5,"Baaklini WA, Reinoso MA, Gorin AB, Sharafkaneh A, Manian P. Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules. Chest. 2000;117(4).",Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules,Chest,2000,117,4,,,,Baaklini WA; Reinoso MA; Gorin AB; Sharafkaneh A; Manian P
6,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
7,"Ost DE, Ernst A, Lei X et al.. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am. J. Respir. Crit. Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am. J. Respir. Crit. Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X; Kovitz KL; Benzaquen S; Diaz-Mendoza J; Greenhill S; Toth J; Feller-Kopman D; Puchalski J
8,"Wang Memoli JS, Nietert PJ, Silvestri GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Wang Memoli JS; Nietert PJ; Silvestri GA
9,"Yarmus LB, Arias S, Feller-Kopman D et al.. Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study. J. Thorac. Dis. 2016;8(1).",Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study,J. Thorac. Dis,2016,8,1,,,,Yarmus LB; Arias S; Feller-Kopman D; Semaan R; Wang KP; Frimpong B; Oakjones K; Burgess R; Thompson A; Chen R; Ortiz
10,"Gould MK, Ananth L, Barnett PG. A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules. Chest. 2007;131(2).",A clinical model to estimate the pretest probability of lung cancer in patients with solitary pulmonary nodules,Chest,2007,131,2,,,,Gould MK; Ananth L; Barnett PG
11,"Schultz EM, Sanders GD, Trotter PR et al.. Validation of two models to estimate the probability of malignancy in patients with solitary pulmonary nodules. Thorax. 2008;63(4).",Validation of two models to estimate the probability of malignancy in patients with solitary pulmonary nodules,Thorax,2008,63,4,,,,Schultz EM; Sanders GD; Trotter PR; Patz EF; Silvestri GA; Owens DK; Gould MK
12,"Yonemori K, Tateishi U, Uno H et al.. Development and validation of diagnostic prediction model for solitary pulmonary nodules. Respirology (Carlton, Vic). 2007;12(6).",Development and validation of diagnostic prediction model for solitary pulmonary nodules,"Respirology (Carlton, Vic)",2007,12,6,,,,Yonemori K; Tateishi U; Uno H; Yonemori Y; Tsuta K; Takeuchi M; Matsuno Y; Fujiwara Y; Asamura H; Kusumoto M
13,"Swensen SJ, Silverstein MD, Ilstrup DM, Schleck CD, Edell ES. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch. Intern. Med. 1997;157(8).",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch. Intern. Med,1997,157,8,,,,Swensen SJ; Silverstein MD; Ilstrup DM; Schleck CD; Edell ES
14,"Eberhardt R, Anantham D, Herth F, Feller-Kopman D, Ernst A. Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions. Chest. 2007;131(6).",Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions,Chest,2007,131,6,,,,Eberhardt R; Anantham D; Herth F; Feller-Kopman D; Ernst A
15,"Ettinger DS, Wood DE, Aisner DL et al.. Non-small cell lung Cancer, version 5.2017, NCCN clinical practice guidelines in oncology. J. Natl. Compr. Cancer Netw. 2017;15(4).","Non-small cell lung Cancer, version 5.2017, NCCN clinical practice guidelines in oncology",J. Natl. Compr. Cancer Netw,2017,15,4,,,,Ettinger DS; Wood DE; Aisner DL; Akerley W; Bauman J; Chirieac LR; D'amico TA; Decamp MM; Dilling TJ; Dobelbower M
16,"Silvestri GA, Vachani A, Whitney D et al.. A bronchial genomic classifier for the diagnostic evaluation of lung cancer. N. Engl. J. Med. 2015;373(3).",A bronchial genomic classifier for the diagnostic evaluation of lung cancer,N. Engl. J. Med,2015,373,3,,,,Silvestri GA; Vachani A; Whitney D; Elashoff M; Smith K; Ferguson JS; Parsons E; Mitra N; Brody J; Lenburg ME
17,"Li Y, Du Y, Luo TY et al.. Usefulness of normal saline for sealing the needle track after CT-guided lung biopsy. Clin. Radiol. 2015;70(11).",Usefulness of normal saline for sealing the needle track after CT-guided lung biopsy,Clin. Radiol,2015,70,11,,,,Li Y; Du Y; Luo TY; Yang HF; Yu JH; Xu XX; Zheng HJ; Li B
18,"Makris D, Scherpereel A, Leroy S et al.. Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions. Eur. Respir. J. 2007;29(6).",Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions,Eur. Respir. J,2007,29,6,,,,Makris D; Scherpereel A; Leroy S; Bouchindhomme B; Faivre JB; Remy J; Ramon P; Marquette CH
19,"Sanchez-Font A, Giralt L, Vollmer I, Pijuan L, Gea J, Curull V. Endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions. A controlled study with fluoroscopy. Arch. Bronconeumol. 2014;50(5).",Endobronchial ultrasound for the diagnosis of peripheral pulmonary lesions. A controlled study with fluoroscopy,Arch. Bronconeumol,2014,50,5,,,,Sanchez-Font A; Giralt L; Vollmer I; Pijuan L; Gea J; Curull V
20,"Kuo CH, Lin SM, Chung FT et al.. Echoic features as predictors of diagnostic yield of endobronchial ultrasoundguided transbronchial lung biopsy in peripheral pulmonary lesions. Ultrasound Med. Biol. 2011;37(11).",Echoic features as predictors of diagnostic yield of endobronchial ultrasoundguided transbronchial lung biopsy in peripheral pulmonary lesions,Ultrasound Med. Biol,2011,37,11,,,,Kuo CH; Lin SM; Chung FT; Lee KY; Ni YL; Lo YL; Chen HC; Kuo HP
21,"Kuo CH, Lin SM, Lee KY et al.. Endobronchial ultrasound-guided transbronchial biopsy and brushing: a comparative evaluation for the diagnosis of peripheral pulmonary lesions. Eur. J. Cardiothorac. Surg. 2014;45(5).",Endobronchial ultrasound-guided transbronchial biopsy and brushing: a comparative evaluation for the diagnosis of peripheral pulmonary lesions,Eur. J. Cardiothorac. Surg,2014,45,5,,,,Kuo CH; Lin SM; Lee KY; Chung FT; Lo YL; Hsiung TC; Liu CY; Kuo HP
22,"Kokkonouzis I, Lampaditis I, Charpidou A, Kainis E, Syrigos K. Usefulness of endobronchial ultrasound (EBUS) in the diagnosis of peripheral pulmonary lesions in a general hospital. In vivo. 2013;27(5).",Usefulness of endobronchial ultrasound (EBUS) in the diagnosis of peripheral pulmonary lesions in a general hospital,In vivo,2013,27,5,,,,Kokkonouzis I; Lampaditis I; Charpidou A; Kainis E; Syrigos K
23,"Shinagawa N, Nakano K, Asahina H et al.. Endobronchial ultrasonography with a guide sheath in the diagnosis of benign peripheral diseases. Ann. Thorac. Surg. 2012;93(3).",Endobronchial ultrasonography with a guide sheath in the diagnosis of benign peripheral diseases,Ann. Thorac. Surg,2012,93,3,,,,Shinagawa N; Nakano K; Asahina H; Kikuchi E; Ito T; Matsuno Y; Oizumi S; Nasuhara Y; Nishimura M
24,"Roth K, Eagan TM, Andreassen AH, Leh F, Hardie JA. A randomised trial of endobronchial ultrasound guided sampling in peripheral lung lesions. Lung Cancer. 2011;74(2).",A randomised trial of endobronchial ultrasound guided sampling in peripheral lung lesions,Lung Cancer,2011,74,2,,,,Roth K; Eagan TM; Andreassen AH; Leh F; Hardie JA
25,"Disayabutr S, Tscheikuna J, Nana A. The endobronchial ultrasound-guided transbronchial lung biopsy in peripheral pulmonary lesions. J. Med. Assoc. Thailand. 2010;93(1).",The endobronchial ultrasound-guided transbronchial lung biopsy in peripheral pulmonary lesions,J. Med. Assoc. Thailand,2010,93,1,,,,Disayabutr S; Tscheikuna J; Nana A
26,"Herth FJ, Ernst A, Becker HD. Endobronchial ultrasound-guided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions. Eur. Respir. J. 2002;20(4).",Endobronchial ultrasound-guided transbronchial lung biopsy in solitary pulmonary nodules and peripheral lesions,Eur. Respir. J,2002,20,4,,,,Herth FJ; Ernst A; Becker HD
27,"Zeger SL, Liang KY. Longitudinal data analysis for discrete and continuous outcomes. Biometrics. 1986;42(1).",Longitudinal data analysis for discrete and continuous outcomes,Biometrics,1986,42,1,,,,Zeger SL; Liang KY
