#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Global initiative for chronic obstructive lung disease (GOLD). Global initiative for chronic obstructive lung disease (GOLD). 2021;None.,Global initiative for chronic obstructive lung disease (GOLD),Global initiative for chronic obstructive lung disease (GOLD),2021,,,,,,
2,"Van Geffen WH, Slebos D, Herth FJ, Kemp SV, Weder W, Shah PL. Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis. Lancet Respir. Med. 2019;7.",Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis,Lancet Respir. Med,2019,7,,,,,Van Geffen WH; Slebos D; Herth FJ; Kemp SV; Weder W; Shah PL
3,"Hopkinson NS, Kemp SV, Toma TP, Hansell DM, Geddes DM, Shah PL. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur. Respir. J. 2011;37.",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur. Respir. J,2011,37,,,,,Hopkinson NS; Kemp SV; Toma TP; Hansell DM; Geddes DM; Shah PL
4,"Garner J, Kemp SV, Toma TP, Hansell DM, Polkey MI, Shah PL. Survival after endobronchial valve placement for emphysema: a 10-year follow-up study. Am. J. Respir. Crit. Care Med. 2016;19.",Survival after endobronchial valve placement for emphysema: a 10-year follow-up study,Am. J. Respir. Crit. Care Med,2016,19,,,,,Garner J; Kemp SV; Toma TP; Hansell DM; Polkey MI; Shah PL
5,"Gompelmann D, Benjamin N, Bischoff E, Kontogianni K, Schuhmann M, Hoffmann H. Survival after endoscopic valve therapy in patients with severe emphysema. Respiration. 2019;97.",Survival after endoscopic valve therapy in patients with severe emphysema,Respiration,2019,97,,,,,Gompelmann D; Benjamin N; Bischoff E; Kontogianni K; Schuhmann M; Hoffmann H
6,"Klooster K, Hartman JE, Ten Hacken NH, Slebos DJ. Improved predictors of survival after endobronchial valve treatment in patients with severe emphysema. Am. J. Respir. Crit. Care Med. 2017;195.",Improved predictors of survival after endobronchial valve treatment in patients with severe emphysema,Am. J. Respir. Crit. Care Med,2017,195,,,,,Klooster K; Hartman JE; Ten Hacken NH; Slebos DJ
7,"Celli BR, Cote CG, Marin JM, Casanova C, Montes De Oca M, Mendez RA. The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease. N. Engl. J. Med. 2004;350.","The body-mass index, airflow obstruction, dyspnea, and exercise capacity index in chronic obstructive pulmonary disease",N. Engl. J. Med,2004,350,,,,,Celli BR; Cote CG; Marin JM; Casanova C; Montes De Oca M; Mendez RA
8,"Garner JL, Kemp SV, Srikanthan K, Caneja C, Zoumot Z, Roberts C. 5-Year survival after endobronchial coil implantation: secondary analysis of the first randomised controlled trial. Respiration. 2020;99.",5-Year survival after endobronchial coil implantation: secondary analysis of the first randomised controlled trial,Respiration,2020,99,,,,,Garner JL; Kemp SV; Srikanthan K; Caneja C; Zoumot Z; Roberts C
9,"Welling JB, Hartman JE, Augustijn SW, Kerstjens HA, Vanfleteren LE, Klooster K. Patient selection for bronchoscopic lung volume reduction. Int. J. COPD. 2020;15.",Patient selection for bronchoscopic lung volume reduction,Int. J. COPD,2020,15,,,,,Welling JB; Hartman JE; Augustijn SW; Kerstjens HA; Vanfleteren LE; Klooster K
10,"Miller MR, Hankinson J, Brusasco V, Burgos F, Casaburi R, Coates A. Standardisation of spirometry. Eur. Respir. J. 2005;26.",Standardisation of spirometry,Eur. Respir. J,2005,26,,,,,Miller MR; Hankinson J; Brusasco V; Burgos F; Casaburi R; Coates A
