#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Silvestri GA, Gonzalez AV, Jantz MA. Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidencebased clinical practice guidelines. Chest. 2013;143(suppl 5).","Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidencebased clinical practice guidelines",Chest,2013,143,suppl 5,,,,Silvestri GA; Gonzalez AV; Jantz MA
2,"Higgins J, Altman D, SJ. Chapter 8: assessing risk of bias in included studies. Cochrane Handbook for Systematic Reviews of Interventions Version 5.1.0. 2011;None.",Chapter 8: assessing risk of bias in included studies,Cochrane Handbook for Systematic Reviews of Interventions Version 5.1.0,2011,,,,,,Higgins J; Altman D; SJ
3,"Bias C, Group M. Tool to Assess Risk of Bias in Cohort Studies. Tool to Assess Risk of Bias in Cohort Studies. 2014;None.",Tool to Assess Risk of Bias in Cohort Studies,Tool to Assess Risk of Bias in Cohort Studies,2014,,,,,,Bias C; Group M
4, Reasearch Projects: Cochrane Risk of Bias tool. Reasearch Projects: Cochrane Risk of Bias tool. 2014;None.,Reasearch Projects: Cochrane Risk of Bias tool,Reasearch Projects: Cochrane Risk of Bias tool,2014,,,,,,
5,"Diekemper R, Ireland B, Merz L. P154 Development of the Documentation And Appraisal Review Tool (Dart) for systematic reviews. BMJ Quality Safety. 2013;22(suppl 1).",P154 Development of the Documentation And Appraisal Review Tool (Dart) for systematic reviews,BMJ Quality Safety,2013,22,suppl 1,,,,Diekemper R; Ireland B; Merz L
6,"Balshem H, Helfand M, Schünemann HJ. GRADE guidelines: 3. Rating the quality of evidence. J Clin Epidemiol. 2011;64(4).",GRADE guidelines: 3. Rating the quality of evidence,J Clin Epidemiol,2011,64,4,,,,Balshem H; Helfand M; Schünemann HJ
7,"Lewis SZ, Diekemper R, Ornelas J, Casey KR. Methodologies for the development of CHEST guidelines and expert panel reports. Chest. 2014;146(1).",Methodologies for the development of CHEST guidelines and expert panel reports,Chest,2014,146,1,,,,Lewis SZ; Diekemper R; Ornelas J; Casey KR
8,"Jaeschke R, The G, Group. Use of GRADE grid to reach decisions on clinical practice guidelines when consensus is elusive. BMJ. 2008;337.",Use of GRADE grid to reach decisions on clinical practice guidelines when consensus is elusive,BMJ,2008,337,,,,,Jaeschke R; The G; Group
9,"Wahidi MM, Jain P, Jantz M. American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during flexible bronchoscopy in adult patients. Chest. 2011;140(5).","American College of Chest Physicians consensus statement on the use of topical anesthesia, analgesia, and sedation during flexible bronchoscopy in adult patients",Chest,2011,140,5,,,,Wahidi MM; Jain P; Jantz M
10,"Yarmus LB, Akulian JA, Gilbert C. Comparison of moderate versus deep sedation for endobronchial ultrasound transbronchial needle aspiration. Ann Am Thorac Soc. 2013;10(2).",Comparison of moderate versus deep sedation for endobronchial ultrasound transbronchial needle aspiration,Ann Am Thorac Soc,2013,10,2,,,,Yarmus LB; Akulian JA; Gilbert C
11,"Casal RF, Lazarus DR, Kuhl K. Randomized trial of endobronchial ultrasound-guided transbronchial needle aspiration under general anesthesia versus moderate sedation. Am J Respir Crit Care Med. 2015;191(7).",Randomized trial of endobronchial ultrasound-guided transbronchial needle aspiration under general anesthesia versus moderate sedation,Am J Respir Crit Care Med,2015,191,7,,,,Casal RF; Lazarus DR; Kuhl K
12,"Dal T, Sazak H, Tunç M, Sahin S, Yilmaz A. A comparison of ketamine-midazolam and ketamine-propofol combinations used for sedation in the endobronchial ultrasound-guided transbronchial needle aspiration: a prospective, single-blind, randomized study. J Thorac Dis. 2014;6(6).","A comparison of ketamine-midazolam and ketamine-propofol combinations used for sedation in the endobronchial ultrasound-guided transbronchial needle aspiration: a prospective, single-blind, randomized study",J Thorac Dis,2014,6,6,,,,Dal T; Sazak H; Tunç M; Sahin S; Yilmaz A
13,"Li YP, Yang J, Duan RW, Jiang GN, Fan J, Zhao RM. Application of modified laryngeal mask airway in endobronchial ultrasound-guided transbronchial needle aspiration. Acta Medica Mediterranea. 2013;29.",Application of modified laryngeal mask airway in endobronchial ultrasound-guided transbronchial needle aspiration,Acta Medica Mediterranea,2013,29,,,,,Li YP; Yang J; Duan RW; Jiang GN; Fan J; Zhao RM
14,"Sarkiss M, Kennedy M, Riedel B. Anesthesia technique for endobronchial ultrasound-guided fine needle aspiration of mediastinal lymph node. J Cardiothorac Vasc Anesth. 2007;21(6).",Anesthesia technique for endobronchial ultrasound-guided fine needle aspiration of mediastinal lymph node,J Cardiothorac Vasc Anesth,2007,21,6,,,,Sarkiss M; Kennedy M; Riedel B
15,"Herth FJ, Becker HD, Ernst A. Ultrasound-guided transbronchial needle aspiration: an experience in 242 patients. Chest. 2003;123(2).",Ultrasound-guided transbronchial needle aspiration: an experience in 242 patients,Chest,2003,123,2,,,,Herth FJ; Becker HD; Ernst A
16,"Herth F, Becker HD, Ernst A. Conventional vs endobronchial ultrasound-guided transbronchial needle aspiration: a randomized trial. Chest. 2004;125(1).",Conventional vs endobronchial ultrasound-guided transbronchial needle aspiration: a randomized trial,Chest,2004,125,1,,,,Herth F; Becker HD; Ernst A
