#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Becker HD, Marsh BR. History of the rigid bronchoscope. Interventional bronchoscopy. 2000;30.",History of the rigid bronchoscope,Interventional bronchoscopy,2000,30,,,,,Becker HD; Marsh BR
2,Kollofrath O. Entfernung eines Knochenstu ¨cks aus dem rechten Bronchus auf natu ¨rlichem Wege und unter Anwendung der directen Laryngoscopie. Mu ¨nchener Medizinische Wochenschrift. 1897;38.,Entfernung eines Knochenstu ¨cks aus dem rechten Bronchus auf natu ¨rlichem Wege und unter Anwendung der directen Laryngoscopie,Mu ¨nchener Medizinische Wochenschrift,1897,38,,,,,Kollofrath O
3,"Bru ¨nings W, AW. Direkte Endoskopie der Luft-und Speisewege. Direkte Endoskopie der Luft-und Speisewege. 1915;None.",Direkte Endoskopie der Luft-und Speisewege,Direkte Endoskopie der Luft-und Speisewege,1915,,,,,,Bru ¨nings W; AW
4,Jackson C. Foreign bodies in the air and food passages: charted experience in cases from no. 631 to no. 1155 at the Bronchoscopic Clinic. Foreign bodies in the air and food passages: charted experience in cases from no. 631 to no. 1155 at the Bronchoscopic Clinic. 1924;None.,Foreign bodies in the air and food passages: charted experience in cases from no. 631 to no. 1155 at the Bronchoscopic Clinic,Foreign bodies in the air and food passages: charted experience in cases from no. 631 to no. 1155 at the Bronchoscopic Clinic,1924,,,,,,Jackson C
5,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. Connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. Connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
6,Miyazawa T. History of the flexible bronchoscope. Interventional bronchoscopy. 2000;30.,History of the flexible bronchoscope,Interventional bronchoscopy,2000,30,,,,,Miyazawa T
7,"Toty L, Riquet M, Personne C. Pulmonary perforation of mediastinal caseous lymph nodes in children. Thirty-two cases (author's transl). Ann Chir. 1981;35(3).",Pulmonary perforation of mediastinal caseous lymph nodes in children. Thirty-two cases (author's transl),Ann Chir,1981,35,3,,,,Toty L; Riquet M; Personne C
8,Montgomery WW. T-tube tracheal stent. Arch Otolaryngol. 1965;82.,T-tube tracheal stent,Arch Otolaryngol,1965,82,,,,,Montgomery WW
9,Dumon JF. A specific tracheobronchial endoprosthesis. Presse Med. 1989;18(42).,A specific tracheobronchial endoprosthesis,Presse Med,1989,18,42,,,,Dumon JF
10,"Ayers ML, Beamis JF. Rigid bronchoscopy in the twenty-first century. Clin Chest Med. 2001;22(2).",Rigid bronchoscopy in the twenty-first century,Clin Chest Med,2001,22,2,,,,Ayers ML; Beamis JF
11,"Limper AH, Prakash UB. Tracheobronchial foreign bodies in adults. Ann Intern Med. 1990;112(8).",Tracheobronchial foreign bodies in adults,Ann Intern Med,1990,112,8,,,,Limper AH; Prakash UB
