#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Frostin P. Sources of health insurance and characteristics of the uninsured: analysis of the March 2012 current population survey. EBRI Issue Brief. 2012;376.,Sources of health insurance and characteristics of the uninsured: analysis of the March 2012 current population survey,EBRI Issue Brief,2012,,376,,,,Frostin P
2,Peele P. Employer-sponsored health insurance: are employers good agents for their employees?. Milbank Q. 2000;78(1).,Employer-sponsored health insurance: are employers good agents for their employees?,Milbank Q,2000,78,1,,,,Peele P
3,Gabel J. Job-based health insurance in 2000: premiums rise sharply while coverage grows. Health Aff. 2000;19(5).,Job-based health insurance in 2000: premiums rise sharply while coverage grows,Health Aff,2000,19,5,,,,Gabel J
4,Gabel J. Withering on the vine: the decline of indemnity health insurance. Health Aff. 2000;19(5).,Withering on the vine: the decline of indemnity health insurance,Health Aff,2000,19,5,,,,Gabel J
5,Iglehart J. The struggle between managed care and fee-for-service practice. N Engl J Med. 1994;331(1).,The struggle between managed care and fee-for-service practice,N Engl J Med,1994,331,1,,,,Iglehart J
6,"Weiner JP, De Lissovoy G. Razing a tower of Babel: a taxonomy for managed care and health insurance plans. J Health Polit Policy Law. 1993;18(1).",Razing a tower of Babel: a taxonomy for managed care and health insurance plans,J Health Polit Policy Law,1993,18,1,,,,Weiner JP; De Lissovoy G
7,Baker LC. Association of managed care market share and health expenditures for fee-for-service medicare patients. J Am Med Assoc. 1999;281(5).,Association of managed care market share and health expenditures for fee-for-service medicare patients,J Am Med Assoc,1999,281,5,,,,Baker LC
8,Baker LC. The effect of HMOs on fee-for-service health care expenditures: evidence from Medicare. J Health Econ. 1997;16.,The effect of HMOs on fee-for-service health care expenditures: evidence from Medicare,J Health Econ,1997,16,,,,,Baker LC
9,Rosenbaum S. Medicaid and national health care reform. N Engl J Med. 2009;361.,Medicaid and national health care reform,N Engl J Med,2009,361,,,,,Rosenbaum S
10,"Silvestri GA, Handy J, Lackland D. Specialists achieve better outcomes than generalists for lung cancer surgery. Chest. 1998;114(3).",Specialists achieve better outcomes than generalists for lung cancer surgery,Chest,1998,114,3,,,,Silvestri GA; Handy J; Lackland D
11,"Yarmus L, Pandian V, Gilbert C. Safety and efficiency of interventional pulmonologists performing percutaneous tracheostomy. Respiration. 2012;84.",Safety and efficiency of interventional pulmonologists performing percutaneous tracheostomy,Respiration,2012,84,,,,,Yarmus L; Pandian V; Gilbert C
12,"Mirski MA, Pandian V, Bhatti N. Safety, efficacy, and cost-effectiveness of a multidisciplinary percutaneous tracheostomy program. Crit Care Med. 2012;40.","Safety, efficacy, and cost-effectiveness of a multidisciplinary percutaneous tracheostomy program",Crit Care Med,2012,40,,,,,Mirski MA; Pandian V; Bhatti N
13,"Rittenhouse DR, Shortell SM. The patient-centered medical home: will it stand the test of health reform?. J Am Med Assoc. 2009;301(19).",The patient-centered medical home: will it stand the test of health reform?,J Am Med Assoc,2009,301,19,,,,Rittenhouse DR; Shortell SM
14,Rosenthal TC. The medical home: growing evidence to support a new approach to primary care. J Am Board Fam Med. 2008;21(5).,The medical home: growing evidence to support a new approach to primary care,J Am Board Fam Med,2008,21,5,,,,Rosenthal TC
15,Fisher ES. Building a medical neighborhood for the medical home. N Engl J Med. 2008;359(12).,Building a medical neighborhood for the medical home,N Engl J Med,2008,359,12,,,,Fisher ES
16,Ginsburg PB. Spending to save -ACOs and the Medicare shared savings program. N Engl J Med. 2011;364.,Spending to save -ACOs and the Medicare shared savings program,N Engl J Med,2011,364,,,,,Ginsburg PB
17,"Ho C, Clark M, Argaez C. Endobronchial ultrasound for lung cancer diagnosis and staging: a review of the clinical and cost-effectiveness. Endobronchial ultrasound for lung cancer diagnosis and staging: a review of the clinical and cost-effectiveness. 2009;None.",Endobronchial ultrasound for lung cancer diagnosis and staging: a review of the clinical and cost-effectiveness,Endobronchial ultrasound for lung cancer diagnosis and staging: a review of the clinical and cost-effectiveness,2009,,,,,,Ho C; Clark M; Argaez C
18,"Kunst P, Eberhardt R, Herth F. Combined EBUS real time TBNA and conventional TBNA are the most cost-effective means of lymph node staging. J Bronchol. 2008;15.",Combined EBUS real time TBNA and conventional TBNA are the most cost-effective means of lymph node staging,J Bronchol,2008,15,,,,,Kunst P; Eberhardt R; Herth F
19,"Harewood GC, Pascual J, Raimondo M. Economic analysis of combined endocscopic and endobronchial ultrasound in the evaluation of patients with suspected non-small cell lunge cancer. Lung Cancer. 2010;67.",Economic analysis of combined endocscopic and endobronchial ultrasound in the evaluation of patients with suspected non-small cell lunge cancer,Lung Cancer,2010,67,,,,,Harewood GC; Pascual J; Raimondo M
20,"Steinfort D, Liew D, Conron M. Cost-benefit of minimally invasive staging of non-small cell lung cancer: a decision tree sensitivity analysis. J Thorac Oncol. 2010;5(10).",Cost-benefit of minimally invasive staging of non-small cell lung cancer: a decision tree sensitivity analysis,J Thorac Oncol,2010,5,10,,,,Steinfort D; Liew D; Conron M
21,"Medford A, Agrawal S, Free C. A performance and theoretical costs analysis of endobronchial ultrasound-guided transbronchial needle aspiration in a UK tertiary respiratory centre. QJM. 2009;102.",A performance and theoretical costs analysis of endobronchial ultrasound-guided transbronchial needle aspiration in a UK tertiary respiratory centre,QJM,2009,102,,,,,Medford A; Agrawal S; Free C
22,"Pastis N, Simkovich S, Silvestri G. Understanding the economic impact of introducing a new procedure: calculating downstream revenue of endobronchial ultrasound with transbronchial needle aspiration as a model. Chest. 2012;141(2).",Understanding the economic impact of introducing a new procedure: calculating downstream revenue of endobronchial ultrasound with transbronchial needle aspiration as a model,Chest,2012,141,2,,,,Pastis N; Simkovich S; Silvestri G
23,Dummit LA. The Basics: Relative Value Units (RVUs). The Basics: Relative Value Units (RVUs). 2009;None.,The Basics: Relative Value Units (RVUs),The Basics: Relative Value Units (RVUs),2009,,,,,,Dummit LA
24,"Plummer A, L. Coding & billing Quarterly. Coding & billing Quarterly. 2012;None.",Coding & billing Quarterly,Coding & billing Quarterly,2012,,,,,,Plummer A; L
25, Coding for chest medicine. Coding for chest medicine. 2013;None.,Coding for chest medicine,Coding for chest medicine,2013,,,,,,
26,"Edell E, Krier-Morrow D. Navigational bronchoscopy: overview of technology and practical considerations -new current procedural terminology codes effective 2010. Chest. 2010;137(2).",Navigational bronchoscopy: overview of technology and practical considerations -new current procedural terminology codes effective 2010,Chest,2010,137,2,,,,Edell E; Krier-Morrow D
27, Applying for CPT Codes. Applying for CPT Codes. 2013;None.,Applying for CPT Codes,Applying for CPT Codes,2013,,,,,,
28,"Kovitz KL. From the president of the American Association of Bronchology, the future of interventional pulmonology. J Bronchol. 2006;13(3).","From the president of the American Association of Bronchology, the future of interventional pulmonology",J Bronchol,2006,13,3,,,,Kovitz KL
29,"Manaker S, Ernst A, Marcus L. Affording endobronchial ultrasound. Chest. 2008;133(4).",Affording endobronchial ultrasound,Chest,2008,133,4,,,,Manaker S; Ernst A; Marcus L
30,Mcdonough JE. The road ahead for the Affordable Care Act. N Engl J Med. 2012;367(3).,The road ahead for the Affordable Care Act,N Engl J Med,2012,367,3,,,,Mcdonough JE
31,"Logani S, Green A, Gasperino J. Benefits of highintensity intensive care unit physician staffing under the Affordable Care Act. Crit Care Res Pract. 2011;2011:170814.",Benefits of highintensity intensive care unit physician staffing under the Affordable Care Act,Crit Care Res Pract,2011,2011,,170814,,,Logani S; Green A; Gasperino J
