#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wildevuur C, Benfield JR. A review of 23 human lung transplantations by 20 surgeons. Ann Thorac Surg. 1970;9(6).",A review of 23 human lung transplantations by 20 surgeons,Ann Thorac Surg,1970,9,6,,,,Wildevuur C; Benfield JR
2,"Derom F, Barbier F, Ringoir S. Ten-month survival after lung homotransplantation in man. J Thorac Cardiovasc Surg. 1971;61(6).",Ten-month survival after lung homotransplantation in man,J Thorac Cardiovasc Surg,1971,61,6,,,,Derom F; Barbier F; Ringoir S
3,"Date H, Trulock EP, Arcidi JM, Sundaresan S, Cooper JD, Patterson GA. Improved airway healing after lung transplantation. An analysis of 348 bronchial anastomoses. J Thorac Cardiovasc Surg. 1995;110(5).",Improved airway healing after lung transplantation. An analysis of 348 bronchial anastomoses,J Thorac Cardiovasc Surg,1995,110,5,,,,Date H; Trulock EP; Arcidi JM; Sundaresan S; Cooper JD; Patterson GA
4,"Shennib H, Massard G. Airway complications in lung transplantation. Ann Thorac Surg. 1994;57(2).",Airway complications in lung transplantation,Ann Thorac Surg,1994,57,2,,,,Shennib H; Massard G
5,"Hayanga A, Aboagye JW, Shigemura JK, N. Airway complications after lung transplantation: contemporary survival and outcomes. J Heart Lung Transplant. 2016;35(10).",Airway complications after lung transplantation: contemporary survival and outcomes,J Heart Lung Transplant,2016,35,10,,,,Hayanga A; Aboagye JW; Shigemura JK; N
6,"Dezfouli AA, Najafizadeh K, Parsa T. Postlung transplant rehospitalization: a study of causes, health care burden, and outcomes. Exp Clin Transplant. 2009;7(3).","Postlung transplant rehospitalization: a study of causes, health care burden, and outcomes",Exp Clin Transplant,2009,7,3,,,,Dezfouli AA; Najafizadeh K; Parsa T
7,"Seiler A, Jenewein J, Martin-Soelch C. Post-transplant outcomeclusters of psychological distress and health-related quality of life in lung transplant recipients. Swiss Med Wkly. 2015;145:14236.",Post-transplant outcomeclusters of psychological distress and health-related quality of life in lung transplant recipients,Swiss Med Wkly,2015,145,,14236,,,Seiler A; Jenewein J; Martin-Soelch C
8,"Van De Wauwer C, Van Raemdonck D, Verleden GM. Risk factors for airway complications within the first year after lung transplantation. Eur J Cardiothoracic Surg. 2007;31(4).",Risk factors for airway complications within the first year after lung transplantation,Eur J Cardiothoracic Surg,2007,31,4,,,,Van De Wauwer C; Van Raemdonck D; Verleden GM
9,"Christie JD, Edwards LB, Aurora P. The registry of the International Society for Heart and Lung Transplantation: twentysixth official adult lung and heart-lung transplantation report-2009. J Heart Lung Transplant. 2009;28(10).",The registry of the International Society for Heart and Lung Transplantation: twentysixth official adult lung and heart-lung transplantation report-2009,J Heart Lung Transplant,2009,28,10,,,,Christie JD; Edwards LB; Aurora P
10,"Christie JD, Bavaria JE, Palevsky HI. Primary graft failure following lung transplantation. Chest. 1998;114(1).",Primary graft failure following lung transplantation,Chest,1998,114,1,,,,Christie JD; Bavaria JE; Palevsky HI
11,"Christie JD, Kotloff RM, Pochettino A. Clinical risk factors for primary graft failure following lung transplantation. Chest. 2003;124(4).",Clinical risk factors for primary graft failure following lung transplantation,Chest,2003,124,4,,,,Christie JD; Kotloff RM; Pochettino A
12,"King RC, Binns OA, Rodriguez F. Reperfusion injury significantly impacts clinical outcome after pulmonary transplantation. Ann Thorac Surg. 2000;69(6).",Reperfusion injury significantly impacts clinical outcome after pulmonary transplantation,Ann Thorac Surg,2000,69,6,,,,King RC; Binns OA; Rodriguez F
13,"Christie JD, Sager JS, Kimmel SE. Impact of primary graft failure on outcomes following lung transplantation. Chest. 2005;127(1).",Impact of primary graft failure on outcomes following lung transplantation,Chest,2005,127,1,,,,Christie JD; Sager JS; Kimmel SE
14,"Khan SU, Salloum J, Donovan O, PB. Acute pulmonary edema after lung transplantation: the pulmonary reimplantation response. Chest. 1999;116(1).",Acute pulmonary edema after lung transplantation: the pulmonary reimplantation response,Chest,1999,116,1,,,,Khan SU; Salloum J; Donovan O; PB
15,"Verleden GM, Dupont LJ, Van Raemdonck DE. Is it bronchiolitis obliterans syndrome or is it chronic rejection: a reappraisal?. Eur Respir J. 2005;25(2).",Is it bronchiolitis obliterans syndrome or is it chronic rejection: a reappraisal?,Eur Respir J,2005,25,2,,,,Verleden GM; Dupont LJ; Van Raemdonck DE
16,"Burton CM, Carlsen J, Mortensen J, Andersen CB, Milman N, Iversen M. Long-term survival after lung transplantation depends on development and severity of bronchiolitis obliterans syndrome. J Heart Lung Transplant. 2007;26(7).",Long-term survival after lung transplantation depends on development and severity of bronchiolitis obliterans syndrome,J Heart Lung Transplant,2007,26,7,,,,Burton CM; Carlsen J; Mortensen J; Andersen CB; Milman N; Iversen M
17,"Heng D, Sharples LD, Mcneil K, Stewart S, Wreghitt T, Wallwork J. Bronchiolitis obliterans syndrome: incidence, natural history, prognosis, and risk factors. J Heart Lung Transplant. 1998;17(12).","Bronchiolitis obliterans syndrome: incidence, natural history, prognosis, and risk factors",J Heart Lung Transplant,1998,17,12,,,,Heng D; Sharples LD; Mcneil K; Stewart S; Wreghitt T; Wallwork J
18,"Trulock EP, Christie JD, Edwards LB. Registry of the International Society for Heart and Lung Transplantation: twenty-fourth official TABLE 2 ] Airway Complications Post-Lung Transplantation: Topics for Future Research 1. Determine the role of mitomycin C and brachytherapy in the treatment of granulation tissue and anastomotic stenosis 2. What is the role of balloon bronchoplasty with balloons coated with a chemotherapeutic agent? 3. Is there a role for biodegradable stents in anastomotic stenosis and bronchomalacia? 4. What are the health-care costs associated with airway complications following lung transplantation? adult lung and heart-lung transplantation report-2007. J Heart Lung Transplant. 2007;26(8).",Registry of the International Society for Heart and Lung Transplantation: twenty-fourth official TABLE 2 ] Airway Complications Post-Lung Transplantation: Topics for Future Research 1. Determine the role of mitomycin C and brachytherapy in the treatment of granulation tissue and anastomotic stenosis 2. What is the role of balloon bronchoplasty with balloons coated with a chemotherapeutic agent? 3. Is there a role for biodegradable stents in anastomotic stenosis and bronchomalacia? 4. What are the health-care costs associated with airway complications following lung transplantation? adult lung and heart-lung transplantation report-2007,J Heart Lung Transplant,2007,26,8,,,,Trulock EP; Christie JD; Edwards LB
19,"Couraud L, Nashef SA, Nicolini P. Classification of airway anastomotic healing. Eur J Cardiothorac Surg. 1992;6(9).",Classification of airway anastomotic healing,Eur J Cardiothorac Surg,1992,6,9,,,,Couraud L; Nashef SA; Nicolini P
20,"Pearson FG, Goldberg M, Stone RM. Bronchial arterial circulation restored after reimplantation of canine lung. Can J Surg. 1970;13(3).",Bronchial arterial circulation restored after reimplantation of canine lung,Can J Surg,1970,13,3,,,,Pearson FG; Goldberg M; Stone RM
21,"Siegelman SS, Hagstrom JW, Koemer SK. Restoration of bronchial artery circulation after canine lung allotrasplantation. J Thorac Cardiovasc Surg. 1977;73(5).",Restoration of bronchial artery circulation after canine lung allotrasplantation,J Thorac Cardiovasc Surg,1977,73,5,,,,Siegelman SS; Hagstrom JW; Koemer SK
22,"Garfein ES, Mcgregor CC, Galantowicz ME, Schulman LL. Deleterious effects of telescoped bronchial anastomosis in single and bilateral lung transplantation. Ann Transplant. 2000;5(1).",Deleterious effects of telescoped bronchial anastomosis in single and bilateral lung transplantation,Ann Transplant,2000,5,1,,,,Garfein ES; Mcgregor CC; Galantowicz ME; Schulman LL
23,"Choong CK, Sweet SC, Zoole JB. Bronchial airway anastomotic complications after pediatric lung transplantation: incidence, cause, management, and outcome. J Thorac Cardiovasc Surg. 2006;131.","Bronchial airway anastomotic complications after pediatric lung transplantation: incidence, cause, management, and outcome",J Thorac Cardiovasc Surg,2006,131,,,,,Choong CK; Sweet SC; Zoole JB
24,"Herrera JM, Mcneil KD, Higgins RS. Airway complications after lung transplantation: treatment and long-term outcomes. Ann Thorac Surg. 2001;71(3).",Airway complications after lung transplantation: treatment and long-term outcomes,Ann Thorac Surg,2001,71,3,,,,Herrera JM; Mcneil KD; Higgins RS
25,"Ruttman E, Ulmer H, Marchese M. Evaluation of factor damaging the bronchial wall in lung transplantation. J Heart Lung Transplant. 2005;24(3).",Evaluation of factor damaging the bronchial wall in lung transplantation,J Heart Lung Transplant,2005,24,3,,,,Ruttman E; Ulmer H; Marchese M
26,"Castleberry AW, Worni M, Kuchibhatia M. A comparative analysis of bronchial stricture after lung transplant in recipients with and without early acute rejection. Ann Thorac Surg. 2013;96(3).",A comparative analysis of bronchial stricture after lung transplant in recipients with and without early acute rejection,Ann Thorac Surg,2013,96,3,,,,Castleberry AW; Worni M; Kuchibhatia M
27,"Tendulkar RD, Fleming PA, Reddy CA, Gildea TR, Machuzak M, Mehta AC. High-dose-rate endobronchial brachytherapy for recurrent airway obstruction from hyperplastic granulation tissue. Int J Radiat Oncol Biol Phys. 2008;70(3).",High-dose-rate endobronchial brachytherapy for recurrent airway obstruction from hyperplastic granulation tissue,Int J Radiat Oncol Biol Phys,2008,70,3,,,,Tendulkar RD; Fleming PA; Reddy CA; Gildea TR; Machuzak M; Mehta AC
28,"Nathan SD, Shorr AF, Schmidt ME, Burton NA. Aspergillus and endobronchial abnormalities in lung transplant recipients. Chest. 2000;118(2).",Aspergillus and endobronchial abnormalities in lung transplant recipients,Chest,2000,118,2,,,,Nathan SD; Shorr AF; Schmidt ME; Burton NA
29,"Kaditis AG, Gondor M, Nixon PA. Airway complications following pediatric lung and heart-lung transplantation. Am J Respir Crit Care Med. 2000;162(1).",Airway complications following pediatric lung and heart-lung transplantation,Am J Respir Crit Care Med,2000,162,1,,,,Kaditis AG; Gondor M; Nixon PA
30,"Inaty H, Folch E, Fernandez-Bussy S. Cryodebridement for airway obstruction: a retrospective outcome and safety analysis. Chest. 2013;144(4):809.",Cryodebridement for airway obstruction: a retrospective outcome and safety analysis,Chest,2013,144,4,809,,,Inaty H; Folch E; Fernandez-Bussy S
