#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural Diseases. Pleural Diseases. 2013;None.,Pleural Diseases,Pleural Diseases,2013,,,,,,Light RW
2,"Owings MF, Kozak LJ. Ambulatory and inpatient procedures in the United States, 1996. Vital Health Stat. 1998;13(139).","Ambulatory and inpatient procedures in the United States, 1996",Vital Health Stat,1998,13,139,,,,Owings MF; Kozak LJ
3,Feller-Kopman D. Therapeutic thoracentesis: the role of ultrasound and pleural manometry. Curr Opin Pulm Med. 2007;13(4).,Therapeutic thoracentesis: the role of ultrasound and pleural manometry,Curr Opin Pulm Med,2007,13,4,,,,Feller-Kopman D
4,"Senitko M, Ray AS, Murphy TE. Safety and tolerability of vacuum versus manual drainage during thoracentesis: a randomized trial. J Bronchol Interven Pulmonol. 2019;26(3).",Safety and tolerability of vacuum versus manual drainage during thoracentesis: a randomized trial,J Bronchol Interven Pulmonol,2019,26,3,,,,Senitko M; Ray AS; Murphy TE
5,"Ault MJ, Rosen BT, Scher J, Feinglass J, Barsuk JH. Thoracentesis outcomes: a 12year experience. Thorax. 2015;70(2).",Thoracentesis outcomes: a 12year experience,Thorax,2015,70,2,,,,Ault MJ; Rosen BT; Scher J; Feinglass J; Barsuk JH
6,"Feller-Kopman D, Berkowitz D, Boiselle P, Ernst A. Large-volume thoracentesis and the risk of reexpansion pulmonary edema. Ann Thorac Surg. 2007;84(5).",Large-volume thoracentesis and the risk of reexpansion pulmonary edema,Ann Thorac Surg,2007,84,5,,,,Feller-Kopman D; Berkowitz D; Boiselle P; Ernst A
7,"Feller-Kopman D, Walkey A, Berkowitz D, Ernst A. The relationship of pleural pressure to symptom development during therapeutic thoracentesis. Chest. 2006;129(6).",The relationship of pleural pressure to symptom development during therapeutic thoracentesis,Chest,2006,129,6,,,,Feller-Kopman D; Walkey A; Berkowitz D; Ernst A
8,"Light RW, Jenkinson SG, Minh VD, George RB. Observations on pleural fluid pressures as fluid is withdrawn during thoracentesis. Am Rev Respir Dis. 1980;121(5).",Observations on pleural fluid pressures as fluid is withdrawn during thoracentesis,Am Rev Respir Dis,1980,121,5,,,,Light RW; Jenkinson SG; Minh VD; George RB
9,"Pavlin J, Cheney FW. Unilateral pulmonary edema in rabbits after reexpansion of collapsed lung. J Appl Physiol Respir Environ Exerc Physiol. 1979;46(1).",Unilateral pulmonary edema in rabbits after reexpansion of collapsed lung,J Appl Physiol Respir Environ Exerc Physiol,1979,46,1,,,,Pavlin J; Cheney FW
10,"Miller WC, Toon R, Palat H, Lacroix J. Experimental pulmonary edema following re-expansion of pneumothorax. Am Rev Respir Dis. 1973;108(3).",Experimental pulmonary edema following re-expansion of pneumothorax,Am Rev Respir Dis,1973,108,3,,,,Miller WC; Toon R; Palat H; Lacroix J
11,"Pannu J, Depew ZS, Mullon JJ, Daniels CE, Hagen CE, Maldonado F. Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study. J Bronchol Interven Pulmonol. 2014;21(4).",Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study,J Bronchol Interven Pulmonol,2014,21,4,,,,Pannu J; Depew ZS; Mullon JJ; Daniels CE; Hagen CE; Maldonado F
12,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
13,"Lentz RJ, Lerner AD, Pannu JK. Routine monitoring with pleural manometry during therapeutic largevolume thoracentesis to prevent pleuralpressure-related complications: a multicentre, single-blind randomised controlled trial. Lancet Respir Med. 2019;7(5).","Routine monitoring with pleural manometry during therapeutic largevolume thoracentesis to prevent pleuralpressure-related complications: a multicentre, single-blind randomised controlled trial",Lancet Respir Med,2019,7,5,,,,Lentz RJ; Lerner AD; Pannu JK
14,"Mammarappallil JG, Anderson SA, Danelson KA, Stitzel JA, Chiles C. Estimation of pleural fluid volumes on chest radiography using computed tomography volumetric analysis: an update of the visual prediction rule. J Thorac Imaging. 2015;30(5).",Estimation of pleural fluid volumes on chest radiography using computed tomography volumetric analysis: an update of the visual prediction rule,J Thorac Imaging,2015,30,5,,,,Mammarappallil JG; Anderson SA; Danelson KA; Stitzel JA; Chiles C
15,"Moy MP, Levsky JM, Berko NS, Godelman A, Jain VR, Haramati LB. A new, simple method for estimating pleural effusion size on CT scans. Chest. 2013;143(4).","A new, simple method for estimating pleural effusion size on CT scans",Chest,2013,143,4,,,,Moy MP; Levsky JM; Berko NS; Godelman A; Jain VR; Haramati LB
16,"Goecke W, Schwerk WB. Die Real-Time Sonographie in der Diagnostik von Pleuraergüssen. Ultraschalldiagnostik. 1990;None.",Die Real-Time Sonographie in der Diagnostik von Pleuraergüssen,Ultraschalldiagnostik,1990,,,,,,Goecke W; Schwerk WB
17,"Todd KH, Funk KG, Funk JP, Bonacci R. Clinical significance of reported changes in pain severity. Ann Emerg Med. 1996;27(4).",Clinical significance of reported changes in pain severity,Ann Emerg Med,1996,27,4,,,,Todd KH; Funk KG; Funk JP; Bonacci R
18,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314(24).",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,24,,,,Rahman NM; Pepperell J; Rehal S
19,"Mishra EK, Corcoran JP, Hallifax RJ, Stradling J, Maskell NA, Rahman NM. Defining the minimal important difference for the visual analogue scale assessing dyspnea in patients with malignant pleural effusions. PLOS One. 2015;10(4):123798.",Defining the minimal important difference for the visual analogue scale assessing dyspnea in patients with malignant pleural effusions,PLOS One,2015,10,4,123798,,,Mishra EK; Corcoran JP; Hallifax RJ; Stradling J; Maskell NA; Rahman NM
20,"Ries AL. Minimally clinically important difference for the UCSD Shortness of Breath Questionnaire, Borg scale, and visual analog scale. COPD. 2005;2(1).","Minimally clinically important difference for the UCSD Shortness of Breath Questionnaire, Borg scale, and visual analog scale",COPD,2005,2,1,,,,Ries AL
21,"Heidecker J, Huggins JT, Sahn SA, Doelken P. Pathophysiology of pneumothorax following ultrasoundguided thoracentesis. Chest. 2006;130(4).",Pathophysiology of pneumothorax following ultrasoundguided thoracentesis,Chest,2006,130,4,,,,Heidecker J; Huggins JT; Sahn SA; Doelken P
22,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22):2383.",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,2383,,,Davies HE; Mishra EK; Kahan BC
23, Gravity-Versus Suction-driven Large Volume Thoracentesis (GRAVITAS). Gravity-Versus Suction-driven Large Volume Thoracentesis (GRAVITAS). 2019;None.,Gravity-Versus Suction-driven Large Volume Thoracentesis (GRAVITAS),Gravity-Versus Suction-driven Large Volume Thoracentesis (GRAVITAS),2019,,,,,,
24,"Kelil T, Shyn PB, Wu LE. Wall suction-assisted image-guided therapeutic paracentesis: a safe and less expensive alternative to evacuated bottles. Abdominal Radiol. 2016;41(7).",Wall suction-assisted image-guided therapeutic paracentesis: a safe and less expensive alternative to evacuated bottles,Abdominal Radiol,2016,41,7,,,,Kelil T; Shyn PB; Wu LE
25,"Alraiyes AH, Kheir F, Harris K, Gildea TR. How much negative pressure are we generating during thoracentesis?. Ochsner J. 2017;17(2).",How much negative pressure are we generating during thoracentesis?,Ochsner J,2017,17,2,,,,Alraiyes AH; Kheir F; Harris K; Gildea TR
26,"Sagar A, Bashoura L, Nasim F, Grosu HB. Assessing the safety of rare events: the importance of sample size. J Bronchology Interv Pulmonol. 2019;26(3):e30.",Assessing the safety of rare events: the importance of sample size,J Bronchology Interv Pulmonol,2019,26,3,e30,,,Sagar A; Bashoura L; Nasim F; Grosu HB
27,"Kim H, Shyn PB, Wu L, Levesque VM, Khorasani R, Silverman SG. Wall suctionassisted image-guided thoracentesis: a safe alternative to evacuated bottles. Clin Radiol. 2017;72(10).",Wall suctionassisted image-guided thoracentesis: a safe alternative to evacuated bottles,Clin Radiol,2017,72,10,,,,Kim H; Shyn PB; Wu L; Levesque VM; Khorasani R; Silverman SG
28,"Krenke R, Grabczak EM. Pleural manometry and thoracentesis-is the issue resolved?. Lancet Respir Med. 2019;7(5).",Pleural manometry and thoracentesis-is the issue resolved?,Lancet Respir Med,2019,7,5,,,,Krenke R; Grabczak EM
29,"Villena V, López-Encuentra A, Pozo F, De-Pablo A, Martín-Escribano P. Measurement of pleural pressure during therapeutic thoracentesis. Am J Respir Crit Care Med. 2000;162(4 pt 1).",Measurement of pleural pressure during therapeutic thoracentesis,Am J Respir Crit Care Med,2000,162,4 pt 1,,,,Villena V; López-Encuentra A; Pozo F; De-Pablo A; Martín-Escribano P
