#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Asamura H, Nishimura KK, Giroux DJ. IASLC Lung Cancer Staging Project: the new database to inform revisions in the Ninth Edition of the TNM Classification of Lung Cancer. J Thorac Oncol. 2023;18(5).",IASLC Lung Cancer Staging Project: the new database to inform revisions in the Ninth Edition of the TNM Classification of Lung Cancer,J Thorac Oncol,2023,18,5,,,,Asamura H; Nishimura KK; Giroux DJ
2,Amin M. AJCC Cancer Staging Manual 8th edition. AJCC Cancer Staging Manual 8th edition. 2017;None.,AJCC Cancer Staging Manual 8th edition,AJCC Cancer Staging Manual 8th edition,2017,,,,,,Amin M
3,"Wittekind C, Brierley J, Lee A, Van Eycken E. UICC TNM Supplement, A Commentary on Uniform Use. UICC TNM Supplement, A Commentary on Uniform Use. 2019;None.","UICC TNM Supplement, A Commentary on Uniform Use","UICC TNM Supplement, A Commentary on Uniform Use",2019,,,,,,Wittekind C; Brierley J; Lee A; Van Eycken E
4,"Asamura H, Rami-Porta R, Rusch V. IASLC Staging Manual in Thoracic Oncology. IASLC Staging Manual in Thoracic Oncology. 2024;None.",IASLC Staging Manual in Thoracic Oncology,IASLC Staging Manual in Thoracic Oncology,2024,,,,,,Asamura H; Rami-Porta R; Rusch V
5,"Huang J, Osarogiagbon RU, Giroux DJ. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the N descriptors in the forthcoming 9th Edition of the TNM Classification for Lung Cancer. J Thorac Oncol. 2024;19(5).",The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the N descriptors in the forthcoming 9th Edition of the TNM Classification for Lung Cancer,J Thorac Oncol,2024,19,5,,,,Huang J; Osarogiagbon RU; Giroux DJ
6,"Van Schil PE, Asamura H, Nishimura KK. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revisions of the T descriptors in the forthcoming ninth edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;19(5).",The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revisions of the T descriptors in the forthcoming ninth edition of the TNM classification for lung cancer,J Thorac Oncol,2024,19,5,,,,Van Schil PE; Asamura H; Nishimura KK
7,"Rami-Porta R, Nishimura K, Giroux D. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for revision of the TNM stage groups in the forthcoming (ninth) edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;19(7).",The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for revision of the TNM stage groups in the forthcoming (ninth) edition of the TNM classification for lung cancer,J Thorac Oncol,2024,19,7,,,,Rami-Porta R; Nishimura K; Giroux D
8,"Fong KM, Rosenthal A, Giroux DJ. The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the M descriptors in the forthcoming 9th edition of the TNM classification of lung cancer. J Thorac Oncol. 2024;19(5).",The International Association for the Study of Lung Cancer Staging Project for Lung Cancer: proposals for the revision of the M descriptors in the forthcoming 9th edition of the TNM classification of lung cancer,J Thorac Oncol,2024,19,5,,,,Fong KM; Rosenthal A; Giroux DJ
9,"Travis D, Asamura H, Bankier AA. The IASLC Lung Cancer Staging Project: proposals for coding T categories for subsolid nodules and assessment of tumor size in part solid tumors in the forthcoming eighth edition of the TNM Classification of Lung Cancer. J Thorac Oncol. 2016;11(8).",The IASLC Lung Cancer Staging Project: proposals for coding T categories for subsolid nodules and assessment of tumor size in part solid tumors in the forthcoming eighth edition of the TNM Classification of Lung Cancer,J Thorac Oncol,2016,11,8,,,,Travis D; Asamura H; Bankier AA
10,"Detterbeck FC, Nishimura KK, Cilento VJ. The International Association for the Study of Lung Cancer Staging Project: methods and guiding principles for the development of the ninth edition TNM classification. J Thorac Oncol. 2022;17(6).",The International Association for the Study of Lung Cancer Staging Project: methods and guiding principles for the development of the ninth edition TNM classification,J Thorac Oncol,2022,17,6,,,,Detterbeck FC; Nishimura KK; Cilento VJ
