#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Varela G, Jiménez MF, Novoa NM, Aranda JL. Postoperative chest tube management: measuring air leak using an electronic device decreases variability in the clinical practice. Eur J Cardiothorac Surg. 2008;35(1). doi:10.1016/j.ejcts.2008.09.005.",Postoperative chest tube management: measuring air leak using an electronic device decreases variability in the clinical practice,Eur J Cardiothorac Surg,2008,35,1,,10.1016/j.ejcts.2008.09.005,18848460,Varela G; Jiménez MF; Novoa NM; Aranda JL
2,"Gilbert S, Mcguire AL, Maghera S et al.. Randomized trial of digital versus analog pleural drainage in patients with or without a pulmonary air leak after lung resection. J Thorac Cardiovasc Surg. 2015;150(5). doi:10.1016/j.jtcvs.2015.08.051.",Randomized trial of digital versus analog pleural drainage in patients with or without a pulmonary air leak after lung resection,J Thorac Cardiovasc Surg,2015,150,5,,10.1016/j.jtcvs.2015.08.051,26409729,Gilbert S; Mcguire AL; Maghera S; Sundaresan SR; Seely AJ; Maziak DE; Shamji FM; Villeneuve PJ
3,"Marasco RD, Giudice G, Lequaglie C. How to distinguish an active air leak from a pleural space effect. Asian Cardiovasc Thorac Ann. 2012;20(6). doi:10.1177/0218492312451918.",How to distinguish an active air leak from a pleural space effect,Asian Cardiovasc Thorac Ann,2012,20,6,,10.1177/0218492312451918,23284110,Marasco RD; Giudice G; Lequaglie C
4,Porcel JM. Chest Tube Drainage of the Pleural Space: A Concise Review for Pulmonologists. Tuberc Respir Dis. 2018;81(2). doi:10.4046/trd.2017.0107.,Chest Tube Drainage of the Pleural Space: A Concise Review for Pulmonologists,Tuberc Respir Dis,2018,81,2,,10.4046/trd.2017.0107,29372629,Porcel JM
5,"Rasheed MA, Majeed FA, Shah A, Naz SZ, A. Role Of Clamping Tube Thoracostomy Prior To Removal In Non-Cardiac Thoracic Trauma. J Ayub Med Coll Abbottabad. 2016;28(3).",Role Of Clamping Tube Thoracostomy Prior To Removal In Non-Cardiac Thoracic Trauma,J Ayub Med Coll Abbottabad,2016,28,3,,,28712216,Rasheed MA; Majeed FA; Shah A; Naz SZ; A
6,"Zhou J, Lyu M, Chen N et al.. Digital chest drainage is better than traditional chest drainage following pulmonary surgery: a meta-analysis. Eur J Cardiothorac Surg. 2018;54(4). doi:10.1093/ejcts/ezy141.",Digital chest drainage is better than traditional chest drainage following pulmonary surgery: a meta-analysis,Eur J Cardiothorac Surg,2018,54,4,,10.1093/ejcts/ezy141,29659768,Zhou J; Lyu M; Chen N; Wang Z; Hai Y; Hao J; Liu L
7,"Cerfolio RJ, Bryant AS, Skylizard L, Minnich DJ. Optimal technique for the removal of chest tubes after pulmonary resection. J Thorac Cardiovasc Surg. 2013;145(6). doi:10.1016/j.jtcvs.2013.02.007.",Optimal technique for the removal of chest tubes after pulmonary resection,J Thorac Cardiovasc Surg,2013,145,6,,10.1016/j.jtcvs.2013.02.007,23507121,Cerfolio RJ; Bryant AS; Skylizard L; Minnich DJ
8,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(Suppl 2). doi:10.1136/thx.2010.136986.",Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,Suppl 2,,10.1136/thx.2010.136986,20696690,Macduff A; Arnold A; Harvey J
9,"Baumann MH, Strange C, Heffner JE et al.. Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement. Chest. 2001;119(2). doi:10.1378/chest.119.2.590.",Management of spontaneous pneumothorax: an American College of Chest Physicians Delphi consensus statement,Chest,2001,119,2,,10.1378/chest.119.2.590,11171742,Baumann MH; Strange C; Heffner JE; Light R; Kirby TJ; Klein J; Luketich JD; Panacek EA; Sahn SA
10, Power calculator for binary outcome non-inferiority trial. Power calculator for binary outcome non-inferiority trial. 2012;None.,Power calculator for binary outcome non-inferiority trial,Power calculator for binary outcome non-inferiority trial,2012,,,,,,
11,"Funk GA, Petrey LB, Foreman ML. Clamping thoracostomy tubes: a heretical notion? Proc. Bayl Univ Med Cent). 2009;22(3). doi:10.1080/08998280.2009.11928517.",Clamping thoracostomy tubes: a heretical notion? Proc,Bayl Univ Med Cent),2009,22,3,,10.1080/08998280.2009.11928517,19633739,Funk GA; Petrey LB; Foreman ML
12,"Becker JC, Zakaluzny SA, Keller BA, Galante JM, Utter GH. Clamping trials prior to thoracostomy tube removal and the need for subsequent invasive pleural drainage. Am J Surg. 2020;220(2). doi:10.1016/j.amjsurg.2020.01.007.",Clamping trials prior to thoracostomy tube removal and the need for subsequent invasive pleural drainage,Am J Surg,2020,220,2,,10.1016/j.amjsurg.2020.01.007,31948700,Becker JC; Zakaluzny SA; Keller BA; Galante JM; Utter GH
13,"Chan YH, Yu EL, Kwok HC, Yeung YC, Yu WC. Clamping of chest drain before removal in spontaneous pneumothorax. J Cardiothorac Surg. 2021;16(1):24. doi:10.1186/s13019-021-01398-x.",Clamping of chest drain before removal in spontaneous pneumothorax,J Cardiothorac Surg,2021,16,1,24,10.1186/s13019-021-01398-x,33731180,Chan YH; Yu EL; Kwok HC; Yeung YC; Yu WC
14,"De Boer WS, Dinjens L, Stigt JA. The determination of pleurodesis using sonography after surgical pleurectomy for pneumothorax: a pilot study. J Thorac Dis. 2023;15(7). doi:10.21037/jtd-23-116.",The determination of pleurodesis using sonography after surgical pleurectomy for pneumothorax: a pilot study,J Thorac Dis,2023,15,7,,10.21037/jtd-23-116,37559644,De Boer WS; Dinjens L; Stigt JA
