#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Benfield JR, Russell LA. Lung carcinomas. GlennÕs Thoracic and Cardiovascular Surgery. 1996;None:357.",Lung carcinomas,GlennÕs Thoracic and Cardiovascular Surgery,1996,,,357,,,Benfield JR; Russell LA
2,"Bischof JC, Coad JE, Hoffmann NE, Roberts KR. Is apoptosis an important mechanism of cryoinjury in vivo. Cryo Letters. 2002;23.",Is apoptosis an important mechanism of cryoinjury in vivo,Cryo Letters,2002,23,,,,,Bischof JC; Coad JE; Hoffmann NE; Roberts KR
3,"Bolliger CT, Sol Er M, Tamm M, Perruchoud AP. Kombinierte endobronchiale und konventionelle therapie-m€ oglichkeiten bei inoperablen zentralen lungentumoren. Schweiz. Med. Wochenschr. 1995;125.",Kombinierte endobronchiale und konventionelle therapie-m€ oglichkeiten bei inoperablen zentralen lungentumoren,Schweiz. Med. Wochenschr,1995,125,,,,,Bolliger CT; Sol Er M; Tamm M; Perruchoud AP
4,"Brutinel WM, Cortese DA, Mcdougall JC, Gillio RG, Bergstralh EJ. A two year experience with the neodymium-YAG laser in endobronchial obstruction. Chest. 1987;91.",A two year experience with the neodymium-YAG laser in endobronchial obstruction,Chest,1987,91,,,,,Brutinel WM; Cortese DA; Mcdougall JC; Gillio RG; Bergstralh EJ
5,"Desai SJ, Mehta AC, Medendorp SV, Golish JA, Ahmad M. Survival experience following Nd-YAG laser photoresection for primary bronchogenic carcinoma. Chest. 1988;94.",Survival experience following Nd-YAG laser photoresection for primary bronchogenic carcinoma,Chest,1988,94,,,,,Desai SJ; Mehta AC; Medendorp SV; Golish JA; Ahmad M
6,"Gage AA, Baust J. Mechanisms of tissue injury in cryosurgery. Cryobiology. 1998;37(3).",Mechanisms of tissue injury in cryosurgery,Cryobiology,1998,37,3,,,,Gage AA; Baust J
7,"Gage AA, Baust JG. Cryosurgery-a review of recent advances and current issues. Cryo Letters. 2002;23(2).",Cryosurgery-a review of recent advances and current issues,Cryo Letters,2002,23,2,,,,Gage AA; Baust JG
8,"Gage AA, Guest K, Montes M, Caruana JA, Whalen DA. Effect of varying freezing and thawing rates in experimental cryosurgery. Cryobiology. 1985;22(2).",Effect of varying freezing and thawing rates in experimental cryosurgery,Cryobiology,1985,22,2,,,,Gage AA; Guest K; Montes M; Caruana JA; Whalen DA
9,"Hoffman NE, Bischof JC. The cryobiology of cryosurgical injury. Urology. 2002;60.",The cryobiology of cryosurgical injury,Urology,2002,60,,,,,Hoffman NE; Bischof JC
10,"Kopelman D, Klein Y, Zaretsky A, Ben-Izhak O, Michaelson M, Hashmonai M. Cryohemostasis of uncontrolled hemorrhage from liver injury. Cryobiology. 2000;40(3).",Cryohemostasis of uncontrolled hemorrhage from liver injury,Cryobiology,2000,40,3,,,,Kopelman D; Klein Y; Zaretsky A; Ben-Izhak O; Michaelson M; Hashmonai M
11,Maiwand MO. Cryotherapy for advanced carcinoma of the trachea and bronchi. BMJ. 1986;293.,Cryotherapy for advanced carcinoma of the trachea and bronchi,BMJ,1986,293,,,,,Maiwand MO
12,Maiwand MO. The role of cryosurgery in the palliation of tracheo-bronchial carcinoma. Eur. J. Cardiothorac. Surg. 1999;15.,The role of cryosurgery in the palliation of tracheo-bronchial carcinoma,Eur. J. Cardiothorac. Surg,1999,15,,,,,Maiwand MO
13,"Maiwand MO, Homasson JP. Cryotherapy for tracheobronchial disorders. Interv. Pulmonol. 1995;16.",Cryotherapy for tracheobronchial disorders,Interv. Pulmonol,1995,16,,,,,Maiwand MO; Homasson JP
14,Mazur P. Cryobiology: the freezing of biological systems. Science. 1970;68.,Cryobiology: the freezing of biological systems,Science,1970,68,,,,,Mazur P
15,"Mccaughan JS, Williams TE. Photodynamic therapy for endobronchial malignant disease: a prospective fourteen year study. J. Thorac. Cardiovasc. Surg. 1997;114.",Photodynamic therapy for endobronchial malignant disease: a prospective fourteen year study,J. Thorac. Cardiovasc. Surg,1997,114,,,,,Mccaughan JS; Williams TE
16,"Moghissi K, Dixon K, Stringer M, Freeman T, Thorpe A, Brown S. The place of bronchoscopic photodynamic therapy in advanced unresectable lung cancer: experience of 100 cases. Eur. J. Cardiothorac. Surg. 1999;15(1).",The place of bronchoscopic photodynamic therapy in advanced unresectable lung cancer: experience of 100 cases,Eur. J. Cardiothorac. Surg,1999,15,1,,,,Moghissi K; Dixon K; Stringer M; Freeman T; Thorpe A; Brown S
17,Mountain CF. Revisions in the international system for staging lung cancer. Chest. 1997;111.,Revisions in the international system for staging lung cancer,Chest,1997,111,,,,,Mountain CF
18,"Murren JR, Buzaid AC. Chemotherapy and radiation for the treatment of non-small cell lung cancer. Lung Cancer. 1993;14.",Chemotherapy and radiation for the treatment of non-small cell lung cancer,Lung Cancer,1993,14,,,,,Murren JR; Buzaid AC
19,"Quin JA, Letsou GV, Tanoue LT, Matthay RA, Higgins RS, Baldwin JC. Use of neodymium yttrium aluminum garnet laser in long term palliation of airway obstruction. Conn. Med. 1995;59.",Use of neodymium yttrium aluminum garnet laser in long term palliation of airway obstruction,Conn. Med,1995,59,,,,,Quin JA; Letsou GV; Tanoue LT; Matthay RA; Higgins RS; Baldwin JC
20,"Rabin Y, Julian TB, Olso P, Taylor MJ, Wolmark N. Long-term follow-up post cryosurgery in a sheep breast model. Cryobiology. 1999;39.",Long-term follow-up post cryosurgery in a sheep breast model,Cryobiology,1999,39,,,,,Rabin Y; Julian TB; Olso P; Taylor MJ; Wolmark N
21,"Rui J, Tatsutani KN, Dahiya R, Rubinsky B. Effect of thermal variables on human breast cancer in cryosurgery. Breast Cancer Res. Treat. 1999;53(2).",Effect of thermal variables on human breast cancer in cryosurgery,Breast Cancer Res. Treat,1999,53,2,,,,Rui J; Tatsutani KN; Dahiya R; Rubinsky B
22,"Stewart GJ, Preketes A, Horton M, Ross WB, Morris DL. Hepatic cryotherapy: double-freeze cycles achieve greater hepatocellular injury in man. Cryobiology. 1995;32.",Hepatic cryotherapy: double-freeze cycles achieve greater hepatocellular injury in man,Cryobiology,1995,32,,,,,Stewart GJ; Preketes A; Horton M; Ross WB; Morris DL
23,"Tatsutani K, Rubinsky B, Onik G, Dahiya R. Effect of thermal variables on frozen human primary prostatic adenocarcinoma cells. Urology. 1996;48(3).",Effect of thermal variables on frozen human primary prostatic adenocarcinoma cells,Urology,1996,48,3,,,,Tatsutani K; Rubinsky B; Onik G; Dahiya R
24,"Walsh DA, Maiwand OM, Nath AR, Lockwood P, Lloyd MH, Saab M. Bronchoscopic cryotherapy for advanced bronchial carcinoma. Thorax. 1990;45.",Bronchoscopic cryotherapy for advanced bronchial carcinoma,Thorax,1990,45,,,,,Walsh DA; Maiwand OM; Nath AR; Lockwood P; Lloyd MH; Saab M
25,Whittaker DK. Electron microscopy of the ice crystals formed during cryosurgery: relationship to duration of freeze. Cryobiology. 1978;15.,Electron microscopy of the ice crystals formed during cryosurgery: relationship to duration of freeze,Cryobiology,1978,15,,,,,Whittaker DK
26,Whittaker DK. Mechanisms of tissue destruction following cryosurgery. Ann. R. Coll. Surg. Engl. 1984;66.,Mechanisms of tissue destruction following cryosurgery,Ann. R. Coll. Surg. Engl,1984,66,,,,,Whittaker DK
