#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Scientific Reports. Scientific Reports. 2022;12(0123456789):11126. doi:10.1038/s41598-022-15454-6References.,Scientific Reports,Scientific Reports,2022,12,0123456789,11126,10.1038/s41598-022-15454-6References,,
2,"Bintcliffe OJ, Lee GY, Rahman NM, Maskell NA. The management of benign non-infective pleural effusions. Eur. Respir. Rev. 2016;25.",The management of benign non-infective pleural effusions,Eur. Respir. Rev,2016,25,,,,,Bintcliffe OJ; Lee GY; Rahman NM; Maskell NA
3,"Debiasi E, Puchalski J. Pleural effusions as markers of mortality and disease severity: A state-of-the-art review. CurrOpinPulm Med. 2016;22.",Pleural effusions as markers of mortality and disease severity: A state-of-the-art review,CurrOpinPulm Med,2016,22,,,,,Debiasi E; Puchalski J
4,"Aboudara M, Maldonado F. Update in the management of pleural effusions. Med. Clin. North Am. 2019;103.",Update in the management of pleural effusions,Med. Clin. North Am,2019,103,,,,,Aboudara M; Maldonado F
5,"Bhatnagar R, Maskell N. The modern diagnosis and management of pleural effusions. BMJ. 2015;351:4520.",The modern diagnosis and management of pleural effusions,BMJ,2015,351,,4520,,,Bhatnagar R; Maskell N
6,"Jany B, Welte T. Pleural effusion in adults-etiology, diagnosis, and treatment. DtschArztebl Int. 2019;116.","Pleural effusion in adults-etiology, diagnosis, and treatment",DtschArztebl Int,2019,116,,,,,Jany B; Welte T
7,"Hooper C, Lee YC, Maskell N, Bts Pleural G, Group. Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(Suppl 2).",Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,Suppl 2,,,,Hooper C; Lee YC; Maskell N; Bts Pleural G; Group
8,"Antonangelo L, Faria CS, Sales RK. Tuberculous pleural effusion: Diagnosis and management. Expert Rev. Respir. Med. 2019;13.",Tuberculous pleural effusion: Diagnosis and management,Expert Rev. Respir. Med,2019,13,,,,,Antonangelo L; Faria CS; Sales RK
9,"Rakesh HR, Gelzinis TA. The updated ATS/STS/STR clinical practice guidelines on the management of malignant pleural effusions: What is new in 2018?. J. CardiothoracVascAnesth. 2019;33.",The updated ATS/STS/STR clinical practice guidelines on the management of malignant pleural effusions: What is new in 2018?,J. CardiothoracVascAnesth,2019,33,,,,,Rakesh HR; Gelzinis TA
10,Valerio E. A 2-year retrospective study on pleural effusions: A cancer centre experience. Cytopathology. 2019;30.,A 2-year retrospective study on pleural effusions: A cancer centre experience,Cytopathology,2019,30,,,,,Valerio E
11,Porcel JM. Biomarkers in the diagnosis of pleural diseases: A 2018 update. Ther. Adv. Respir. Dis. 2018;12:1753466618808660.,Biomarkers in the diagnosis of pleural diseases: A 2018 update,Ther. Adv. Respir. Dis,2018,12,,1753466618808660,,,Porcel JM
12,Valdés L. Predicting malignant and tuberculous pleural effusions through demographics and pleural fluid analysis of patients. Clin. Respir. J. 2015;9.,Predicting malignant and tuberculous pleural effusions through demographics and pleural fluid analysis of patients,Clin. Respir. J,2015,9,,,,,Valdés L
13,Porcel JM. The diagnosis of pleural effusions. Expert Rev. Respir. Med. 2015;9.,The diagnosis of pleural effusions,Expert Rev. Respir. Med,2015,9,,,,,Porcel JM
14,Ferreiro L. Advances in pleural effusion diagnostics. Expert Rev. Respir. Med. 2020;14.,Advances in pleural effusion diagnostics,Expert Rev. Respir. Med,2020,14,,,,,Ferreiro L
15,"Asciak R, Rahman NM. Malignant pleural effusion: From diagnostics to therapeutics. Clin. Chest Med. 2018;39.",Malignant pleural effusion: From diagnostics to therapeutics,Clin. Chest Med,2018,39,,,,,Asciak R; Rahman NM
16,"Saguil A, Wyrick K, Hallgren J. Diagnostic approach to pleural effusion. Am. Fam. Phys. 2014;90.",Diagnostic approach to pleural effusion,Am. Fam. Phys,2014,90,,,,,Saguil A; Wyrick K; Hallgren J
17,"Lee P, Folch E. Thoracoscopy: Advances and increasing role for interventional pulmonologists. Semin. Respir. Crit. Care Med. 2018;39.",Thoracoscopy: Advances and increasing role for interventional pulmonologists,Semin. Respir. Crit. Care Med,2018,39,,,,,Lee P; Folch E
18,Koegelenberg CF. The utility of ultrasound-guided thoracentesis and pleural biopsy in undiagnosed pleural exudates. Thorax. 2015;70.,The utility of ultrasound-guided thoracentesis and pleural biopsy in undiagnosed pleural exudates,Thorax,2015,70,,,,,Koegelenberg CF
19,"Yu DH, Feller-Kopman D. Interventional bronchoscopy in adults. Expert Rev. Respir. Med. 2018;12.",Interventional bronchoscopy in adults,Expert Rev. Respir. Med,2018,12,,,,,Yu DH; Feller-Kopman D
20,"Oh SS, Folch E. Interventional pulmonology: Advances and evolving concepts. Semin. Respir. Crit. Care Med. 2018;39.",Interventional pulmonology: Advances and evolving concepts,Semin. Respir. Crit. Care Med,2018,39,,,,,Oh SS; Folch E
21,Yasufuku K. A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer. J. Thorac. Cardiovasc. Surg. 2011;142.,A prospective controlled trial of endobronchial ultrasound-guided transbronchial needle aspiration compared with mediastinoscopy for mediastinal lymph node staging of lung cancer,J. Thorac. Cardiovasc. Surg,2011,142,,,,,Yasufuku K
22,"Wang MJ, Nietert PJ, Silvestri GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Wang MJ; Nietert PJ; Silvestri GA
23,Aktaş AR. CT-guided transthoracic biopsy: Histopathologic results and complication rates. DiagnIntervRadiol. 2015;21.,CT-guided transthoracic biopsy: Histopathologic results and complication rates,DiagnIntervRadiol,2015,21,,,,,Aktaş AR
24,"Bibby AC, Maskell NA. Pleural biopsies in undiagnosed pleural effusions; Abrams vs image-guided vs thoracoscopic biopsies. CurrOpinPulm Med. 2016;22.",Pleural biopsies in undiagnosed pleural effusions; Abrams vs image-guided vs thoracoscopic biopsies,CurrOpinPulm Med,2016,22,,,,,Bibby AC; Maskell NA
25,Wan YY. Safety and complications of medical thoracoscopy in the management of pleural diseases. BMC Pulm Med. 2019;19:125.,Safety and complications of medical thoracoscopy in the management of pleural diseases,BMC Pulm Med,2019,19,,125,,,Wan YY
26,"Chen RL, Zhang YQ, Wang J, Wu H, Yang SM. Diagnostic value of medical thoracoscopy for undiagnosed pleural effusions. Exp. Ther. Med. 2018;16.",Diagnostic value of medical thoracoscopy for undiagnosed pleural effusions,Exp. Ther. Med,2018,16,,,,,Chen RL; Zhang YQ; Wang J; Wu H; Yang SM
27,"Ishiwata T, Gregor A, Inage T, Yasufuku K. Advances in interventional diagnostic bronchoscopy for peripheral pulmonary lesions. Expert Rev. Respir. Med. 2019;13.",Advances in interventional diagnostic bronchoscopy for peripheral pulmonary lesions,Expert Rev. Respir. Med,2019,13,,,,,Ishiwata T; Gregor A; Inage T; Yasufuku K
28,"Moore AJ, Mercer RM, Musani AI. Advances in Interventional pulmonology. Clin. Chest. Med. 2018;39.",Advances in Interventional pulmonology,Clin. Chest. Med,2018,39,,,,,Moore AJ; Mercer RM; Musani AI
29,"Kniese CM, Musani AI. Interventional pulmonology: A focused review for primary care physicians. Med. Clin. North Am. 2019;103.",Interventional pulmonology: A focused review for primary care physicians,Med. Clin. North Am,2019,103,,,,,Kniese CM; Musani AI
30,"Shafiq M, Lee H, Yarmus L, Feller-Kopman D. Recent advances in interventional pulmonology. Ann. Am. Thorac. Soc. 2019;16.",Recent advances in interventional pulmonology,Ann. Am. Thorac. Soc,2019,16,,,,,Shafiq M; Lee H; Yarmus L; Feller-Kopman D
31,"Hsia DW, Musani AI. Bronchoscopic therapies for peripheral lung malignancies. Clin. Chest. Med. 2018;39.",Bronchoscopic therapies for peripheral lung malignancies,Clin. Chest. Med,2018,39,,,,,Hsia DW; Musani AI
32,"Mcgrath EE, Anderson PB. Diagnosis of pleural effusion: A systematic approach. Am. J. Crit. Care. 2011;20.",Diagnosis of pleural effusion: A systematic approach,Am. J. Crit. Care,2011,20,,,,,Mcgrath EE; Anderson PB
33,"Feller-Kopman D, Light R. Pleural disease. N. Engl. J. Med. 2018;378:1754.",Pleural disease,N. Engl. J. Med,2018,378,,1754,,,Feller-Kopman D; Light R
34,"Mercer RM, Corcoran JP, Porcel JM, Rahman NM, Psallidas I. Interpreting pleural fluid results. Clin. Med. (Lond). 2019;19.",Interpreting pleural fluid results,Clin. Med. (Lond),2019,19,,,,,Mercer RM; Corcoran JP; Porcel JM; Rahman NM; Psallidas I
35,Karpathiou G. Non-specific pleuritis: Pathological patterns in benign pleuritis. Scientific Reports. 2019;51(1234567890). doi:10.1038/s41598-022-15454-6.,Non-specific pleuritis: Pathological patterns in benign pleuritis,Scientific Reports,2019,51,1234567890,,10.1038/s41598-022-15454-6,,Karpathiou G
