#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Goldstraw P, Chansky K, Crowley J et al.. International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC Lung Cancer Staging Project: Proposals for Revision of the TNM Stage Groupings in the Forthcoming (Eighth) Edition of the TNM Classification for Lung Cancer. J Thorac Oncol. 2016;11. doi:10.1016/j.jtho.2015.09.009.",International Association for the Study of Lung Cancer Staging and Prognostic Factors Committee Advisory Boards and Participating Institutions. The IASLC Lung Cancer Staging Project: Proposals for Revision of the TNM Stage Groupings in the Forthcoming (Eighth) Edition of the TNM Classification for Lung Cancer,J Thorac Oncol,2016,11,,,10.1016/j.jtho.2015.09.009,,Goldstraw P; Chansky K; Crowley J; Rami-Porta R; Asamura H; Eberhardt WE; Nicholson AG; Groome P; Mitchell A; Bolejack V; Goldstraw P; Rami-Porta R; Asamura H
2,"Schiller JH, Harrington D, Belani CP et al.. Comparison of four chemotherapy regimens for advanced non-small-cell lung cancer. N Engl J Med. 2002;346. doi:10.1056/NEJMoa011954.",Comparison of four chemotherapy regimens for advanced non-small-cell lung cancer,N Engl J Med,2002,346,,,10.1056/NEJMoa011954,,Schiller JH; Harrington D; Belani CP; Langer C; Sandler A; Krook J; Zhu J; Johnson DH; Cooperative Oncology E; G
3,"Zhou C, Wu YL, Chen G et al.. Erlotinib versus chemotherapy as first-line treatment for patients with advanced EGFR mutation-positive non-smallcell lung cancer (OPTIMAL, CTONG-0802): a multicentre, open-label, randomised, phase 3 study. Lancet Oncol. 2011;12. doi:10.1016/S1470-2045(11)70184-X.","Erlotinib versus chemotherapy as first-line treatment for patients with advanced EGFR mutation-positive non-smallcell lung cancer (OPTIMAL, CTONG-0802): a multicentre, open-label, randomised, phase 3 study",Lancet Oncol,2011,12,,,10.1016/S1470-2045(11)70184-X,,Zhou C; Wu YL; Chen G; Feng J; Liu XQ; Wang C; Zhang S; Wang J; Zhou S; Ren S; Lu S; Zhang L; Hu C
4,"Solomon BJ, Mok T, Kim DW et al.. First-line crizotinib versus chemotherapy in ALK-positive lung cancer. N Engl J Med. 2014;371. doi:10.1056/NEJMoa1408440.",First-line crizotinib versus chemotherapy in ALK-positive lung cancer,N Engl J Med,2014,371,,,10.1056/NEJMoa1408440,,Solomon BJ; Mok T; Kim DW; Wu YL; Nakagawa K; Mekhail T; Felip E; Cappuzzo F; Paolini J; Usari T; Iyer S; Reisman A; Wilner KD
5,"Ravaioli S, Bravaccini S, Tumedei MM, Pironi F, Candoli P, Puccetti M. Easily detectable cytomorphological features to evaluate during ROSE for rapid lung cancer diagnosis: from cytology to histology. Oncotarget. 2017;8. doi:10.18632/oncotarget.13204.",Easily detectable cytomorphological features to evaluate during ROSE for rapid lung cancer diagnosis: from cytology to histology,Oncotarget,2017,8,,,10.18632/oncotarget.13204,,Ravaioli S; Bravaccini S; Tumedei MM; Pironi F; Candoli P; Puccetti M
6,"Hwangbo B, Lee GK, Lee HS et al.. Transbronchial and transesophageal fine-needle aspiration using an ultrasound bronchoscope in mediastinal staging of potentially operable lung cancer. Chest. 2010;138. doi:10.1378/chest.09-2100.",Transbronchial and transesophageal fine-needle aspiration using an ultrasound bronchoscope in mediastinal staging of potentially operable lung cancer,Chest,2010,138,,,10.1378/chest.09-2100,,Hwangbo B; Lee GK; Lee HS; Lim KY; Lee SH; Kim HY; Lee HS; Kim MS; Lee JM; Nam BH; Zo JI
7,"Petersen O, Eckardt H, Hakami J, Olsen A, Jorgensen KE, OD. The value of mediastinal staging with endobronchial ultrasound-guided transbronchial needle aspiration in patients with lung cancer. Eur J Cardiothorac Surg. 2009;36. doi:10.1016/j.ejcts.2009.03.052.",The value of mediastinal staging with endobronchial ultrasound-guided transbronchial needle aspiration in patients with lung cancer,Eur J Cardiothorac Surg,2009,36,,,10.1016/j.ejcts.2009.03.052,,Petersen O; Eckardt H; Hakami J; Olsen A; Jorgensen KE; OD
8,"Nakajima T, Yasufuku K, Suzuki M et al.. Assessment of epidermal growth factor receptor mutation by endobronchial ultrasound-guided transbronchial needle aspiration. Chest. 2007;132:597. doi:10.1378/chest.07-0095.",Assessment of epidermal growth factor receptor mutation by endobronchial ultrasound-guided transbronchial needle aspiration,Chest,2007,132,,597,10.1378/chest.07-0095,,Nakajima T; Yasufuku K; Suzuki M; Hiroshima K; Kubo R; Mohammed S; Miyagi Y; Matsukuma S; Sekine Y; Fujisawa T
9,"Nakajima T, Yasufuku K, Nakagawara A, Kimura H, Yoshino I. Multigene mutation analysis of metastatic lymph nodes in non-small cell lung cancer diagnosed by endobronchial ultrasound-guided transbronchial needle aspiration. Chest. 2011;140. doi:10.1378/chest.10-3186.",Multigene mutation analysis of metastatic lymph nodes in non-small cell lung cancer diagnosed by endobronchial ultrasound-guided transbronchial needle aspiration,Chest,2011,140,,,10.1378/chest.10-3186,,Nakajima T; Yasufuku K; Nakagawara A; Kimura H; Yoshino I
10,"Jeyabalan A, Bhatt N, Plummeridge MJ, Medford AR. Adequacy of endobronchial ultrasound-guided transbronchial needle aspiration samples processed as histopathological samples for genetic mutation analysis in lung adenocarcinoma. Mol Clin Oncol. 2016;4. doi:10.3892/mco.2015.672.",Adequacy of endobronchial ultrasound-guided transbronchial needle aspiration samples processed as histopathological samples for genetic mutation analysis in lung adenocarcinoma,Mol Clin Oncol,2016,4,,,10.3892/mco.2015.672,,Jeyabalan A; Bhatt N; Plummeridge MJ; Medford AR
