#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wahidi MM, Herth FJ, Ernst A. State of the art: interventional pulmonology. Chest. 2007;131.",State of the art: interventional pulmonology,Chest,2007,131,,,,,Wahidi MM; Herth FJ; Ernst A
2,"Ernst A, Feller-Kopman D, Becker HD. Central airway obstruction. Am J Respir Crit Care Med. 2004;169.",Central airway obstruction,Am J Respir Crit Care Med,2004,169,,,,,Ernst A; Feller-Kopman D; Becker HD
3,"Lee P, Kupeli E, Mehta AC. Therapeutic bronchoscopy in lung cancer. Laser therapy, electrocautery, brachytherapy, stents, and photodynamic therapy. Clin Chest Med. 2002;23.","Therapeutic bronchoscopy in lung cancer. Laser therapy, electrocautery, brachytherapy, stents, and photodynamic therapy",Clin Chest Med,2002,23,,,,,Lee P; Kupeli E; Mehta AC
4,"Yarmus L, Feller-Kopman D. Bronchoscopes of the twenty-first century. Clin Chest Med. 2010;31.",Bronchoscopes of the twenty-first century,Clin Chest Med,2010,31,,,,,Yarmus L; Feller-Kopman D
5,"Tremblay A, Marquette CH. Endobronchial electrocautery and argon plasma coagulation: a practical approach. Can Respir J. 2004;11.",Endobronchial electrocautery and argon plasma coagulation: a practical approach,Can Respir J,2004,11,,,,,Tremblay A; Marquette CH
6,"Van Der Spek AF, Spargo PM, Norton ML. The physics of lasers and implications for their use during airway surgery. Br J Anaesth. 1988;60.",The physics of lasers and implications for their use during airway surgery,Br J Anaesth,1988,60,,,,,Van Der Spek AF; Spargo PM; Norton ML
7,"Boxem T, Muller M, Venmans B. Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a costeffectiveness study. Chest. 1999;116.",Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a costeffectiveness study,Chest,1999,116,,,,,Boxem T; Muller M; Venmans B
8,"Cavaliere S, Foccoli P, Farina PL. Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients. Chest. 1988;94.","Nd:YAG laser bronchoscopy. A five-year experience with 1,396 applications in 1,000 patients",Chest,1988,94,,,,,Cavaliere S; Foccoli P; Farina PL
9,"Cavaliere S, Venuta F, Foccoli P. Endoscopic treatment of malignant airway obstructions in 2,008 patients. Chest. 1996;110.","Endoscopic treatment of malignant airway obstructions in 2,008 patients",Chest,1996,110,,,,,Cavaliere S; Venuta F; Foccoli P
10,"Moghissi K, Dixon K. Bronchoscopic NdYAG laser treatment in lung cancer, 30 years on: an institutional review. Lasers Med Sci. 2006;21.","Bronchoscopic NdYAG laser treatment in lung cancer, 30 years on: an institutional review",Lasers Med Sci,2006,21,,,,,Moghissi K; Dixon K
11,"Venuta F, Rendina EA, Giacomo D, T. Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment. Ann Thorac Surg. 2002;74.",Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment,Ann Thorac Surg,2002,74,,,,,Venuta F; Rendina EA; Giacomo D; T
12,"Bolliger CT, Sutedja TG, Strausz J. Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents. Eur Respir J. 2006;27.","Therapeutic bronchoscopy with immediate effect: laser, electrocautery, argon plasma coagulation and stents",Eur Respir J,2006,27,,,,,Bolliger CT; Sutedja TG; Strausz J
13,"Tremblay A, Michaud G, Urbanski SJ. Hot biopsy forceps in the diagnosis of endobronchial lesions. Eur Respir J. 2007;29.",Hot biopsy forceps in the diagnosis of endobronchial lesions,Eur Respir J,2007,29,,,,,Tremblay A; Michaud G; Urbanski SJ
14,"Wahidi MM, Shofer SL, Sporn TA. Comparison of transbronchial lung biopsy yield between standard forceps and electrocautery hot forceps in swine. Respiration. 2010;79.",Comparison of transbronchial lung biopsy yield between standard forceps and electrocautery hot forceps in swine,Respiration,2010,79,,,,,Wahidi MM; Shofer SL; Sporn TA
15,"Coulter TD, Mehta AC. The heat is on: impact of endobronchial electrosurgery on the need for Nd-YAG laser photoresection. Chest. 2000;118.",The heat is on: impact of endobronchial electrosurgery on the need for Nd-YAG laser photoresection,Chest,2000,118,,,,,Coulter TD; Mehta AC
16,"Hooper RG, Jackson FN. Endobronchial electrocautery. Chest. 1985;87.",Endobronchial electrocautery,Chest,1985,87,,,,,Hooper RG; Jackson FN
17,"Hooper RG, Jackson FN. Endobronchial electrocautery. Chest. 1988;94.",Endobronchial electrocautery,Chest,1988,94,,,,,Hooper RG; Jackson FN
18,"Horinouchi H, Miyazawa T, Takada K. Safety study of endobronchial electrosurgery for tracheobronchial lesions. J Bronchol. 2008;15.",Safety study of endobronchial electrosurgery for tracheobronchial lesions,J Bronchol,2008,15,,,,,Horinouchi H; Miyazawa T; Takada K
19,"Sutedja G, Van Kralingen K, Schramel FM. Fibreoptic bronchoscopic electrosurgery under local anaesthesia for rapid palliation in patients with central airway malignancies: a preliminary report. Thorax. 1994;49.",Fibreoptic bronchoscopic electrosurgery under local anaesthesia for rapid palliation in patients with central airway malignancies: a preliminary report,Thorax,1994,49,,,,,Sutedja G; Van Kralingen K; Schramel FM
20,"Van Boxem TJ, Venmans BJ, Schramel FM. Radiographically occult lung cancer treated with fibreoptic bronchoscopic electrocautery: a pilot study of a simple and inexpensive technique. Eur Respir J. 1998;11.",Radiographically occult lung cancer treated with fibreoptic bronchoscopic electrocautery: a pilot study of a simple and inexpensive technique,Eur Respir J,1998,11,,,,,Van Boxem TJ; Venmans BJ; Schramel FM
21,Gilfoy F. Primary malignant tumors of the lower third of the trachea: report of a case with successful treatment by electrofulguration and deep x-rays. Arch Otolaryngol. 1932;16.,Primary malignant tumors of the lower third of the trachea: report of a case with successful treatment by electrofulguration and deep x-rays,Arch Otolaryngol,1932,16,,,,,Gilfoy F
22,"Brutinel WM, Mcdougall CD, JC. A two-year experience with the neodymium-YAG laser in endobronchial obstruction. Chest. 1987;91.",A two-year experience with the neodymium-YAG laser in endobronchial obstruction,Chest,1987,91,,,,,Brutinel WM; Mcdougall CD; JC
