#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Hohenforst-Schmidt W, Zarogoulidis P, Vogl T. Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation. J Cancer. 2014;5.",Cone Beam Computertomography (CBCT) in Interventional Chest Medicine -High Feasibility for Endobronchial Realtime Navigation,J Cancer,2014,5,,,,,Hohenforst-Schmidt W; Zarogoulidis P; Vogl T
2,"Park SC, Kim CJ, Han CH. Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy. Thorac Cancer. 2017;8.",Factors associated with the diagnostic yield of computed tomography-guided transbronchial lung biopsy,Thorac Cancer,2017,8,,,,,Park SC; Kim CJ; Han CH
3,Pritchett M. Cone-Beam CT Scanning With Electromagnetic Navigation Bronchoscopy. Chest. 2014;146:728A.,Cone-Beam CT Scanning With Electromagnetic Navigation Bronchoscopy,Chest,2014,146,,728A,,,Pritchett M
4,"Pritchett M, Radaelli A, Schampaert S. Cone Beam CT-Guided Endobronchial Biopsy Assisted by Augmented Fluoroscopy. Chest. 2017;152:887.",Cone Beam CT-Guided Endobronchial Biopsy Assisted by Augmented Fluoroscopy,Chest,2017,152,,887,,,Pritchett M; Radaelli A; Schampaert S
5,Pritchett M. Feasibility of the Lungvision Augmented Endobronchial Fluoroscopic Navigation and Localization System: Comparison With Cone Beam CT for Nodule Localization. Chest. 2017;152:A863.,Feasibility of the Lungvision Augmented Endobronchial Fluoroscopic Navigation and Localization System: Comparison With Cone Beam CT for Nodule Localization,Chest,2017,152,,A863,,,Pritchett M
6,"Stoy S, Hogarth D, Al-Zubaidi A. Bronchoscopic Peripheral Lung Nodule Navigation by a Novel Live Endobronchial Fluoroscopic Navigation and Guidance Systemtechnology: Insights From the Multicenter Lungvision I Trial. Chest. 2017;152:A757.",Bronchoscopic Peripheral Lung Nodule Navigation by a Novel Live Endobronchial Fluoroscopic Navigation and Guidance Systemtechnology: Insights From the Multicenter Lungvision I Trial,Chest,2017,152,,A757,,,Stoy S; Hogarth D; Al-Zubaidi A
7,"Nelson G, Wu M, Hinkel C. Improved targeting accuracy of lung tumor biopsies with scanning-beam digital x-ray tomosynthesis image guidance. Med Phys. 2016;43:6282.",Improved targeting accuracy of lung tumor biopsies with scanning-beam digital x-ray tomosynthesis image guidance,Med Phys,2016,43,,6282,,,Nelson G; Wu M; Hinkel C
8,"Khandhar SJ, Bowling MR, Flandes J. Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study. BMC Pulm Med. 2017;17:59.","Electromagnetic navigation bronchoscopy to access lung lesions in 1,000 subjects: first results of the prospective, multicenter NAVIGATE study",BMC Pulm Med,2017,17,,59,,,Khandhar SJ; Bowling MR; Flandes J
9,"Herth FJ, Eberhardt R, Sterman D. Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules. Thorax. 2015;70.",Bronchoscopic transparenchymal nodule access (BTPNA): first in human trial of a novel procedure for sampling solitary pulmonary nodules,Thorax,2015,70,,,,,Herth FJ; Eberhardt R; Sterman D
10,"Harzheim D, Sterman D, Shah PL. Bronchoscopic Transparenchymal Nodule Access: Feasibility and Safety in an Endoscopic Unit. Respiration. 2016;91.",Bronchoscopic Transparenchymal Nodule Access: Feasibility and Safety in an Endoscopic Unit,Respiration,2016,91,,,,,Harzheim D; Sterman D; Shah PL
11,"Anciano C, Brown C, Bowling M. Going Off Road: The First Case Reports of the Use of the Transbronchial Access Tool With Electromagnetic Navigational Bronchoscopy. J Bronchology Interv Pulmonol. 2017;24.",Going Off Road: The First Case Reports of the Use of the Transbronchial Access Tool With Electromagnetic Navigational Bronchoscopy,J Bronchology Interv Pulmonol,2017,24,,,,,Anciano C; Brown C; Bowling M
12,"Bowling MR, Brown C, Anciano CJ. Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass. Ann Thorac Surg. 2017;104.",Feasibility and Safety of the Transbronchial Access Tool for Peripheral Pulmonary Nodule and Mass,Ann Thorac Surg,2017,104,,,,,Bowling MR; Brown C; Anciano CJ
13,"Callahan S, Tanner N, Chen A. Comparison of the Thin Convex Probe Endobronchial Ultrasound Bronchoscope to Standard EBUS and Flexible Bronchoscope: A Cadaveric Study. Chest. 2016;150:979A.",Comparison of the Thin Convex Probe Endobronchial Ultrasound Bronchoscope to Standard EBUS and Flexible Bronchoscope: A Cadaveric Study,Chest,2016,150,,979A,,,Callahan S; Tanner N; Chen A
14,"Patel P, Wada H, Hu HP. First Evaluation of the New Thin Convex Probe Endobronchial Ultrasound Scope: A Human Ex Vivo Lung Study. Ann Thorac Surg. 2017;103.",First Evaluation of the New Thin Convex Probe Endobronchial Ultrasound Scope: A Human Ex Vivo Lung Study,Ann Thorac Surg,2017,103,,,,,Patel P; Wada H; Hu HP
15,"Yarmus LB, Arias S, Feller-Kopman D. Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study. J Thorac Dis. 2016;8.",Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study,J Thorac Dis,2016,8,,,,,Yarmus LB; Arias S; Feller-Kopman D
16,"Skibo S, Mattingley J, Alvarado C. Performance of a Novel Pulmonary Needle Using Electromagnetic Navigation Bronchoscopy in a Porcine Lung Model. Chest. 2017;152:A961.",Performance of a Novel Pulmonary Needle Using Electromagnetic Navigation Bronchoscopy in a Porcine Lung Model,Chest,2017,152,,A961,,,Skibo S; Mattingley J; Alvarado C
17,"Chen A, Wahidi M, Gillespie C. Robotic Endoscopic Airway Challenge: Reach Assessment. Chest. 2017;152:A882.",Robotic Endoscopic Airway Challenge: Reach Assessment,Chest,2017,152,,A882,,,Chen A; Wahidi M; Gillespie C
18,"Chen AC, Gillespie CT. Robotic Endoscopic Airway Challenge: REACH Assessment. Ann Thorac Surg. 2018;None.",Robotic Endoscopic Airway Challenge: REACH Assessment,Ann Thorac Surg,2018,,,,,,Chen AC; Gillespie CT
19,"Fielding D, Bashirzadeh F, Son JH. First Human Use of a New Robotic-Assisted Navigation System for Small Peripheral Pulmonary Nodules Demonstrates Good Safety Profile and High Diagnostic Yield. Chest. 2017;152:858.",First Human Use of a New Robotic-Assisted Navigation System for Small Peripheral Pulmonary Nodules Demonstrates Good Safety Profile and High Diagnostic Yield,Chest,2017,152,,858,,,Fielding D; Bashirzadeh F; Son JH
20,"Tanabe T, Koizumi T, Tsushima K. Comparative study of three different catheters for CT imagingbronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer. Chest. 2010;137.",Comparative study of three different catheters for CT imagingbronchoscopy-guided radiofrequency ablation as a potential and novel interventional therapy for lung cancer,Chest,2010,137,,,,,Tanabe T; Koizumi T; Tsushima K
21,"Koizumi T, Kobayashi T, Tanabe T. Clinical experience of bronchoscopy-guided radiofrequency ablation for peripheral-type lung cancer. Case Rep Oncol Med. 2013;2013:515160.",Clinical experience of bronchoscopy-guided radiofrequency ablation for peripheral-type lung cancer,Case Rep Oncol Med,2013,2013,,515160,,,Koizumi T; Kobayashi T; Tanabe T
22,"Koizumi T, Tsushima K, Tanabe T. Bronchoscopy-Guided Cooled Radiofrequency Ablation as a Novel Intervention Therapy for Peripheral Lung Cancer. Respiration. 2015;90.",Bronchoscopy-Guided Cooled Radiofrequency Ablation as a Novel Intervention Therapy for Peripheral Lung Cancer,Respiration,2015,90,,,,,Koizumi T; Tsushima K; Tanabe T
23,"Xie F, Zheng X, Xiao B. Navigation Bronchoscopy-Guided Radiofrequency Ablation for Nonsurgical Peripheral Pulmonary Tumors. Respiration. 2017;94.",Navigation Bronchoscopy-Guided Radiofrequency Ablation for Nonsurgical Peripheral Pulmonary Tumors,Respiration,2017,94,,,,,Xie F; Zheng X; Xiao B
24,"Zhong L, Sun S, Shi J. Clinical analysis on 113 patients with lung cancer treated by percutaneous CTguided microwave ablation. J Thorac Dis. 2017;9.",Clinical analysis on 113 patients with lung cancer treated by percutaneous CTguided microwave ablation,J Thorac Dis,2017,9,,,,,Zhong L; Sun S; Shi J
25,"Digesu CS, Hachey KJ, Gilmore DM. Long-term outcomes after near-infrared sentinel lymph node mapping in non-small cell lung cancer. J Thorac Cardiovasc Surg. 2018;155.",Long-term outcomes after near-infrared sentinel lymph node mapping in non-small cell lung cancer,J Thorac Cardiovasc Surg,2018,155,,,,,Digesu CS; Hachey KJ; Gilmore DM
26,"Shiau AL, Teo ML, Chen SY. Inhibition of experimental lung metastasis by systemic lentiviral delivery of kallistatin. BMC Cancer. 2010;10:245.",Inhibition of experimental lung metastasis by systemic lentiviral delivery of kallistatin,BMC Cancer,2010,10,,245,,,Shiau AL; Teo ML; Chen SY
