#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Folch E, Keyes C. Airway stents. Ann Cardiothorac Surg. 2018;7.",Airway stents,Ann Cardiothorac Surg,2018,7,,,,,Folch E; Keyes C
2,Colt HG. Airway stents. Airway stents. 2021;None.,Airway stents,Airway stents,2021,,,,,,Colt HG
3,"Chin CS, Litle V, Yun J. Airway stents. Ann Thorac Surg. 2008;85.",Airway stents,Ann Thorac Surg,2008,85,,,,,Chin CS; Litle V; Yun J
4,"Jones C, Crerar-Gilbert AJ, Madden BP. Anaesthesia for endobronchial intervention and tracheobronchial stents. Curr Anaesth Crit Care. 2009;20.",Anaesthesia for endobronchial intervention and tracheobronchial stents,Curr Anaesth Crit Care,2009,20,,,,,Jones C; Crerar-Gilbert AJ; Madden BP
5,"Navas-Blanco JR, Uduman J, Diaz-Mendoza J. Emergent airway management in a patient with in situ tracheal stent: A lesson learned. Saudi J Anaesth. 2018;12.",Emergent airway management in a patient with in situ tracheal stent: A lesson learned,Saudi J Anaesth,2018,12,,,,,Navas-Blanco JR; Uduman J; Diaz-Mendoza J
6,Conacher ID. Anaesthesia and tracheobronchial stenting for central airway obstruction in adults. Br J Anaesth. 2003;90.,Anaesthesia and tracheobronchial stenting for central airway obstruction in adults,Br J Anaesth,2003,90,,,,,Conacher ID
7,"Finlayson GN, Brodsky JB. Anesthetic considerations for airway stenting in adult patients. Anesthesiol Clin. 2008;26.",Anesthetic considerations for airway stenting in adult patients,Anesthesiol Clin,2008,26,,,,,Finlayson GN; Brodsky JB
8,"Davis N, Madden BP, Sheth A. Airway management of patients with tracheobronchial stents. Br J Anaesth. 2006;96.",Airway management of patients with tracheobronchial stents,Br J Anaesth,2006,96,,,,,Davis N; Madden BP; Sheth A
9,"Nethercott D, Strang T, Krysiak P. Airway stents: Anaesthetic implications. Contin Educ Anaesth Crit Care Pain. 2010;10.",Airway stents: Anaesthetic implications,Contin Educ Anaesth Crit Care Pain,2010,10,,,,,Nethercott D; Strang T; Krysiak P
10,"Mason RA, Fielder CP. The obstructed airway in head and neck surgery. Anaesthesia. 1999;54.",The obstructed airway in head and neck surgery,Anaesthesia,1999,54,,,,,Mason RA; Fielder CP
11,Chrimes N. The Vortex: A universal 'high-acuity implementation tool' for emergency airway management. Br J Anaesth. 2016;117(Suppl 1).,The Vortex: A universal 'high-acuity implementation tool' for emergency airway management,Br J Anaesth,2016,117,Suppl 1,,,,Chrimes N
12,"Chrimes N, Fritz P. The Vortex Approach to airway management. The Vortex Approach to airway management. 2021;None.",The Vortex Approach to airway management,The Vortex Approach to airway management,2021,,,,,,Chrimes N; Fritz P
13,"Calder I, Pearce A. Basic principles of airway management. Core topics in airway management. 2011;None.",Basic principles of airway management,Core topics in airway management,2011,,,,,,Calder I; Pearce A
14,"Booth A, Vidhani K, Lee PK, Thomsett CM. SponTaneous Respiration using IntraVEnous anaesthesia and Hi-flow nasal oxygen (STRIVE Hi) maintains oxygenation and airway patency during management of the obstructed airway: An observational study. Br J Anaesth. 2017;118.",SponTaneous Respiration using IntraVEnous anaesthesia and Hi-flow nasal oxygen (STRIVE Hi) maintains oxygenation and airway patency during management of the obstructed airway: An observational study,Br J Anaesth,2017,118,,,,,Booth A; Vidhani K; Lee PK; Thomsett CM
15,Fig. None. None. None;None.,,,,,,,,,Fig
16," The proposed airway management algorithm of airway obstruction for a patient with a tracheal stent. ECMO, extracorporeal membrane oxygenation; ETT: Endotracheal tube; TTE, transthoracic echocardiogram. The proposed airway management algorithm of airway obstruction for a patient with a tracheal stent. ECMO, extracorporeal membrane oxygenation; ETT: Endotracheal tube; TTE, transthoracic echocardiogram. None;XR.","The proposed airway management algorithm of airway obstruction for a patient with a tracheal stent. ECMO, extracorporeal membrane oxygenation; ETT: Endotracheal tube; TTE, transthoracic echocardiogram","The proposed airway management algorithm of airway obstruction for a patient with a tracheal stent. ECMO, extracorporeal membrane oxygenation; ETT: Endotracheal tube; TTE, transthoracic echocardiogram",,XR,,,,,
