#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Austin J, Ali T. Tracheomalacia and bronchomalacia in children: pathophysiology, assessment, treatment, and anaesthesia management. Paediatr Anaesth. 2003;13.","Tracheomalacia and bronchomalacia in children: pathophysiology, assessment, treatment, and anaesthesia management",Paediatr Anaesth,2003,13,,,,,Austin J; Ali T
2,"Wittenborg MH, Gyepes MT, Crocker D. Tracheal dynamics in infants with respiratory distress, stridor, and collapsing trachea. Radiology. 1967;88.","Tracheal dynamics in infants with respiratory distress, stridor, and collapsing trachea",Radiology,1967,88,,,,,Wittenborg MH; Gyepes MT; Crocker D
3,Heinbecker P. A method for the demonstration of calibre changes in the bronchi in normal respiration. J Clin Invest. 1927;4.,A method for the demonstration of calibre changes in the bronchi in normal respiration,J Clin Invest,1927,4,,,,,Heinbecker P
4,"Feist JH, Johnson TH, Wilson RJ. Acquired tracheomalacia: etiology and differential diagnosis. Chest. 1975;68.",Acquired tracheomalacia: etiology and differential diagnosis,Chest,1975,68,,,,,Feist JH; Johnson TH; Wilson RJ
5,Nuutinen J. Acquired tracheobronchomalacia. Eur J Respir Dis. 1982;63.,Acquired tracheobronchomalacia,Eur J Respir Dis,1982,63,,,,,Nuutinen J
6,"Filler RM, Rossello PJ, Lebowitz RL. Life-threatening anoxic spells caused by tracheal compression after repair of esophageal atresia: correction by surgery. J Pediatr Surg. 1976;11.",Life-threatening anoxic spells caused by tracheal compression after repair of esophageal atresia: correction by surgery,J Pediatr Surg,1976,11,,,,,Filler RM; Rossello PJ; Lebowitz RL
7,"Kiely EM, Spitz L, Brereton R. Management of tracheomalacia by aortopexy. Pediatr Surg Int. 1987;2.",Management of tracheomalacia by aortopexy,Pediatr Surg Int,1987,2,,,,,Kiely EM; Spitz L; Brereton R
8,"Mair EA, Parsons DS. Pediatric tracheobronchomalacia and major airway collapse. Ann Otol Rhinol Laryngol. 1992;101.",Pediatric tracheobronchomalacia and major airway collapse,Ann Otol Rhinol Laryngol,1992,101,,,,,Mair EA; Parsons DS
9,Gross RE. Surgical relief for tracheal obstruction from a vascular ring. N Engl J Med. 1945;223.,Surgical relief for tracheal obstruction from a vascular ring,N Engl J Med,1945,223,,,,,Gross RE
10,Wolman IJ. Syndrome of constricting double aortic arch in infancy: report of a case. J Pediatr. 1939;14.,Syndrome of constricting double aortic arch in infancy: report of a case,J Pediatr,1939,14,,,,,Wolman IJ
11,"Sprague HB, Ernlund CH, Albright F. Clinical aspects of persistent right aortic root. N Engl J Med. 1933;209.",Clinical aspects of persistent right aortic root,N Engl J Med,1933,209,,,,,Sprague HB; Ernlund CH; Albright F
12,"Gross RE, Neuhauser E. Compression of the trachea by an anomalous innominate artery: an operation for its relief. Am J Dis Child. 1948;75.",Compression of the trachea by an anomalous innominate artery: an operation for its relief,Am J Dis Child,1948,75,,,,,Gross RE; Neuhauser E
13,Evans WA. Congenital obstructions of the respiratory tract: Part 1. Tracheal malformation. AJR Am J Roentgenol. 1949;62.,Congenital obstructions of the respiratory tract: Part 1. Tracheal malformation,AJR Am J Roentgenol,1949,62,,,,,Evans WA
14,"Kirklin JW, Claggett OT. Vascular rings producing respiratory obstruction in infants. Mayo Clin Proc. 1950;25.",Vascular rings producing respiratory obstruction in infants,Mayo Clin Proc,1950,25,,,,,Kirklin JW; Claggett OT
15,"Holinger PH, Johnston KC, Parchet VN. Congenital malformations of the trachea, bronchi, and lung. Ann Otol Rhinol Laryngol. 1952;61.","Congenital malformations of the trachea, bronchi, and lung",Ann Otol Rhinol Laryngol,1952,61,,,,,Holinger PH; Johnston KC; Parchet VN
16,"Holinger PH. Clinical aspects of congenital anomalies of the larynx, trachea, bronchi, and oesophagus: the Semon lecture. J Laryngol Otol. 1961;75.","Clinical aspects of congenital anomalies of the larynx, trachea, bronchi, and oesophagus: the Semon lecture",J Laryngol Otol,1961,75,,,,,Holinger PH
17,"Baxter JD, Dunbar JS. Tracheomalacia. Ann Otol Rhinol Laryngol. 1963;72.",Tracheomalacia,Ann Otol Rhinol Laryngol,1963,72,,,,,Baxter JD; Dunbar JS
18,"Gupta TG, Goldberg SJ, Lewis E. Congenital bronchomalacia. Am J Dis Child. 1968;115.",Congenital bronchomalacia,Am J Dis Child,1968,115,,,,,Gupta TG; Goldberg SJ; Lewis E
19,"Masaoka A, Yamakawa Y, Niwa H. Pediatric and adult tracheobronchomalacia. Eur J Cardiothorac Surg. 1996;10.",Pediatric and adult tracheobronchomalacia,Eur J Cardiothorac Surg,1996,10,,,,,Masaoka A; Yamakawa Y; Niwa H
20,"Holinger LD. Etiology of stridor in the neonate, infant, and child. Ann Otol Rhinol Laryngol. 1980;89.","Etiology of stridor in the neonate, infant, and child",Ann Otol Rhinol Laryngol,1980,89,,,,,Holinger LD
21,"Jacobs IN, Wetmore RF, Tom LW. Tracheobronchomalacia in children. Arch Otolaryngol Head Neck Surg. 1994;120.",Tracheobronchomalacia in children,Arch Otolaryngol Head Neck Surg,1994,120,,,,,Jacobs IN; Wetmore RF; Tom LW
22,"Masters IB, Chang AB, Patterson L. Series of laryngomalacia, tracheomalacia, and bronchomalacia disorders and their associations with other conditions in children. Pediatr Pulmonol. 2002;34.","Series of laryngomalacia, tracheomalacia, and bronchomalacia disorders and their associations with other conditions in children",Pediatr Pulmonol,2002,34,,,,,Masters IB; Chang AB; Patterson L
23,"Blair GK, Cohen R, Filler RM. Treatment of tracheomalacia: eight years' experience. J Pediatr Surg. 1986;21.",Treatment of tracheomalacia: eight years' experience,J Pediatr Surg,1986,21,,,,,Blair GK; Cohen R; Filler RM
24,"Adler SC, Isaacson G, Balsara RK. Innominate artery compression of the trachea: diagnosis and treatment by anterior suspension: a 25-year experience. Ann Otol Rhinol Laryngol. 1995;104.",Innominate artery compression of the trachea: diagnosis and treatment by anterior suspension: a 25-year experience,Ann Otol Rhinol Laryngol,1995,104,,,,,Adler SC; Isaacson G; Balsara RK
25,"Johner CH, Szanto PA. Polychondritis in a newborn presenting as tracheomalacia. Ann Otol Rhinol Laryngol. 1970;79.",Polychondritis in a newborn presenting as tracheomalacia,Ann Otol Rhinol Laryngol,1970,79,,,,,Johner CH; Szanto PA
26,"Cox WL, Shaw RR. Congenital chondromalacia of the trachea. J Thorac Cardiovasc Surg. 1965;49.",Congenital chondromalacia of the trachea,J Thorac Cardiovasc Surg,1965,49,,,,,Cox WL; Shaw RR
27,"Morehead JM, Parsons DS. Tracheobronchomalacia in Hunter's syndrome. Int J Pediatr Otorhinolaryngol. 1993;26.",Tracheobronchomalacia in Hunter's syndrome,Int J Pediatr Otorhinolaryngol,1993,26,,,,,Morehead JM; Parsons DS
28,"Shapiro J, Strome M, Crocker AC. Airway obstruction and sleep apnea in Hurler and Hunter syndromes. Ann Otol Rhinol Laryngol. 1985;94.",Airway obstruction and sleep apnea in Hurler and Hunter syndromes,Ann Otol Rhinol Laryngol,1985,94,,,,,Shapiro J; Strome M; Crocker AC
29,Benjamin B. Tracheomalacia in infants and children. Ann Otol Rhinol Laryngol. 1984;93.,Tracheomalacia in infants and children,Ann Otol Rhinol Laryngol,1984,93,,,,,Benjamin B
30,"Paston F, Bye M. Tracheomalacia. Pediatr Rev. 1996;17:328.",Tracheomalacia,Pediatr Rev,1996,17,,328,,,Paston F; Bye M
31,"Greenholz SK, Karrer FM, Lilly JR. Contemporary surgery of tracheomalacia. J Pediatr Surg. 1986;21.",Contemporary surgery of tracheomalacia,J Pediatr Surg,1986,21,,,,,Greenholz SK; Karrer FM; Lilly JR
32,"Wailoo MP, Emery JL. The trachea in children with tracheo-oesophageal fistula. Histopathology. 1979;3.",The trachea in children with tracheo-oesophageal fistula,Histopathology,1979,3,,,,,Wailoo MP; Emery JL
33,"Mustard WT, Bayliss CE, Fearon B. Tracheal compression by the innominate artery in children. Ann Thorac Surg. 1969;8.",Tracheal compression by the innominate artery in children,Ann Thorac Surg,1969,8,,,,,Mustard WT; Bayliss CE; Fearon B
