#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cameron JL, William S, Halsted. Our surgical heritage. Ann Surg. 1997;225.",Our surgical heritage,Ann Surg,1997,225,,,,,Cameron JL; William S; Halsted
2,"Fielding DI, Maldonado F, Murgu S. Achieving competency in bronchoscopy: challenges and opportunities. Respirology. 2014;19.",Achieving competency in bronchoscopy: challenges and opportunities,Respirology,2014,19,,,,,Fielding DI; Maldonado F; Murgu S
3,"Stather DR, Chee A, Maceachern P. Endobronchial ultrasound learning curve in interventional pulmonary fellows. Respirology. 2015;20.",Endobronchial ultrasound learning curve in interventional pulmonary fellows,Respirology,2015,20,,,,,Stather DR; Chee A; Maceachern P
4,"Davoudi M, Osann K, Colt HG. Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation. Respiration. 2008;76.",Validation of two instruments to assess technical bronchoscopic skill using virtual reality simulation,Respiration,2008,76,,,,,Davoudi M; Osann K; Colt HG
5,"Pastis NJ, Nietert PJ, Silvestri GA. Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors. Chest. 2005;127.",Variation in training for interventional pulmonary procedures among US pulmonary/critical care fellowships: a survey of fellowship directors,Chest,2005,127,,,,,Pastis NJ; Nietert PJ; Silvestri GA
6,"Wong W, Knox D. Graduating fellows' procedural comfort level with pulmonary critical care procedures. J Bronchol Interv Pulmonol. 2019;26.",Graduating fellows' procedural comfort level with pulmonary critical care procedures,J Bronchol Interv Pulmonol,2019,26,,,,,Wong W; Knox D
7,"Stather DR, Jarand J, Silvestri GA. An evaluation of procedural training in Canadian respirology fellowship programs: program directors' and fellows' perspectives. Can Respir J. 2009;330.",An evaluation of procedural training in Canadian respirology fellowship programs: program directors' and fellows' perspectives,Can Respir J,2009,330,,,,,Stather DR; Jarand J; Silvestri GA
8,"Lee HL, Feller-Kopman D, Shepherd W. Validation of an interventional pulmonary examination. Chest. 2013;143.",Validation of an interventional pulmonary examination,Chest,2013,143,,,,,Lee HL; Feller-Kopman D; Shepherd W
9,"Vial MR, Connell O, Grosu OJ, HB. Diagnostic performance of endobronchial ultrasound-guided mediastinal lymph node sampling in early stage non-small cell lung cancer: a prospective study. Respirology. 2018;3.",Diagnostic performance of endobronchial ultrasound-guided mediastinal lymph node sampling in early stage non-small cell lung cancer: a prospective study,Respirology,2018,3,,,,,Vial MR; Connell O; Grosu OJ; HB
10,"Desai NR, Parikih MS, Lee HJ. Interventional pulmonology: the role of simulation and competency-based evaluation. Semin Respir Crit Care Med. 2019;39.",Interventional pulmonology: the role of simulation and competency-based evaluation,Semin Respir Crit Care Med,2019,39,,,,,Desai NR; Parikih MS; Lee HJ
11,"Ernst A, Wahidi MM, Read CA. Adult bronchoscopy training: current state and suggestions for the future: CHEST Expert Panel Report. Chest. 2015;148.",Adult bronchoscopy training: current state and suggestions for the future: CHEST Expert Panel Report,Chest,2015,148,,,,,Ernst A; Wahidi MM; Read CA
12,"Corbetta L, Patelli M. Executive summary of training and competence standards for the Interventional Pulmonology Master Program in Italy. J Bronchol Interv Pulmonol. 2018;25.",Executive summary of training and competence standards for the Interventional Pulmonology Master Program in Italy,J Bronchol Interv Pulmonol,2018,25,,,,,Corbetta L; Patelli M
13,"Mcsparron JI, Michaud GC, Gordan PL. Simulation for skills-based education in pulmonary and critical care medicine. Ann Am Thorac Soc. 2015;12.",Simulation for skills-based education in pulmonary and critical care medicine,Ann Am Thorac Soc,2015,12,,,,,Mcsparron JI; Michaud GC; Gordan PL
14,"Valentini I, Agli L, Michieletto L, L. Competence in flexible bronchoscopy and basic biopsy technique. Panminerva Med. 2019;61.",Competence in flexible bronchoscopy and basic biopsy technique,Panminerva Med,2019,61,,,,,Valentini I; Agli L; Michieletto L; L
15,Silvestri G. Looking to our past to find the way forward for the American Association of Bronchology and Interventional Pulmonology. J Bronchol Intervent Pulmonol. 2010;17.,Looking to our past to find the way forward for the American Association of Bronchology and Interventional Pulmonology,J Bronchol Intervent Pulmonol,2010,17,,,,,Silvestri G
16,"Bragg EJ, Warshaw GA, Meganathan K. National survey of geriatric medicine fellowship programs: comparing findings in 2006/07 and 2001/02 from the American Geriatric Society and Association of Directors of Geriatric Academic Programs Geriatric Workforce Policy Studies Center. J Am Geriatr Soc. 2010;58.",National survey of geriatric medicine fellowship programs: comparing findings in 2006/07 and 2001/02 from the American Geriatric Society and Association of Directors of Geriatric Academic Programs Geriatric Workforce Policy Studies Center,J Am Geriatr Soc,2010,58,,,,,Bragg EJ; Warshaw GA; Meganathan K
17,Strohl KP. Sleep medicine training across the spectrum. Chest. 2011;139.,Sleep medicine training across the spectrum,Chest,2011,139,,,,,Strohl KP
18,"Lee HJ, Yarmus L. The new NRMP fellowship match system. J Bronchol Intervent Pulmonol. 2011;18.",The new NRMP fellowship match system,J Bronchol Intervent Pulmonol,2011,18,,,,,Lee HJ; Yarmus L
19,"Mullon JJ, Burkart KM, Silvestri G. Interventional Pulmonary Fellowships Accreditation Standards: Executive Summary of the Multisociety Interventional Pulmonary Fellowships Accreditation Committee. Chest. 2017;151.",Interventional Pulmonary Fellowships Accreditation Standards: Executive Summary of the Multisociety Interventional Pulmonary Fellowships Accreditation Committee,Chest,2017,151,,,,,Mullon JJ; Burkart KM; Silvestri G
20, Endobronchial Ultrasound (EBUS) Certified training Programme. Endobronchial Ultrasound (EBUS) Certified training Programme. 2020;None. doi:10.1183/16000617.0025-20209.,Endobronchial Ultrasound (EBUS) Certified training Programme,Endobronchial Ultrasound (EBUS) Certified training Programme,2020,,,,10.1183/16000617.0025-20209,,
21,"Lee HJ, Corbetta L. EUROPEAN RESPIRATORY REVIEW INTERVENTIONAL PULMONOLOGY. EUROPEAN RESPIRATORY REVIEW INTERVENTIONAL PULMONOLOGY. None;21.",EUROPEAN RESPIRATORY REVIEW INTERVENTIONAL PULMONOLOGY,EUROPEAN RESPIRATORY REVIEW INTERVENTIONAL PULMONOLOGY,,21,,,,,Lee HJ; Corbetta L
22,"Bollinger CT, Mathur PN, Beamis JF. ERS/ATS statement on interventional pulmonology. European Respiratory Society/American Thoracic Society. Eur Respir J. 2002;19.",ERS/ATS statement on interventional pulmonology. European Respiratory Society/American Thoracic Society,Eur Respir J,2002,19,,,,,Bollinger CT; Mathur PN; Beamis JF
23,"Ernest A, Silvestri G, Johnstone D. Interventional pulmonary procedures guidelines from the American College of Chest Physicians. Chest. 2003;123.",Interventional pulmonary procedures guidelines from the American College of Chest Physicians,Chest,2003,123,,,,,Ernest A; Silvestri G; Johnstone D
24,"Corbetta L, Arru LB, Mereu C. Competence and training in interventional pulmonology. Panminerva Med. 2019;61.",Competence and training in interventional pulmonology,Panminerva Med,2019,61,,,,,Corbetta L; Arru LB; Mereu C
25,"Rousmaniere T, Goodyear RK, Miller SD. Cycle of Excellence: Using Deliberate Practice to Improve Supervision and Training. Cycle of Excellence: Using Deliberate Practice to Improve Supervision and Training. 2017;None.",Cycle of Excellence: Using Deliberate Practice to Improve Supervision and Training,Cycle of Excellence: Using Deliberate Practice to Improve Supervision and Training,2017,,,,,,Rousmaniere T; Goodyear RK; Miller SD
26,"Taras J, Everett T. Rapid cycle deliberate practice in medical educationa systematic review. Cureus. 2017;9:e1180.",Rapid cycle deliberate practice in medical educationa systematic review,Cureus,2017,9,,e1180,,,Taras J; Everett T
27,"Ericsson KA, Charness N, Feltovich PJ. The Cambridge Handbook of Expertise and Expert Performance. The Cambridge Handbook of Expertise and Expert Performance. 2006;None.",The Cambridge Handbook of Expertise and Expert Performance,The Cambridge Handbook of Expertise and Expert Performance,2006,,,,,,Ericsson KA; Charness N; Feltovich PJ
28,"Vozenilek J, Huff JS, Reznek M. See one, do one, teach one: advanced technology in medical education. Acad Emerg Med. 2004;11.","See one, do one, teach one: advanced technology in medical education",Acad Emerg Med,2004,11,,,,,Vozenilek J; Huff JS; Reznek M
29,"Davoudi M, Colt HG. Bronchoscopy simulation: a brief review. Adv Health Sci Educ Theory Pract. 2009;14.",Bronchoscopy simulation: a brief review,Adv Health Sci Educ Theory Pract,2009,14,,,,,Davoudi M; Colt HG
30,Ouellette DR. The safety of bronchoscopy in a pulmonary fellowship program. Chest. 2006;130.,The safety of bronchoscopy in a pulmonary fellowship program,Chest,2006,130,,,,,Ouellette DR
