#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Poletti V, Chilosi M, Olivieri D. Diagnostic invasive procedures in diffuse infiltrative lung diseases. Respiration. 2004;71.",Diagnostic invasive procedures in diffuse infiltrative lung diseases,Respiration,2004,71,,,,,Poletti V; Chilosi M; Olivieri D
2,"Utz JP, Ryu JH, Douglas W. High short-term mortality following lung biopsy for usual interstitial pneumonia. Eur Respir J. 2001;17.",High short-term mortality following lung biopsy for usual interstitial pneumonia,Eur Respir J,2001,17,,,,,Utz JP; Ryu JH; Douglas W
3,"Hutchinson JP, Fogarty AW, Mckeever TM. Inhospital mortality after surgical lung biopsy for interstitial lung disease in the United States. 2000 to 2011. Am J Respir Crit Care Med. 2016;193.",Inhospital mortality after surgical lung biopsy for interstitial lung disease in the United States. 2000 to 2011,Am J Respir Crit Care Med,2016,193,,,,,Hutchinson JP; Fogarty AW; Mckeever TM
4,"Griff S, Ammenwerth W, Schonfeld N. Morphometrical analysis of transbronchial cryobiopsies. Diagn Pathol. 2011;6:53.",Morphometrical analysis of transbronchial cryobiopsies,Diagn Pathol,2011,6,,53,,,Griff S; Ammenwerth W; Schonfeld N
5,"Raghu G, Remy-Jardin M, Myers JL. Diagnosis of idiopathic pulmonary fibrosis. an official ATS/ERS/ JRS/ALAT Clinical Practice Guideline. Am J Respir Crit Care Med. 2018;198.",Diagnosis of idiopathic pulmonary fibrosis. an official ATS/ERS/ JRS/ALAT Clinical Practice Guideline,Am J Respir Crit Care Med,2018,198,,,,,Raghu G; Remy-Jardin M; Myers JL
6,"Guenther A, Krauss E, Tello S. The European IPF registry (eurIPFreg): baseline characteristics and survival of patients with idiopathic pulmonary fibrosis. Respir Res. 2018;19:141.",The European IPF registry (eurIPFreg): baseline characteristics and survival of patients with idiopathic pulmonary fibrosis,Respir Res,2018,19,,141,,,Guenther A; Krauss E; Tello S
7,"Maldonado F, Danoff SK, Wells AU. Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report. Chest. 2019;157.",Transbronchial cryobiopsy for the diagnosis of interstitial lung diseases: CHEST Guideline and Expert Panel Report,Chest,2019,157,,,,,Maldonado F; Danoff SK; Wells AU
8,"Babiak A, Hetzel J, Krishna G. Transbronchial cryobiopsy: a new tool for lung biopsies. Respiration. 2009;78.",Transbronchial cryobiopsy: a new tool for lung biopsies,Respiration,2009,78,,,,,Babiak A; Hetzel J; Krishna G
9,"Hewitt RJ, Maher TM. Idiopathic pulmonary fibrosis: new and emerging treatment options. Drugs Aging. 2019;36.",Idiopathic pulmonary fibrosis: new and emerging treatment options,Drugs Aging,2019,36,,,,,Hewitt RJ; Maher TM
10,"Richeldi L, Launders N, Martinez F. The characterisation of interstitial lung disease multidisciplinary team meetings: a global study. ERJ Open Res. 2019;5.",The characterisation of interstitial lung disease multidisciplinary team meetings: a global study,ERJ Open Res,2019,5,,,,,Richeldi L; Launders N; Martinez F
11,"Kebbe J, Abdo T. Interstitial lung disease: the diagnostic role of bronchoscopy. J Thorac Dis. 2017;9(suppl 10).",Interstitial lung disease: the diagnostic role of bronchoscopy,J Thorac Dis,2017,9,suppl 10,,,,Kebbe J; Abdo T
12,"Sheth JS, Belperio JA, Fishbein MC. Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease. Chest. 2017;151.",Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease,Chest,2017,151,,,,,Sheth JS; Belperio JA; Fishbein MC
13,"Hutchinson JP, Mckeever TM, Fogarty AW. Surgical lung biopsy for the diagnosis of interstitial lung disease in England: 1997-2008. Eur Respir J. 2016;48.",Surgical lung biopsy for the diagnosis of interstitial lung disease in England: 1997-2008,Eur Respir J,2016,48,,,,,Hutchinson JP; Mckeever TM; Fogarty AW
14,"Durheim MT, Kim S, Gulack BC. Mortality and respiratory failure after thoracoscopic lung biopsy for interstitial lung disease. Ann Thorac Surg. 2017;104.",Mortality and respiratory failure after thoracoscopic lung biopsy for interstitial lung disease,Ann Thorac Surg,2017,104,,,,,Durheim MT; Kim S; Gulack BC
