#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Nassar N, Leoncini E, Amar E. Prevalence of esophageal atresia among 18 international birth defects surveillance programs. Birth Defects Res. A Clin Mol Teratol. 2012;94(11). doi:10.1002/bdra.23067.",Prevalence of esophageal atresia among 18 international birth defects surveillance programs,Birth Defects Res. A Clin Mol Teratol,2012,94,11,,10.1002/bdra.23067,,Nassar N; Leoncini E; Amar E
2,"Cassina M, Ruol M, Pertile R et al.. Prevalence, characteristics, and survival of children with esophageal atresia: a 32-year population-based study including 1,417,724 consecutive newborns. Birth Defects Res A Clin Mol Teratol. 2016;106(7). doi:10.1002/bdra.23493.","Prevalence, characteristics, and survival of children with esophageal atresia: a 32-year population-based study including 1,417,724 consecutive newborns",Birth Defects Res A Clin Mol Teratol,2016,106,7,,10.1002/bdra.23493,,Cassina M; Ruol M; Pertile R; Midrio P; Piffer S; Vicenzi V; Saugo M; Stocco CF; Gamba P; Clementi M
3,"Taghavi K, Tanny T, Hawley SP et al.. H-type congenital tracheoesophageal fistula: insights from 70 years of The Royal Children's Hospital experience. J Pediatr Surg. 2020;56(4). doi:10.1016/j.jpedsurg.2020.06.048.",H-type congenital tracheoesophageal fistula: insights from 70 years of The Royal Children's Hospital experience,J Pediatr Surg,2020,56,4,,10.1016/j.jpedsurg.2020.06.048,,Taghavi K; Tanny T; Hawley SP; Brooks A; Hutson JA; Teague JM; King WJ; Nightingale SK; M
4,"Holcomb GW, Rothenberg SS, Bax KM et al.. Thoracoscopic repair of esophageal atresia and tracheoesophageal fistula: a multi-institutional analysis. Ann Surg. 2005;242(3). doi:10.1097/01.sla.0000179649.15576.db.",Thoracoscopic repair of esophageal atresia and tracheoesophageal fistula: a multi-institutional analysis,Ann Surg,2005,242,3,,10.1097/01.sla.0000179649.15576.db,16135928,Holcomb GW; Rothenberg SS; Bax KM; Martinez-Ferro M; Albanese CT; Ostlie DJ; Van Der Zee DC; Yeung CK
5,"Patkowsk D, Rysiakiewicz K, Jaworski W et al.. Thoracoscopic repair of tracheoesophageal fistula and esophageal atresia. J Laparoendosc Adv Surg Tech A. 2009;19(Suppl 1). doi:10.1089/lap.2008.0139.supp.",Thoracoscopic repair of tracheoesophageal fistula and esophageal atresia,J Laparoendosc Adv Surg Tech A,2009,19,Suppl 1,,10.1089/lap.2008.0139.supp,,Patkowsk D; Rysiakiewicz K; Jaworski W; Zielinska M; Siejka G; Konsur K; Czernik J
6,"Reed MF, Mathisen DJ. Tracheoesophageal fistula. Chest Surg Clin N Am. 2003;13(2). doi:10.1016/s1052-3359(03)00030-9.",Tracheoesophageal fistula,Chest Surg Clin N Am,2003,13,2,,10.1016/s1052-3359(03)00030-9,,Reed MF; Mathisen DJ
7,"Rodriguez AN, Diaz-Jimenez JP. Malignant respiratory-digestive fistulas. Curr Opin Pulm Med. 2010;16(4). doi:10.1097/MCP.0b013e3283390de8.",Malignant respiratory-digestive fistulas,Curr Opin Pulm Med,2010,16,4,,10.1097/MCP.0b013e3283390de8,,Rodriguez AN; Diaz-Jimenez JP
8,"Kim HS, Khemasuwan D, Diaz-Mendoza J, Mehta AC. Management of tracheo-oesophageal fistula in adults. Eur Respir Rev. 2020;29(158):200094. doi:10.1183/16000617.0094-2020.",Management of tracheo-oesophageal fistula in adults,Eur Respir Rev,2020,29,158,200094,10.1183/16000617.0094-2020,33153989,Kim HS; Khemasuwan D; Diaz-Mendoza J; Mehta AC
9,"Chang CH, Lin J. Management of aero-digestive fistulas in adults: the bronchoscopist's perspective. Mediastinum. 2023;7:33. doi:10.21037/med-22-38.",Management of aero-digestive fistulas in adults: the bronchoscopist's perspective,Mediastinum,2023,7,,33,10.21037/med-22-38,38090030,Chang CH; Lin J
10,"Diddee R, Shaw IH. Acquired tracheo-oesophageal fistula in adults. Cont Educ Anaesth Crit Care Pain. 2006;6. doi:10.1093/bjaceaccp/mkl019.",Acquired tracheo-oesophageal fistula in adults,Cont Educ Anaesth Crit Care Pain,2006,6,,,10.1093/bjaceaccp/mkl019,,Diddee R; Shaw IH
