#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Shen KR, Bribriesco A, Crabtree T. The American Association for Thoracic Surgery consensus guidelines for the management of empyema. J Thorac Cardiovasc Surg. 2017;153.",The American Association for Thoracic Surgery consensus guidelines for the management of empyema,J Thorac Cardiovasc Surg,2017,153,,,,,Shen KR; Bribriesco A; Crabtree T
2,Light RW. Parapneumonic effusions and empyema. Proc Am Thorac Soc. 2006;3.,Parapneumonic effusions and empyema,Proc Am Thorac Soc,2006,3,,,,,Light RW
3,"Davies HE, Davies RJ, Davies CW, Disease G, Group. Management of pleural infection in adults: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(suppl 2).",Management of pleural infection in adults: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,suppl 2,,,,Davies HE; Davies RJ; Davies CW; Disease G; Group
4,"Idell S, Florova G, Shetty S. Precision-guided, personalized intrapleural fibrinolytic therapy for empyema and complicated parapneumonic pleural effusions: the case for the fibrinolytic potential. Clin Pulm Med. 2017;24.","Precision-guided, personalized intrapleural fibrinolytic therapy for empyema and complicated parapneumonic pleural effusions: the case for the fibrinolytic potential",Clin Pulm Med,2017,24,,,,,Idell S; Florova G; Shetty S
5,"Maskell NA, Davies CW, Nunn AJ. Controlled trial of intrapleural streptokinase for pleural infection. N Engl J Med. 2005;352.",Controlled trial of intrapleural streptokinase for pleural infection,N Engl J Med,2005,352,,,,,Maskell NA; Davies CW; Nunn AJ
6,"Rahman NM, Maskell NA, West A. Intrapleural use of tissue plasminogen activator and DNase in pleural infection. N Engl J Med. 2011;365.",Intrapleural use of tissue plasminogen activator and DNase in pleural infection,N Engl J Med,2011,365,,,,,Rahman NM; Maskell NA; West A
7,"Alemán C, Alegre J, Monasterio J. Association between inflammatory mediators and the fibrinolysis system in infectious pleural effusions. Clin Sci (Lond). 2003;105.",Association between inflammatory mediators and the fibrinolysis system in infectious pleural effusions,Clin Sci (Lond),2003,105,,,,,Alemán C; Alegre J; Monasterio J
8,"Scarci M, Abah U, Solli P. EACTS expert consensus statement for surgical management of pleural empyema. Eur J Cardiothorac Surg. 2015;48.",EACTS expert consensus statement for surgical management of pleural empyema,Eur J Cardiothorac Surg,2015,48,,,,,Scarci M; Abah U; Solli P
9,"Guyatt GH, Oxman AD, Kunz R. Going from evidence to recommendations. BMJ. 2008;336.",Going from evidence to recommendations,BMJ,2008,336,,,,,Guyatt GH; Oxman AD; Kunz R
10,"Guyatt GH, Oxman AD, Vist GE. GRADE: an emerging consensus on rating quality of evidence and strength of recommendations. BMJ. 2008;336.",GRADE: an emerging consensus on rating quality of evidence and strength of recommendations,BMJ,2008,336,,,,,Guyatt GH; Oxman AD; Vist GE
11,"Fink A, Kosecoff J, Chassin M, Brook RH. Consensus methods: characteristics and guidelines for use. Am J Public Health. 1984;74.",Consensus methods: characteristics and guidelines for use,Am J Public Health,1984,74,,,,,Fink A; Kosecoff J; Chassin M; Brook RH
12,"Kwong JS, Chen H, Sun X. Development of evidence-based recommendations: implications for preparing expert consensus statements. Chin Med J (Engl). 2016;129.",Development of evidence-based recommendations: implications for preparing expert consensus statements,Chin Med J (Engl),2016,129,,,,,Kwong JS; Chen H; Sun X
13,"Djulbegovic B, Guyatt G. Evidence vs consensus in clinical practice guidelines. JAMA. 2019;322:725.",Evidence vs consensus in clinical practice guidelines,JAMA,2019,322,,725,,,Djulbegovic B; Guyatt G
14,"Tillett WS, Sherry S. The effect in patients of streptococcal fibrinolysin (streptokinase) and streptococcal desoxyribonuclease on fibrinous, purulent, and sanguinous pleural exudations. J Clin Invest. 1949;28.","The effect in patients of streptococcal fibrinolysin (streptokinase) and streptococcal desoxyribonuclease on fibrinous, purulent, and sanguinous pleural exudations",J Clin Invest,1949,28,,,,,Tillett WS; Sherry S
15,"Piccolo F, Popowicz N, Wong D, Lee YC. Intrapleural tissue plasminogen activator and deoxyribonuclease therapy for pleural infection. J Thorac Dis. 2015;7.",Intrapleural tissue plasminogen activator and deoxyribonuclease therapy for pleural infection,J Thorac Dis,2015,7,,,,,Piccolo F; Popowicz N; Wong D; Lee YC
16,"Bouros D, Schiza S, Patsourakis G, Chalkiadakis G, Panagou P, Siafakas NM. Intrapleural streptokinase versus urokinase in the treatment of complicated parapneumonic effusions: a prospective, double-blind study. Am J Respir Crit Care Med. 1997;155.","Intrapleural streptokinase versus urokinase in the treatment of complicated parapneumonic effusions: a prospective, double-blind study",Am J Respir Crit Care Med,1997,155,,,,,Bouros D; Schiza S; Patsourakis G; Chalkiadakis G; Panagou P; Siafakas NM
17,"Davies RJ, Traill ZC, Gleeson FV. Randomised controlled trial of intrapleural streptokinase in community acquired pleural infection. Thorax. 1997;52.",Randomised controlled trial of intrapleural streptokinase in community acquired pleural infection,Thorax,1997,52,,,,,Davies RJ; Traill ZC; Gleeson FV
18,"Bouros D, Schiza S, Tzanakis N, Chalkiadakis G, Drositis J, Siafakas N. Intrapleural urokinase versus normal saline in the treatment of complicated parapneumonic effusions and empyema. A randomized, double-blind study. Am J Respir Crit Care Med. 1999;159.","Intrapleural urokinase versus normal saline in the treatment of complicated parapneumonic effusions and empyema. A randomized, double-blind study",Am J Respir Crit Care Med,1999,159,,,,,Bouros D; Schiza S; Tzanakis N; Chalkiadakis G; Drositis J; Siafakas N
19,"Tuncozgur B, Ustunsoy H, Sivrikoz MC. Intrapleural urokinase in the management of parapneumonic empyema: a randomised controlled trial. Int J Clin Pract. 2001;55.",Intrapleural urokinase in the management of parapneumonic empyema: a randomised controlled trial,Int J Clin Pract,2001,55,,,,,Tuncozgur B; Ustunsoy H; Sivrikoz MC
20,"Diacon AH, Schuurmans TJ, Van De Wal MM, Bolliger BW, CT. Intrapleural streptokinase for empyema and complicated parapneumonic effusions. Am J Respir Crit Care Med. 2004;170.",Intrapleural streptokinase for empyema and complicated parapneumonic effusions,Am J Respir Crit Care Med,2004,170,,,,,Diacon AH; Schuurmans TJ; Van De Wal MM; Bolliger BW; CT
21,"Misthos P, Sepsas E, Konstantinou M, Athanassiadi K, Skottis I, Lioulias A. Early use of intrapleural fibrinolytics in the management of postpneumonic empyema. A prospective study. Eur J Cardiothorac Surg. 2005;28.",Early use of intrapleural fibrinolytics in the management of postpneumonic empyema. A prospective study,Eur J Cardiothorac Surg,2005,28,,,,,Misthos P; Sepsas E; Konstantinou M; Athanassiadi K; Skottis I; Lioulias A
22,"Prasad B, Bhattacharyya D, Luthra M, Mathur AD. Management of empyema thoracis with pleural pigtail drainage and intrapleural thrombolytic therapy. C. 2009;44.",Management of empyema thoracis with pleural pigtail drainage and intrapleural thrombolytic therapy,C,2009,44,,,,,Prasad B; Bhattacharyya D; Luthra M; Mathur AD
23,"Lin J, Li M, Zhou H, Niu YY, Liu XY. Effectiveness and safety of intrapleural tissue plasminogen activator in the prevention of pleural thickening and loculated pleural effusions. Zhonghua Linchuang Yishi Zazhi. 2011;5.",Effectiveness and safety of intrapleural tissue plasminogen activator in the prevention of pleural thickening and loculated pleural effusions,Zhonghua Linchuang Yishi Zazhi,2011,5,,,,,Lin J; Li M; Zhou H; Niu YY; Liu XY
24,"Thommi G, Shehan JC, Robison KL, Christensen M, Backemeyer LA, Mcleay MT. A double blind randomized cross over trial comparing rate of decortication and efficacy of intrapleural instillation of alteplase vs placebo in patients with empyemas and complicated parapneumonic effusions. Respir Med. 2012;106.",A double blind randomized cross over trial comparing rate of decortication and efficacy of intrapleural instillation of alteplase vs placebo in patients with empyemas and complicated parapneumonic effusions,Respir Med,2012,106,,,,,Thommi G; Shehan JC; Robison KL; Christensen M; Backemeyer LA; Mcleay MT
25,"Alemán C, Porcel JM, Alegre J. Intrapleural fibrinolysis with urokinase versus alteplase in complicated parapneumonic pleural effusions and empyemas: a prospective randomized study. Lung. 2015;193.",Intrapleural fibrinolysis with urokinase versus alteplase in complicated parapneumonic pleural effusions and empyemas: a prospective randomized study,Lung,2015,193,,,,,Alemán C; Porcel JM; Alegre J
26,"Altmann ES, Crossingham I, Wilson S, Davies HR. Intra-pleural fibrinolytic therapy versus placebo, or a different fibrinolytic agent, in the treatment of adult parapneumonic effusions and empyema. Cochrane Database Syst Rev. 2019;10:2312.","Intra-pleural fibrinolytic therapy versus placebo, or a different fibrinolytic agent, in the treatment of adult parapneumonic effusions and empyema",Cochrane Database Syst Rev,2019,10,,2312,,,Altmann ES; Crossingham I; Wilson S; Davies HR
27,"Wait MA, Sharma S, Hohn J, Nogare D, A. A randomized trial of empyema therapy. Chest. 1997;111.",A randomized trial of empyema therapy,Chest,1997,111,,,,,Wait MA; Sharma S; Hohn J; Nogare D; A
28,"Nie W, Liu Y, Ye J. Efficacy of intrapleural instillation of fibrinolytics for treating pleural empyema and parapneumonic effusion: a meta-analysis of randomized control trials. Clin Respir J. 2014;8.",Efficacy of intrapleural instillation of fibrinolytics for treating pleural empyema and parapneumonic effusion: a meta-analysis of randomized control trials,Clin Respir J,2014,8,,,,,Nie W; Liu Y; Ye J
29,"Bédat B, Plojoux J, Noel J. Comparison of intrapleural use of urokinase and tissue plasminogen activator/DNAse in pleural infection. ERJ Open Res. 2019;5.",Comparison of intrapleural use of urokinase and tissue plasminogen activator/DNAse in pleural infection,ERJ Open Res,2019,5,,,,,Bédat B; Plojoux J; Noel J
30,"Beckert L, Brockway B, Simpson G. Phase 1 trial of intrapleural LTI-01; single chain urokinase in complicated parapneumonic effusions or empyema. JCI Insight. 2019;5:5.",Phase 1 trial of intrapleural LTI-01; single chain urokinase in complicated parapneumonic effusions or empyema,JCI Insight,2019,5,,5,,,Beckert L; Brockway B; Simpson G
31,"Light RW, Nguyen T, Mulligan ME, Sasse SA. The in vitro efficacy of varidase versus streptokinase or urokinase for liquefying thick purulent exudative material from loculated empyema. Lung. 2000;178.",The in vitro efficacy of varidase versus streptokinase or urokinase for liquefying thick purulent exudative material from loculated empyema,Lung,2000,178,,,,,Light RW; Nguyen T; Mulligan ME; Sasse SA
