#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Madan K, Mohan A, Ayub II. Initial experience with endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) from a tuberculosis endemic population. J Bronchology Interv Pulmonol. 2014;21.",Initial experience with endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) from a tuberculosis endemic population,J Bronchology Interv Pulmonol,2014,21,,,,,Madan K; Mohan A; Ayub II
2,"Fujiwara T, Yasufuku K, Nakajima T. The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system. Chest. 2010;138.",The utility of sonographic features during endobronchial ultrasound-guided transbronchial needle aspiration for lymph node staging in patients with lung cancer: a standard endobronchial ultrasound image classification system,Chest,2010,138,,,,,Fujiwara T; Yasufuku K; Nakajima T
3,"Nakajima T, Anayama T, Shingyoji M. Vascular image patterns of lymph nodes for the prediction of metastatic disease during EBUS-TBNA for mediastinal staging of lung cancer. J Thorac Oncol. 2012;7.",Vascular image patterns of lymph nodes for the prediction of metastatic disease during EBUS-TBNA for mediastinal staging of lung cancer,J Thorac Oncol,2012,7,,,,,Nakajima T; Anayama T; Shingyoji M
4,"Ayub II, Mohan A, Madan K. Identification of specific EBUS sonographic characteristics for predicting benign mediastinal lymph nodes. Clin Respir J. 2018;12.",Identification of specific EBUS sonographic characteristics for predicting benign mediastinal lymph nodes,Clin Respir J,2018,12,,,,,Ayub II; Mohan A; Madan K
5,"Izumo T, Sasada S, Chavez C. Endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes. Jpn J Clin Oncol. 2014;44.",Endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes,Jpn J Clin Oncol,2014,44,,,,,Izumo T; Sasada S; Chavez C
6,"Kim HK, Choi YS, Kim K. Outcomes of mediastinoscopy and surgery with or without neoadjuvant therapy in patients with non-small cell lung cancer who are N2 negative on positron emission tomography and computed tomography. J Thorac Oncol. 2011;6.",Outcomes of mediastinoscopy and surgery with or without neoadjuvant therapy in patients with non-small cell lung cancer who are N2 negative on positron emission tomography and computed tomography,J Thorac Oncol,2011,6,,,,,Kim HK; Choi YS; Kim K
7,"Gu Y, Shi H, Su C. The role of endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes. Oncotarget. 2017;8.",The role of endobronchial ultrasound elastography in the diagnosis of mediastinal and hilar lymph nodes,Oncotarget,2017,8,,,,,Gu Y; Shi H; Su C
8,"Nakajima T, Inage T, Sata Y. Elastography for predicting and localizing nodal metastases during endobronchial ultrasound. Respiration. 2015;90.",Elastography for predicting and localizing nodal metastases during endobronchial ultrasound,Respiration,2015,90,,,,,Nakajima T; Inage T; Sata Y
9,"Trosini-Desert V, Jeny F, Taillade L. Bronchial endoscopic ultrasound elastography: preliminary feasibility data. Eur Respir J. 2013;41.",Bronchial endoscopic ultrasound elastography: preliminary feasibility data,Eur Respir J,2013,41,,,,,Trosini-Desert V; Jeny F; Taillade L
10,"Garra BS, Cespedes EI, Ophir J. Elastography of breast lesions: initial clinical results. Radiology. 1997;202.",Elastography of breast lesions: initial clinical results,Radiology,1997,202,,,,,Garra BS; Cespedes EI; Ophir J
11,"Ophir J, Cespedes I, Ponnekanti H. Elastography: a quantitative method for imaging the elasticity of biological tissues. Ultrason Imaging. 1991;13.",Elastography: a quantitative method for imaging the elasticity of biological tissues,Ultrason Imaging,1991,13,,,,,Ophir J; Cespedes I; Ponnekanti H
12,"Xu W, Shi J, Zeng X. EUS elastography for the differentiation of benign and malignant lymph nodes: a meta-analysis. Gastrointest Endosc. 2011;74.",EUS elastography for the differentiation of benign and malignant lymph nodes: a meta-analysis,Gastrointest Endosc,2011,74,,,,,Xu W; Shi J; Zeng X
13,"He HY, Huang M, Zhu J. Endobronchial ultrasound elastography for diagnosing mediastinal and hilar lymph nodes. Chin Med J (Engl). 2015;128.",Endobronchial ultrasound elastography for diagnosing mediastinal and hilar lymph nodes,Chin Med J (Engl),2015,128,,,,,He HY; Huang M; Zhu J
14,"Ma H, An Z, Xia P. Semi-quantitative analysis of EBUS elastography as a feasible approach in diagnosing mediastinal and hilar lymph nodes of lung cancer patients. Sci Rep. 2018;8:3571.",Semi-quantitative analysis of EBUS elastography as a feasible approach in diagnosing mediastinal and hilar lymph nodes of lung cancer patients,Sci Rep,2018,8,,3571,,,Ma H; An Z; Xia P
15,"Verhoeven R, Korte D, CL, Der Heijden V, E. Optimal endobronchial ultrasound strain elastography assessment strategy: an explorative study. Respiration. 2019;97.",Optimal endobronchial ultrasound strain elastography assessment strategy: an explorative study,Respiration,2019,97,,,,,Verhoeven R; Korte D; CL; Der Heijden V; E
16,"Chen YF, Mao XW, Zhang YJ. Endobronchial ultrasound elastography differentiates intrathoracic lymph nodes: a meta-analysis. Ann Thorac Surg. 2018;106.",Endobronchial ultrasound elastography differentiates intrathoracic lymph nodes: a meta-analysis,Ann Thorac Surg,2018,106,,,,,Chen YF; Mao XW; Zhang YJ
17,"Moher D, Liberati A, Tetzlaff J. Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement. BMJ. 2009;339:2535.",Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,BMJ,2009,339,,2535,,,Moher D; Liberati A; Tetzlaff J
18,"Higgins JP, Thompson SG. Quantifying heterogeneity in a meta-analysis. Stat Med. 2002;21.",Quantifying heterogeneity in a meta-analysis,Stat Med,2002,21,,,,,Higgins JP; Thompson SG
