#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu I. Recent trends in the identification of incidental pulmonary nodules. Am J Respir Crit Care Med. 2015;192.",Recent trends in the identification of incidental pulmonary nodules,Am J Respir Crit Care Med,2015,192,,,,,Gould MK; Tang T; Liu I
2,"National T, Screening L, Research T, T. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,National T; Screening L; Research T; T
3,"De Koning HJ, Van Der Aalst CM, Jong PA. Reduced lung-cancer mortality with volume CT screening in a randomized trial. N Engl J Med. 2020;382.",Reduced lung-cancer mortality with volume CT screening in a randomized trial,N Engl J Med,2020,382,,,,,De Koning HJ; Van Der Aalst CM; Jong PA
4,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(Suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,Suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
5,"Kothary N, Lock L, Sze DY, Hofmann LV. Computed tomography-guided percutaneous needle biopsy of pulmonary nodules: impact of nodule size on diagnostic accuracy. Clin Lung Cancer. 2009;10.",Computed tomography-guided percutaneous needle biopsy of pulmonary nodules: impact of nodule size on diagnostic accuracy,Clin Lung Cancer,2009,10,,,,,Kothary N; Lock L; Sze DY; Hofmann LV
6,"Ng YL, Patsios D, Roberts H. CTguided percutaneous fine-needle aspiration biopsy of pulmonary nodules mea-suring 10 mm or less. Clin Radiol. 2008;63.",CTguided percutaneous fine-needle aspiration biopsy of pulmonary nodules mea-suring 10 mm or less,Clin Radiol,2008,63,,,,,Ng YL; Patsios D; Roberts H
7,"Vachani A, Zhou M, Ghosh S. Complications after transthoracic needle biopsy of pulmonary nodules: a populationlevel retrospective cohort analysis. J Am Coll Radiol. 2022;19.",Complications after transthoracic needle biopsy of pulmonary nodules: a populationlevel retrospective cohort analysis,J Am Coll Radiol,2022,19,,,,,Vachani A; Zhou M; Ghosh S
8,"Wiener RS, Schwartz LM, Woloshin S, Welch HG. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann Intern Med. 2011;155.",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann Intern Med,2011,155,,,,,Wiener RS; Schwartz LM; Woloshin S; Welch HG
9,"Folch EE, Pritchett MA, Nead MA. Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study. J Thorac Oncol. 2019;14.","Electromagnetic navigation bronchoscopy for peripheral pulmonary lesions: one-year results of the prospective, multicenter NAVIGATE study",J Thorac Oncol,2019,14,,,,,Folch EE; Pritchett MA; Nead MA
10,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE Registry. Am J Respir Crit Care Med. 2016;193.",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE Registry,Am J Respir Crit Care Med,2016,193,,,,,Ost DE; Ernst A; Lei X
