#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Geddes D, Davies M, Koyama H et al.. Effect of lung-volume-reduction surgery in patients with severe emphysema. N Engl J Med. 2000;343.",Effect of lung-volume-reduction surgery in patients with severe emphysema,N Engl J Med,2000,343,,,,,Geddes D; Davies M; Koyama H; Hansell D; Pastorino U; Pepper J; Agent P; Cullinan P; Macneill SJ; Goldstraw P
2,"Fishman A, Martinez F, Naunheim K. National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema. N Engl J Med. 2003;348.",National Emphysema Treatment Trial Research Group: A randomized trial comparing lung-volume-reduction surgery with medical therapy for severe emphysema,N Engl J Med,2003,348,,,,,Fishman A; Martinez F; Naunheim K
3,"Berger RL, Decamp MM, Criner GJ, Celli BR. Lung volume reduction therapies for advanced emphysema: an update. Chest. 2010;138.",Lung volume reduction therapies for advanced emphysema: an update,Chest,2010,138,,,,,Berger RL; Decamp MM; Criner GJ; Celli BR
4,"Naunheim KS, Wood DE, Krasna MJ et al.. National Emphysema Treatment Trial Research Group: Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial. J Thorac Cardiovasc Surg. 2006;131.",National Emphysema Treatment Trial Research Group: Predictors of operative mortality and cardiopulmonary morbidity in the National Emphysema Treatment Trial,J Thorac Cardiovasc Surg,2006,131,,,,,Naunheim KS; Wood DE; Krasna MJ; Jr D; Ginsburg ME; Mckenna RJ; Jr; Criner GJ; Hoffman EA; Sternberg AL; Deschamps C
5,"Sciurba FC, Ernst A, Herth FJ et al.. VENT Study Research Group: A randomized study of en-dobronchial valves for advanced emphysema. N Engl J Med. 2010;363.",VENT Study Research Group: A randomized study of en-dobronchial valves for advanced emphysema,N Engl J Med,2010,363,,,,,Sciurba FC; Ernst A; Herth FJ; Strange C; Criner GJ; Marquette CH; Kovitz KL; Chiacchierini RP; Goldin J; Mclennan G
6,"Herth FJ, Noppen M, Valipour A et al.. International VENT Study Group: Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",International VENT Study Group: Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth FJ; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH; Egan JJ; Gasparini S; Agusti C; Holmes-Higgin D; EA
7,"Herth F, Gompelmann D, Ernst A, Eberhardt R. Endoscopic lung volume reduction. Respiration. 2009;79.",Endoscopic lung volume reduction,Respiration,2009,79,,,,,Herth F; Gompelmann D; Ernst A; Eberhardt R
8,"Brown MS, Kim HJ, Abtin FG et al.. Emphysema lung lobe volume reduction: effects on the ipsilateral and contralateral lobes. Eur Radiol. 2012;22.",Emphysema lung lobe volume reduction: effects on the ipsilateral and contralateral lobes,Eur Radiol,2012,22,,,,,Brown MS; Kim HJ; Abtin FG; Strange C; Galperin-Aizenberg M; Pais R; Costa D; Ordookhani IG; Chong A; Ni D; Mcnitt-Gray C; Tashkin MF; Goldin DP; JG
9,"Shen KR, Cerfolio RJ. Decision making in the management of secondary spontaneous pneumothorax in patients with severe emphysema. Thorac Surg Clin. 2009;19.",Decision making in the management of secondary spontaneous pneumothorax in patients with severe emphysema,Thorac Surg Clin,2009,19,,,,,Shen KR; Cerfolio RJ
10,"Woodring JH, Baker MD, Stark P. Pneumothorax ex vacuo. Chest. 1996;110.",Pneumothorax ex vacuo,Chest,1996,110,,,,,Woodring JH; Baker MD; Stark P
11,"Laspas F, Roussakis A, Efthimiadou R, Papaioannou D, Papadopoulos S, Andreou J. Per-cutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients. J Med Imaging Radiat Oncol. 2008;52.",Per-cutaneous CT-guided fine-needle aspiration of pulmonary lesions: results and complications in 409 patients,J Med Imaging Radiat Oncol,2008,52,,,,,Laspas F; Roussakis A; Efthimiadou R; Papaioannou D; Papadopoulos S; Andreou J
12,"Hiraki T, Mimura H, Gobara H, Shibamoto K, Inoue D, Matsui Y. Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9-year period. AJR Am J Roentgenol. 2010;194.",Incidence of and risk factors for pneumothorax and chest tube placement after CT fluoroscopy-guided percutaneous lung biopsy: retrospective analysis of the procedures conducted over a 9-year period,AJR Am J Roentgenol,2010,194,,,,,Hiraki T; Mimura H; Gobara H; Shibamoto K; Inoue D; Matsui Y
13,"Wiener RS, Schwartz LM, Woloshin S, Welch HG. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann Intern Med. 2011;155.",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann Intern Med,2011,155,,,,,Wiener RS; Schwartz LM; Woloshin S; Welch HG
14,"Decamp MM, Blackstone EH, Naunheim KS et al.. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82.",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,,,,,Decamp MM; Blackstone EH; Naunheim KS; Krasna MJ; Wood DE; Meli YM; Mckenna RJ
