#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Beddy P, Ryan JM. Antibiotic prophylaxis in interventional radiologyanything new?. Tech Vasc Interv Radiol. 2006;9.",Antibiotic prophylaxis in interventional radiologyanything new?,Tech Vasc Interv Radiol,2006,9,,,,,Beddy P; Ryan JM
2,"Ryan JM, Ryan BM, Smith TP. Antibiotic prophylaxis in interventional radiology. J Vasc Interv Radiol. 2004;15.",Antibiotic prophylaxis in interventional radiology,J Vasc Interv Radiol,2004,15,,,,,Ryan JM; Ryan BM; Smith TP
3,"Venkatesan AM, Kundu S, Sacks D. Practice guidelines for adult antibiotic prophylaxis during vascular and interventional radiology procedures. Written by the Standards of Practice Committee for the Society of Interventional Radiology and Endorsed by the Cardiovascular Interventional Radiological Society of Europe and Canadian Interventional Radiology Association [corrected]. J Vasc Interv Radiol. 2010;21.",Practice guidelines for adult antibiotic prophylaxis during vascular and interventional radiology procedures. Written by the Standards of Practice Committee for the Society of Interventional Radiology and Endorsed by the Cardiovascular Interventional Radiological Society of Europe and Canadian Interventional Radiology Association [corrected],J Vasc Interv Radiol,2010,21,,,,,Venkatesan AM; Kundu S; Sacks D
4,"Cantwell CP, Perumpillichira JJ, Maher MM. Antibiotic prophylaxis for percutaneous radiologic gastrostomy and gastrojejunostomy insertion in outpatients with head and neck cancer. J Vasc Interv Radiol. 2008;19.",Antibiotic prophylaxis for percutaneous radiologic gastrostomy and gastrojejunostomy insertion in outpatients with head and neck cancer,J Vasc Interv Radiol,2008,19,,,,,Cantwell CP; Perumpillichira JJ; Maher MM
5,"Wollman B, Agostino D, HB. Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance. AJR Am J Roentgenol. 1997;169.",Percutaneous radiologic and endoscopic gastrostomy: a 3-year institutional analysis of procedure performance,AJR Am J Roentgenol,1997,169,,,,,Wollman B; Agostino D; HB
6,"Ryan JM, Hahn PF, Boland GW, Mcdowell RK, Saini S, Mueller PR. Percutaneous gastrostomy with T-fastener gastropexy: results of 316 consecutive procedures. Radiology. 1997;203.",Percutaneous gastrostomy with T-fastener gastropexy: results of 316 consecutive procedures,Radiology,1997,203,,,,,Ryan JM; Hahn PF; Boland GW; Mcdowell RK; Saini S; Mueller PR
7,"Ahmad I, Mouncher A, Abdoolah A. Antibiotic prophylaxis for percutaneous endoscopic gastrostomy-a prospective, randomised, double-blind trial. Aliment Pharmacol Ther. 2003;18.","Antibiotic prophylaxis for percutaneous endoscopic gastrostomy-a prospective, randomised, double-blind trial",Aliment Pharmacol Ther,2003,18,,,,,Ahmad I; Mouncher A; Abdoolah A
8,"Lipp A, Lusardi G. Systemic antimicrobial prophylaxis for percutaneous endoscopic gastrostomy. Cochrane Database Syst Rev. 2013;11:5571.",Systemic antimicrobial prophylaxis for percutaneous endoscopic gastrostomy,Cochrane Database Syst Rev,2013,,11,5571,,,Lipp A; Lusardi G
9,"Shastri YM, Hoepffner N, Tessmer A, Ackermann H, Schroeder O, Stein J. New introducer PEG gastropexy does not require prophylactic antibiotics: multicenter prospective randomized double-blind placebocontrolled study. Gastrointest Endosc. 2008;67.",New introducer PEG gastropexy does not require prophylactic antibiotics: multicenter prospective randomized double-blind placebocontrolled study,Gastrointest Endosc,2008,67,,,,,Shastri YM; Hoepffner N; Tessmer A; Ackermann H; Schroeder O; Stein J
10,"Jain NK, Larson DE, Schroeder KW. Antibiotic prophylaxis for percutaneous endoscopic gastrostomy. A prospective, randomized, double-blind clinical trial. Ann Intern Med. 1987;107.","Antibiotic prophylaxis for percutaneous endoscopic gastrostomy. A prospective, randomized, double-blind clinical trial",Ann Intern Med,1987,107,,,,,Jain NK; Larson DE; Schroeder KW
11,"Crowley JJ, Hogan MJ, Towbin RB. Quality improvement guidelines for pediatric gastrostomy and gastrojejunostomy tube placement. J Vasc Interv Radiol. 2014;25.",Quality improvement guidelines for pediatric gastrostomy and gastrojejunostomy tube placement,J Vasc Interv Radiol,2014,25,,,,,Crowley JJ; Hogan MJ; Towbin RB
12,"Lewis EC, Connolly B, Temple M. Growth outcomes and complications after radiologic gastrostomy in 120 children. Pediatr Radiol. 2008;38.",Growth outcomes and complications after radiologic gastrostomy in 120 children,Pediatr Radiol,2008,38,,,,,Lewis EC; Connolly B; Temple M
13,"Safadi BY, Marks JM, Ponsky JL. Percutaneous endoscopic gastrostomy. Gastrointest Endosc Clin N Am. 1998;8.",Percutaneous endoscopic gastrostomy,Gastrointest Endosc Clin N Am,1998,8,,,,,Safadi BY; Marks JM; Ponsky JL
14,"Schrag SP, Sharma R, Jaik NP. Complications related to percutaneous endoscopic gastrostomy (PEG) tubes. A comprehensive clinical review. J Gastrointest Liver Dis. 2007;16.",Complications related to percutaneous endoscopic gastrostomy (PEG) tubes. A comprehensive clinical review,J Gastrointest Liver Dis,2007,16,,,,,Schrag SP; Sharma R; Jaik NP
15,"Hirji KF, Tan SJ, Elashoff RM. A quasi-exact test for comparing two binomial proportions. Stat Med. 1991;10.",A quasi-exact test for comparing two binomial proportions,Stat Med,1991,10,,,,,Hirji KF; Tan SJ; Elashoff RM
