#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Review A. {published data only}. {published data only}. 2012;None.,{published data only},{published data only},2012,,,,,,Review A
2,"Allen J, Hall M, Wallery S, Ajroud-Driss S, Armstrong J, Mcmanus C. Gastrostomy tube placement by endoscopy versus radiologic methods in patients with ALS: A retrospective review of complications and outcome. Proceedings of the 64th American Academy of Neurology Annual Meeting. 2012;78.",Gastrostomy tube placement by endoscopy versus radiologic methods in patients with ALS: A retrospective review of complications and outcome,Proceedings of the 64th American Academy of Neurology Annual Meeting,2012,78,,,,,Allen J; Hall M; Wallery S; Ajroud-Driss S; Armstrong J; Mcmanus C
3,"Allen JA, Chen R, Ajroud-Driss S, Sufit RL, Heller S, Siddique T. Gastrostomy tube placement by endoscopy versus radiologic methods in patients with ALS: a retrospective study of complications and outcome. Amyotrophic Lateral Sclerosis & Frontotemporal Degeneration. 2013;14(4). doi:10.3109/21678421.2012.751613.",Gastrostomy tube placement by endoscopy versus radiologic methods in patients with ALS: a retrospective study of complications and outcome,Amyotrophic Lateral Sclerosis & Frontotemporal Degeneration,2013,14,4,,10.3109/21678421.2012.751613,,Allen JA; Chen R; Ajroud-Driss S; Sufit RL; Heller S; Siddique T
4,"Barber ;, Barber AJ, Lowe D et al.. Percutaneous radiologic, surgical endoscopic, and percutaneous endoscopic gastrostomy/gastrojejunostomy: comparative study and cost analysis. Cardiovascular and Interventional Radiology. 1998;38(1).","Percutaneous radiologic, surgical endoscopic, and percutaneous endoscopic gastrostomy/gastrojejunostomy: comparative study and cost analysis",Cardiovascular and Interventional Radiology,1998,38,1,,,,Barber ;; Barber AJ; Lowe D; Lal S; Rogers S; Sherman S; Harris VJ; Snidow JJ
5,Blondet. {published data only}. {published data only}. 2010;None.,{published data only},{published data only},2010,,,,,,Blondet
6,"Blondet A, Lebigot J, Nicolas G, Boursier J, Person B, Laccoureye L. Radiologic versus endoscopic placement of percutaneous gastrostomy in amyotrophic lateral sclerosis: multivariate analysis of tolerance, efficacy, and survival. Journal of Vascular and Interventional Radiology. 2010;21(4).","Radiologic versus endoscopic placement of percutaneous gastrostomy in amyotrophic lateral sclerosis: multivariate analysis of tolerance, efficacy, and survival",Journal of Vascular and Interventional Radiology,2010,21,4,,,,Blondet A; Lebigot J; Nicolas G; Boursier J; Person B; Laccoureye L
7, Bouteloup 2006 {published data only} Bouteloup C. What are the means of alimentary function supply and their indications in amyotrophic lateral sclerosis?. Revue Neurologique. 2006;162(Spec No 2).,Bouteloup 2006 {published data only} Bouteloup C. What are the means of alimentary function supply and their indications in amyotrophic lateral sclerosis?,Revue Neurologique,2006,162,Spec No 2,,,,
8,Brady. {published data only}. {published data only}. 2009;None.,{published data only},{published data only},2009,,,,,,Brady
9,"Brady SL, Pape TL, Darragh M, Escobar NG, Rao N. Feasibility of instrumental swallowing assessments in patients with prolonged disordered consciousness while undergoing inpatient rehabilitation. Journal of Head Trauma Rehabilitation. 2009;24(5).",Feasibility of instrumental swallowing assessments in patients with prolonged disordered consciousness while undergoing inpatient rehabilitation,Journal of Head Trauma Rehabilitation,2009,24,5,,,,Brady SL; Pape TL; Darragh M; Escobar NG; Rao N
10,"Burkitt, Burkitt P, Carter LM, Smith AB, Kanatas A. Outcomes of percutaneous endoscopic gastrostomy and radiologically inserted gastrostomy in patients with head and neck cancer: A systematic review. British Journal of Oral and Maxillofacial Surgery. 2011;49(7).",Outcomes of percutaneous endoscopic gastrostomy and radiologically inserted gastrostomy in patients with head and neck cancer: A systematic review,British Journal of Oral and Maxillofacial Surgery,2011,49,7,,,,Burkitt; Burkitt P; Carter LM; Smith AB; Kanatas A
11,Campbell-Taylor. {published data only} Campbell-Taylor I. Oropharyngeal dysphagia in long-term care: misperceptions of treatment efficacy. Journal of the American Medical Directors Association. 2008;9(7).,{published data only} Campbell-Taylor I. Oropharyngeal dysphagia in long-term care: misperceptions of treatment efficacy,Journal of the American Medical Directors Association,2008,9,7,,,,Campbell-Taylor
