#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Baethge C, Goldbeck-Wood S, Mertens S. SANRA-a scale for the quality assessment of narrative review articles. Res Integr Peer Rev. 2019;4:5.",SANRA-a scale for the quality assessment of narrative review articles,Res Integr Peer Rev,2019,4,,5,,,Baethge C; Goldbeck-Wood S; Mertens S
2,"Mierzejewski M, Korczynski P, Krenke R. Chemical pleurodesisa review of mechanisms involved in pleural space obliteration. Respir Res. 2019;20:247.",Chemical pleurodesisa review of mechanisms involved in pleural space obliteration,Respir Res,2019,20,,247,,,Mierzejewski M; Korczynski P; Krenke R
3,"Henri C, G, Mohsen D. The ideal pleurodesis agent: still searching after all these years. Lancet Oncology. 2008;9.",The ideal pleurodesis agent: still searching after all these years,Lancet Oncology,2008,9,,,,,Henri C; G; Mohsen D
4,"Hughes SM, Carmichael JJ. Malignant pleural effusions: updates in diagnosis and management. Life. 2022;13:115.",Malignant pleural effusions: updates in diagnosis and management,Life,2022,13,,115,,,Hughes SM; Carmichael JJ
5,"Beltsios ET, Mavrovounis G, Adamou A. Talc pleurodesis in malignant pleural effusion: a systematic review and meta-analysis. Gen Thorac Cardiovasc Surg. 2021;69.",Talc pleurodesis in malignant pleural effusion: a systematic review and meta-analysis,Gen Thorac Cardiovasc Surg,2021,69,,,,,Beltsios ET; Mavrovounis G; Adamou A
6,"Hassan M, Mercer RM, Maskell NA. Survival in patients with malignant pleural effusion undergoing talc pleurodesis. Lung Cancer. 2019;137.",Survival in patients with malignant pleural effusion undergoing talc pleurodesis,Lung Cancer,2019,137,,,,,Hassan M; Mercer RM; Maskell NA
7,"Shaw P, Agarwal R. Pleurodesis for malignant pleural effusions. Cochrane Database Syst Rev. 2004;1:2916.",Pleurodesis for malignant pleural effusions,Cochrane Database Syst Rev,2004,1,,2916,,,Shaw P; Agarwal R
8,"Stefani A, Natali P, Casali C. Talc poudrage versus talc slurry in the treatment of malignant pleural effusion. A prospective comparative study. Eur J Cardiothorac Surg. 2006;30.",Talc poudrage versus talc slurry in the treatment of malignant pleural effusion. A prospective comparative study,Eur J Cardiothorac Surg,2006,30,,,,,Stefani A; Natali P; Casali C
9,"Xia H, Wang XJ, Zhou Q. Efficacy and safety of talc pleurodesis for malignant pleural effusion: a meta-analysis. PLoS One. 2014;9:87060.",Efficacy and safety of talc pleurodesis for malignant pleural effusion: a meta-analysis,PLoS One,2014,9,,87060,,,Xia H; Wang XJ; Zhou Q
10,"Dipper A, Jones HE, Bhatnagar R. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2020;4:10529.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2020,4,,10529,,,Dipper A; Jones HE; Bhatnagar R
