#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ginsberg RJ, Rubinstein LV. Randomized Trial of Lobectomy Versus Limited Resection for T1 N0 Non-Small Cell Lung Cancer. Ann. Thorac. Surg. 1995;60.",Randomized Trial of Lobectomy Versus Limited Resection for T1 N0 Non-Small Cell Lung Cancer,Ann. Thorac. Surg,1995,60,,,,,Ginsberg RJ; Rubinstein LV
2,"Aberle DR, Adams AM, Berg CD, Black WC, Clapp JD, Fagerstrom RM. The National Lung Screening Trial Research Team. Reduced Lung-Cancer Mortality with Low-Dose Computed Tomographic Screening. N. Engl. J. Med. 2011;365. doi:10.1056/NEJMoa1102873.",The National Lung Screening Trial Research Team. Reduced Lung-Cancer Mortality with Low-Dose Computed Tomographic Screening,N. Engl. J. Med,2011,365,,,10.1056/NEJMoa1102873,,Aberle DR; Adams AM; Berg CD; Black WC; Clapp JD; Fagerstrom RM
3,"De Koning HJ, Van Der Aalst CM, De Jong PA et al.. Reduced Lung-Cancer Mortality with Volume CT Screening in a Randomized Trial. N. Engl. J. Med. 2020;382.",Reduced Lung-Cancer Mortality with Volume CT Screening in a Randomized Trial,N. Engl. J. Med,2020,382,,,,,De Koning HJ; Van Der Aalst CM; De Jong PA; Scholten ET; Nackaerts K; Heuvelmans MA; Lammers JW; Weenink C; Yousaf-Khan U; Horeweg N
4,"Leventakos K, Peikert T, Midthun DE et al.. Management of Multifocal Lung Cancer: Results of a Survey. J. Thorac. Oncol. 2017;12.",Management of Multifocal Lung Cancer: Results of a Survey,J. Thorac. Oncol,2017,12,,,,,Leventakos K; Peikert T; Midthun DE; Molina JR; Blackmon S; Nichols FC; Garces YI; Hallemeier CL; Murphy SJ; Vasmatzis G
5,"Warth A, Macher-Goeppinger S, Muley T et al.. Clonality of Multifocal Nonsmall Cell Lung Cancer: Implications for Staging and Therapy. Eur. Respir. J. 2012;39.",Clonality of Multifocal Nonsmall Cell Lung Cancer: Implications for Staging and Therapy,Eur. Respir. J,2012,39,,,,,Warth A; Macher-Goeppinger S; Muley T; Thomas M; Hoffmann H; Schnabel PA; Penzel R; Schirmacher P; Aulmann S
6,"Chan JW, Lau R, Chang A, Chu CM, Mok TS, Ng CS. P Transbronchial Microwave Ablation: Important Role in the Battle of Lung Preservation for Multifocal Lung Primaries or Metastases. Ann. Oncol. 2022;33. doi:10.1016/j.annonc.2022.02.106.",P Transbronchial Microwave Ablation: Important Role in the Battle of Lung Preservation for Multifocal Lung Primaries or Metastases,Ann. Oncol,2022,33,,,10.1016/j.annonc.2022.02.106,,Chan JW; Lau R; Chang A; Chu CM; Mok TS; Ng CS
7,"Jung W, Cho S, Yum S et al.. Stepwise Disease Progression Model of Subsolid Lung Adenocarcinoma with Cystic Airspaces. Ann. Surg. Oncol. 2020;27. doi:10.1245/s10434-020-08508-4.",Stepwise Disease Progression Model of Subsolid Lung Adenocarcinoma with Cystic Airspaces,Ann. Surg. Oncol,2020,27,,,10.1245/s10434-020-08508-4,,Jung W; Cho S; Yum S; Chung JH; Lee KW; Kim K; Lee CT; Jheon S
8,"Yatabe Y, Borczuk AC, Powell CA. Do All Lung Adenocarcinomas Follow a Stepwise Progression?. Lung Cancer. 2011;74. doi:10.1016/j.lungcan.2011.05.021.",Do All Lung Adenocarcinomas Follow a Stepwise Progression?,Lung Cancer,2011,74,,,10.1016/j.lungcan.2011.05.021,,Yatabe Y; Borczuk AC; Powell CA
9,Inamura K. Clinicopathological Characteristics and Mutations Driving Development of Early Lung Adenocarcinoma: Tumor Initiation and Progression. Int. J. Mol. Sci. 2018;None:19.,Clinicopathological Characteristics and Mutations Driving Development of Early Lung Adenocarcinoma: Tumor Initiation and Progression,Int. J. Mol. Sci,2018,,,19,,,Inamura K
10,"Suzuki K, Kusumoto M, Watanabe SI, Tsuchiya R, Asamura H. Radiologic Classification of Small Adenocarcinoma of the Lung: Radiologic-Pathologic Correlation and Its Prognostic Impact. Ann. Thorac. Surg. 2006;81. doi:10.1016/j.athoracsur.2005.07.058.",Radiologic Classification of Small Adenocarcinoma of the Lung: Radiologic-Pathologic Correlation and Its Prognostic Impact,Ann. Thorac. Surg,2006,81,,,10.1016/j.athoracsur.2005.07.058,,Suzuki K; Kusumoto M; Watanabe SI; Tsuchiya R; Asamura H
