#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Batchelder TL, Morris KA. Critical factors in determining adequate pleural drainage in both the operated and non-operated chest. Am. Surg. 1962;2.",Critical factors in determining adequate pleural drainage in both the operated and non-operated chest,Am. Surg,1962,2,,,,,Batchelder TL; Morris KA
2,"Enerson DM, Mcintyre RN. A comparative study of the physiology and physics of pleural drainage systems. J. Thorac. Cardiovasc. Surg. 1966;5. doi:10.1016/S0022-5223(19)43453-3.",A comparative study of the physiology and physics of pleural drainage systems,J. Thorac. Cardiovasc. Surg,1966,5,,,10.1016/S0022-5223(19)43453-3,,Enerson DM; Mcintyre RN
3,"Rusch VW, Capps JS, Tyler ML, Pierson DL. The Performance of Four Pleural Drainage Systems in an Animal Model of Bronchopleural Fistula. Chest. 1988;93. doi:10.1378/chest.93.4.859.",The Performance of Four Pleural Drainage Systems in an Animal Model of Bronchopleural Fistula,Chest,1988,93,,,10.1378/chest.93.4.859,,Rusch VW; Capps JS; Tyler ML; Pierson DL
4,"Baumann MH, Patel PB, Roney CW, Petrini MF. Comparison of Function of Commercially Available Pleural Drainage Units and Catheters. Chest. 2003;123. doi:10.1378/chest.123.6.1878.",Comparison of Function of Commercially Available Pleural Drainage Units and Catheters,Chest,2003,123,,,10.1378/chest.123.6.1878,,Baumann MH; Patel PB; Roney CW; Petrini MF
5,"Munnell ER, Thoracic Drainage. Ann. Thorac. Surg. Ann. Thorac. Surg. 1997;63. doi:10.1016/S0003-4975(97)00082-9.",Ann. Thorac. Surg,Ann. Thorac. Surg,1997,63,,,10.1016/S0003-4975(97)00082-9,,Munnell ER; Thoracic Drainage
6, Medical Devices: Managing the Mismatch. An Outcome of the Priority Medical Devices Project. Medical Devices: Managing the Mismatch. An Outcome of the Priority Medical Devices Project. 2010;None.,Medical Devices: Managing the Mismatch. An Outcome of the Priority Medical Devices Project,Medical Devices: Managing the Mismatch. An Outcome of the Priority Medical Devices Project,2010,,,,,,
7, Medical Suction Equipment-Part 1: Electrically Powered Suction Equipment. Medical Suction Equipment-Part 1: Electrically Powered Suction Equipment. 2022;None.,Medical Suction Equipment-Part 1: Electrically Powered Suction Equipment,Medical Suction Equipment-Part 1: Electrically Powered Suction Equipment,2022,,,,,,
8,"Zisis C, Tsirgogianni K, Lazaridis G et al.. Chest Drainage Systems in Use. Ann. Trasl Med. 2015;3:43.",Chest Drainage Systems in Use,Ann. Trasl Med,2015,3,,43,,,Zisis C; Tsirgogianni K; Lazaridis G; Lampaki S; Baka S; Mpoukovinas I; Karavasilis V; Kioumis I; Pitsiou G; Katsikogiannis N
9,Fda. Make Sure the Medical Device You Choose Is Designed for You. Make Sure the Medical Device You Choose Is Designed for You. 2017;None.,Make Sure the Medical Device You Choose Is Designed for You,Make Sure the Medical Device You Choose Is Designed for You,2017,,,,,,Fda
10,Dernevik L. Extreme Negative Intrathoracis Pressure. Eur. J. Cardiothorac. Surg. 1999;15.,Extreme Negative Intrathoracis Pressure,Eur. J. Cardiothorac. Surg,1999,15,,,,,Dernevik L
11,"Barnas GM, Gilbert TB, Krasna MJ, Mcginley MJ, Fiocco M, Orens JB. Acute Effects of Bilateral Lung Volume Reduction Surgery on Lung and Chest Wall Mechanical Properties. Chest. 1998;114. doi:10.1378/chest.114.1.61.",Acute Effects of Bilateral Lung Volume Reduction Surgery on Lung and Chest Wall Mechanical Properties,Chest,1998,114,,,10.1378/chest.114.1.61,,Barnas GM; Gilbert TB; Krasna MJ; Mcginley MJ; Fiocco M; Orens JB
12,"Gattinoni L, Marini JJ, Collino F et al.. The future of mechanical ventilation: Lessons from the present and the past. Critical. Care. 2017;21:183. doi:10.1186/s13054-017-1750-x.",The future of mechanical ventilation: Lessons from the present and the past,Critical. Care,2017,21,,183,10.1186/s13054-017-1750-x,,Gattinoni L; Marini JJ; Collino F; Maiolo G; Rapetti F; Tonetti T; Vasques F; Quintel M
13,"Bar-El Y, Ross A, Kablawi A, Egenburg S. Potentially Dangerous Negative Intrapleural Pressures Generated by Ordinary Pleural Drainage Systems. Chest. 2001;119. doi:10.1378/chest.119.2.511.",Potentially Dangerous Negative Intrapleural Pressures Generated by Ordinary Pleural Drainage Systems,Chest,2001,119,,,10.1378/chest.119.2.511,,Bar-El Y; Ross A; Kablawi A; Egenburg S
14,"Duncan C, Erickson R. Pressures Associated with Chest Tube Stripping. Heart Lung. 1982;11.",Pressures Associated with Chest Tube Stripping,Heart Lung,1982,11,,,,,Duncan C; Erickson R
15,"Stouby A, Neckelmann K, Licht PB. Reverse airflow in certain chest drains may be misinterpreted as prolonged air leakage. World J. Surg. 2011;35. doi:10.1007/s00268-010-0943-0.",Reverse airflow in certain chest drains may be misinterpreted as prolonged air leakage,World J. Surg,2011,35,,,10.1007/s00268-010-0943-0,,Stouby A; Neckelmann K; Licht PB
16,"Eckardt J, Lijkendijk M, Licht PB, Stenger M. New chest drainage unit with integrated CO 2 -detector demonstrates false air leak. Surg. Innov. 2021;29. doi:10.1177/15533506211047446.",New chest drainage unit with integrated CO 2 -detector demonstrates false air leak,Surg. Innov,2021,29,,,10.1177/15533506211047446,,Eckardt J; Lijkendijk M; Licht PB; Stenger M
17,"Roe BB. Physiologic Principles of Drainage of the Pleural Space. With Special Reference to High Flow, High Vacuum Suction. Am. J. Surg. 1958;96. doi:10.1016/0002-9610(58)90909-7.","Physiologic Principles of Drainage of the Pleural Space. With Special Reference to High Flow, High Vacuum Suction",Am. J. Surg,1958,96,,,10.1016/0002-9610(58)90909-7,,Roe BB
18,"Kam AC, O'brien M, Kam PC. Pleural Drainage Systems. Anaesthesia. 1993;48. doi:10.1111/j.1365-2044.1993.tb06859.x.",Pleural Drainage Systems,Anaesthesia,1993,48,,,10.1111/j.1365-2044.1993.tb06859.x,,Kam AC; O'brien M; Kam PC
19,"Dernevik L, Belboul A, Rådberg G. Initial Experience with the World's First Digital Drainage System. The Benefits of Recording Air Leaks with Graphic Representation. Eur. J. Cardiothorac. Surg. 2007;31. doi:10.1016/j.ejcts.2006.10.038.",Initial Experience with the World's First Digital Drainage System. The Benefits of Recording Air Leaks with Graphic Representation,Eur. J. Cardiothorac. Surg,2007,31,,,10.1016/j.ejcts.2006.10.038,,Dernevik L; Belboul A; Rådberg G
20,Cerfolio R. Clinical Use of a Digital Air Leak System. Clinical Use of a Digital Air Leak System. 2008;None.,Clinical Use of a Digital Air Leak System,Clinical Use of a Digital Air Leak System,2008,,,,,,Cerfolio R
21,"Marasco RD, Giudice G, Lequaglie C. How to distinguish an active air leak from a pleural space effect. Asian Cardiovasc Thorac Ann. 2012;20. doi:10.1177/0218492312451918.",How to distinguish an active air leak from a pleural space effect,Asian Cardiovasc Thorac Ann,2012,20,,,10.1177/0218492312451918,,Marasco RD; Giudice G; Lequaglie C
22,"Miller KS, Sahn SA. Chest Tubes. Indications, Technique, Management and Complications. Chest. 1987;91. doi:10.1378/chest.91.2.258.","Chest Tubes. Indications, Technique, Management and Complications",Chest,1987,91,,,10.1378/chest.91.2.258,,Miller KS; Sahn SA
23,"Boggs D, Kinasewitz GT. Pathophysiology of the Pleural Space. Am. J. Med. Sci. 1995;309. doi:10.1097/00000441-199501000-00008.",Pathophysiology of the Pleural Space,Am. J. Med. Sci,1995,309,,,10.1097/00000441-199501000-00008,,Boggs D; Kinasewitz GT
24,Poledna M. A mercury manometer with a signal device for control of negative pressure in the pleural cavity after lung operations. Rozhl Chir. 1962;41.,A mercury manometer with a signal device for control of negative pressure in the pleural cavity after lung operations,Rozhl Chir,1962,41,,,,,Poledna M
25,"Capps JS, Tyler ML, Rusch VW, Pierson DJ. Potential of chest drainage units to evacuate bronchopleural air leaks. Chest. 1985;88:57S.",Potential of chest drainage units to evacuate bronchopleural air leaks,Chest,1985,88,,57S,,,Capps JS; Tyler ML; Rusch VW; Pierson DJ
