#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ayers ML, Beamis JF. Rigid bronchoscopy in the twenty-first century. Clin Chest Med. 2001;22.",Rigid bronchoscopy in the twenty-first century,Clin Chest Med,2001,22,,,,,Ayers ML; Beamis JF
2,"Yarmus L, Feller-Kopman D. Bronchoscopes of the twenty-first century. Clin Chest Med. 2010;31.",Bronchoscopes of the twenty-first century,Clin Chest Med,2010,31,,,,,Yarmus L; Feller-Kopman D
3,"Pue CA, Pacht ER. Complications of fiberoptic bronchoscopy at a university hospital. Chest. 1995;107.",Complications of fiberoptic bronchoscopy at a university hospital,Chest,1995,107,,,,,Pue CA; Pacht ER
4,"Fazlalizadeh H, Adimi P, Kiani A, Malekmohammad M, Jabardarjani HR, Soltaninejad F. Evaluation of bronchoscopy complications in a tertiary health care center. Tanaffos. 2014;13.",Evaluation of bronchoscopy complications in a tertiary health care center,Tanaffos,2014,13,,,,,Fazlalizadeh H; Adimi P; Kiani A; Malekmohammad M; Jabardarjani HR; Soltaninejad F
5,Burgher LW. Complications and results of transbronchoscopic lung biopsy. Nebr Med J. 1979;64.,Complications and results of transbronchoscopic lung biopsy,Nebr Med J,1979,64,,,,,Burgher LW
6,"Dreisin RB, Albert PK, Talley PA, Kryger MH, Scoggin CH, Zwillich CW. Flexible fiberoptic bronchoscopy in the teaching hospital. Yield and complications. Chest. 1978;74.",Flexible fiberoptic bronchoscopy in the teaching hospital. Yield and complications,Chest,1978,74,,,,,Dreisin RB; Albert PK; Talley PA; Kryger MH; Scoggin CH; Zwillich CW
7,"Pereira W Jr, Kovnat DM, Snider GL. A prospective cooperative study of complications following flexible fiberoptic bronchoscopy. Chest. 1978;73.",A prospective cooperative study of complications following flexible fiberoptic bronchoscopy,Chest,1978,73,,,,,Pereira W Jr; Kovnat DM; Snider GL
8,"Suratt PM, Smiddy JF, Gruber B. Deaths and complications associated with fiberoptic bronchoscopy. Chest. 1976;69.",Deaths and complications associated with fiberoptic bronchoscopy,Chest,1976,69,,,,,Suratt PM; Smiddy JF; Gruber B
9,"Credle WF, Smiddy JF, Elliott RC. Complications of fiberoptic bronchoscopy. Am Rev Respir Dis. 1974;109.",Complications of fiberoptic bronchoscopy,Am Rev Respir Dis,1974,109,,,,,Credle WF; Smiddy JF; Elliott RC
10,"Turner JS, Wilcox PA, Hayhurst MD, Potgieter PD. Fiberoptic bronchoscopy in the intensive care unit--a prospective study of 147 procedures in 107 patients. Crit Care Med. 1994;22.",Fiberoptic bronchoscopy in the intensive care unit--a prospective study of 147 procedures in 107 patients,Crit Care Med,1994,22,,,,,Turner JS; Wilcox PA; Hayhurst MD; Potgieter PD
11,"Lindholm CE, Ollman B, Snyder JV, Millen EG, Grenvik A. Cardiorespiratory effects of flexible fiberoptic bronchoscopy in critically ill patients. Chest. 1978;74.",Cardiorespiratory effects of flexible fiberoptic bronchoscopy in critically ill patients,Chest,1978,74,,,,,Lindholm CE; Ollman B; Snyder JV; Millen EG; Grenvik A
12,"Matsushima Y, Jones RL, King EG, Moysa G, Alton JD. Alterations in pulmonary mechanics and gas exchange during routine fiberoptic bronchoscopy. Chest. 1984;86.",Alterations in pulmonary mechanics and gas exchange during routine fiberoptic bronchoscopy,Chest,1984,86,,,,,Matsushima Y; Jones RL; King EG; Moysa G; Alton JD
