#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Oberg K. Diagnosis and treatment of carcinoid tumors. Expert Rev Anticancer Ther. 2003;3.,Diagnosis and treatment of carcinoid tumors,Expert Rev Anticancer Ther,2003,3,,,,,Oberg K
2,"Travis W, Rush W, Flieder D. Survival analysis of 200 pulmonary neuroendocrine tumors with clarification of criteria for atypical carcinoid and its separation from typical carcinoid. Am J Surg Pathol. 1998;22.",Survival analysis of 200 pulmonary neuroendocrine tumors with clarification of criteria for atypical carcinoid and its separation from typical carcinoid,Am J Surg Pathol,1998,22,,,,,Travis W; Rush W; Flieder D
3,"Bini A, Brandolini J, Cassanelli N. Typical and atypical pulmonary carcinoids: our institutional experience. Interact Cardiovasc Thorac Surg. 2008;7.",Typical and atypical pulmonary carcinoids: our institutional experience,Interact Cardiovasc Thorac Surg,2008,7,,,,,Bini A; Brandolini J; Cassanelli N
4,"Hansen G, Haanaes OC. Radical treatment of bronchial carcinoids with Nd YAG laser. Tidsskr Nor Laegeforen. 2000;59:83.",Radical treatment of bronchial carcinoids with Nd YAG laser,Tidsskr Nor Laegeforen,2000,59,,83,,,Hansen G; Haanaes OC
5,"Rizzardi G, Marulli G, Bortolotti L. Sleeve resections and bronchoplastic procedures in typical central carcinoid tumours. Thorac Cardiovasc Surg. 2008;56.",Sleeve resections and bronchoplastic procedures in typical central carcinoid tumours,Thorac Cardiovasc Surg,2008,56,,,,,Rizzardi G; Marulli G; Bortolotti L
6,"Venuta F, Rendina EA, De GT. Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment. Ann Thorac Surg. 2002;74.",Nd:YAG laser resection of lung cancer invading the airway as a bridge to surgery and palliative treatment,Ann Thorac Surg,2002,74,,,,,Venuta F; Rendina EA; De GT
7,"Cavaliere S, Foccoli P, Farina PL. Nd:YAG laser bronchoscopy. A five-year experience with 1396 applications in 1000 patients. Chest. 1988;94.",Nd:YAG laser bronchoscopy. A five-year experience with 1396 applications in 1000 patients,Chest,1988,94,,,,,Cavaliere S; Foccoli P; Farina PL
8,"Sutedja TG, Schreurs AJ, Vanderschueren RG. Bronchoscopic therapy in patients with intraluminal typical bronchial carcinoid. Chest. 1995;107.",Bronchoscopic therapy in patients with intraluminal typical bronchial carcinoid,Chest,1995,107,,,,,Sutedja TG; Schreurs AJ; Vanderschueren RG
9,"Jamal E, Nicholson M, Goldstraw AG, P. The feasibility of conservative resection for carcinoid tumours: is pneumonectomy ever necessary for uncomplicated cases?. Eur J Cardiothorac Surg. 2000;18.",The feasibility of conservative resection for carcinoid tumours: is pneumonectomy ever necessary for uncomplicated cases?,Eur J Cardiothorac Surg,2000,18,,,,,Jamal E; Nicholson M; Goldstraw AG; P
10,"Van Boxem TJ, Venmans BJ, Van Mourik JC. Bronchoscopic treatment of intraluminal typical carcinoid: a pilot study. J Thorac Cardiovasc Surg. 1998;116.",Bronchoscopic treatment of intraluminal typical carcinoid: a pilot study,J Thorac Cardiovasc Surg,1998,116,,,,,Van Boxem TJ; Venmans BJ; Van Mourik JC
11,"Brokx HA, Risse EK, Paul MA. Initial bronchoscopic treatment for patients with intraluminal bronchial carcinoids. J Thorac Cardiovasc Surg. 2007;133.",Initial bronchoscopic treatment for patients with intraluminal bronchial carcinoids,J Thorac Cardiovasc Surg,2007,133,,,,,Brokx HA; Risse EK; Paul MA
12,"Cavaliere S, Foccoli P, Toninelli C. Curative bronchoscopic laser therapy for surgically resectable tracheobronchial tumors: personal experience. J Bronchol. 2002;9.",Curative bronchoscopic laser therapy for surgically resectable tracheobronchial tumors: personal experience,J Bronchol,2002,9,,,,,Cavaliere S; Foccoli P; Toninelli C
13,Hansen G. Laser eradication of bronchial carcinoidswhen is therapeutic bronchoscopy the right option?. Minim Invasive Ther Allied Technol. 2001;10.,Laser eradication of bronchial carcinoidswhen is therapeutic bronchoscopy the right option?,Minim Invasive Ther Allied Technol,2001,10,,,,,Hansen G
14,"Costes M, Pujol V, J. Carcinoid tumors of the lung: do atypical features require aggressive management?. Ann Thorac Surg. 1995;59.",Carcinoid tumors of the lung: do atypical features require aggressive management?,Ann Thorac Surg,1995,59,,,,,Costes M; Pujol V; J
15,"Naalsund A, Rostad H, Strom EH. Carcinoid lung tumors-incidence, treatment and outcomes: a population-based study. Eur J Cardiothorac Surg. 2011;39.","Carcinoid lung tumors-incidence, treatment and outcomes: a population-based study",Eur J Cardiothorac Surg,2011,39,,,,,Naalsund A; Rostad H; Strom EH
16,"Stamatis G, Freitag L, Greschuchna D. Limited and radical resection for tracheal and bronchopulmonary carcinoid tumour. Report on 227 cases. Eur J Cardiothorac Surg. 1990;4.",Limited and radical resection for tracheal and bronchopulmonary carcinoid tumour. Report on 227 cases,Eur J Cardiothorac Surg,1990,4,,,,,Stamatis G; Freitag L; Greschuchna D
17,"Cavaliere S, Venuta F, Foccoli P. Endoscopic treatment of malignant airway obstructions in 2008 patients. Chest. 1996;110.",Endoscopic treatment of malignant airway obstructions in 2008 patients,Chest,1996,110,,,,,Cavaliere S; Venuta F; Foccoli P
18,"Hansen G, Sundset A. Transbronchial laser ablation of benign and malignant tumors. Minim Invasive Ther Allied Technol. 2006;15.",Transbronchial laser ablation of benign and malignant tumors,Minim Invasive Ther Allied Technol,2006,15,,,,,Hansen G; Sundset A
19,"Amjadi K, Voduc N, Cruysberghs Y. Impact of interventional bronchoscopy on quality of life in malignant airway obstruction. Respiration. 2008;76.",Impact of interventional bronchoscopy on quality of life in malignant airway obstruction,Respiration,2008,76,,,,,Amjadi K; Voduc N; Cruysberghs Y
20,"Van Boxem TJ, Muller M, Venmans B. Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a cost-effectiveness study. Chest. 1999;116.",Nd-YAG laser vs bronchoscopic electrocautery for palliation of symptomatic airway obstruction: a cost-effectiveness study,Chest,1999,116,,,,,Van Boxem TJ; Muller M; Venmans B
