#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Cerfolio RJ, Bass CS, Pask AH, Katholi CR. Predictors and treatment of persistent air leaks. Ann Thorac Surg. 2002;73(6).",Predictors and treatment of persistent air leaks,Ann Thorac Surg,2002,73,6,,,,Cerfolio RJ; Bass CS; Pask AH; Katholi CR
2,"Mueller MR, Marzluf BA. The anticipation and management of air leaks and residual spaces post lung resection. J Thorac Dis. 2014;6(3).",The anticipation and management of air leaks and residual spaces post lung resection,J Thorac Dis,2014,6,3,,,,Mueller MR; Marzluf BA
3,"Decamp MM, Blackstone EH, Naunheim KS. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82(1).",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,1,,,,Decamp MM; Blackstone EH; Naunheim KS
4,"Liberman M, Muzikansky A, Wright CD. Incidence and risk factors of persistent air leak after major pulmonary resection and use of chemical pleurodesis. Ann Thorac Surg. 2010;89(3).",Incidence and risk factors of persistent air leak after major pulmonary resection and use of chemical pleurodesis,Ann Thorac Surg,2010,89,3,,,,Liberman M; Muzikansky A; Wright CD
5,"Lazarus DR, Casal RF. Persistent air leaks: a review with an emphasis on bronchoscopic management. J Thorac Dis. 2017;9(11).",Persistent air leaks: a review with an emphasis on bronchoscopic management,J Thorac Dis,2017,9,11,,,,Lazarus DR; Casal RF
6,"Wood DE, Cerfolio RJ, Gonzalez X, Springmeyer SC. Bronchoscopic management of prolonged air leak. Clin Chest Med. 2010;31(1).",Bronchoscopic management of prolonged air leak,Clin Chest Med,2010,31,1,,,,Wood DE; Cerfolio RJ; Gonzalez X; Springmeyer SC
7,"Kovitz KL, French KD. Endobronchial valve placement and balloon occlusion for persistent air leak: procedure overview and new current procedural terminology codes for 2013. Chest. 2013;144(2).",Endobronchial valve placement and balloon occlusion for persistent air leak: procedure overview and new current procedural terminology codes for 2013,Chest,2013,144,2,,,,Kovitz KL; French KD
8, Approval order: humanitarian device exemption application for the IBV valve system. Approval order: humanitarian device exemption application for the IBV valve system. 2008;None.,Approval order: humanitarian device exemption application for the IBV valve system,Approval order: humanitarian device exemption application for the IBV valve system,2008,,,,,,
9,"Singhal S, Ferraris VA, Bridges CR. Management of alveolar air leaks after pulmonary resection. Ann Thorac Surg. 2010;89(4).",Management of alveolar air leaks after pulmonary resection,Ann Thorac Surg,2010,89,4,,,,Singhal S; Ferraris VA; Bridges CR
10,"Alphonso N, Tan C, Utley M. A prospective randomized controlled trial of suction versus non-suction to the underwater sealdrains following lung resection. Eur J Cardiothorac Surg. 2005;27(3).",A prospective randomized controlled trial of suction versus non-suction to the underwater sealdrains following lung resection,Eur J Cardiothorac Surg,2005,27,3,,,,Alphonso N; Tan C; Utley M
