#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Mueller MR, Marzluf BA. The anticipation and management of air leaks and residual spaces post lung resection. J Thorac Dis. 2014;6.",The anticipation and management of air leaks and residual spaces post lung resection,J Thorac Dis,2014,6,,,,,Mueller MR; Marzluf BA
2,Cerfolio RJ. Recent advances in the treatment of air leaks. Curr Opin Pulm Med. 2005;11.,Recent advances in the treatment of air leaks,Curr Opin Pulm Med,2005,11,,,,,Cerfolio RJ
3,"Cerfolio RJ, Bass CS, Pask AH. Predictors and treatment of persistent air leaks. Ann Thorac Surg. 2002;73.",Predictors and treatment of persistent air leaks,Ann Thorac Surg,2002,73,,,,,Cerfolio RJ; Bass CS; Pask AH
4,"Fabian T, Federico JA, Ponn RB. Fibrin glue in pulmonary resection: a prospective, randomized, blinded study. Ann Thorac Surg. 2003;75.","Fibrin glue in pulmonary resection: a prospective, randomized, blinded study",Ann Thorac Surg,2003,75,,,,,Fabian T; Federico JA; Ponn RB
5,"Brunelli A, Monteverde M, Borri A. Predictors of prolonged air leak after pulmonary lobectomy. Ann Thorac Surg. 2004;77.",Predictors of prolonged air leak after pulmonary lobectomy,Ann Thorac Surg,2004,77,,,,,Brunelli A; Monteverde M; Borri A
6,"Chee CB, Abisheganaden J, Yeo JK. Persistent airleak in spontaneous pneumothorax--clinical course and outcome. Respir Med. 1998;92.",Persistent airleak in spontaneous pneumothorax--clinical course and outcome,Respir Med,1998,92,,,,,Chee CB; Abisheganaden J; Yeo JK
7,"Decamp MM, Blackstone EH, Naunheim KS. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82.",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,,,,,Decamp MM; Blackstone EH; Naunheim KS
8,"Liberman M, Muzikansky A, Wright CD. Incidence and risk factors of persistent air leak after ma-jor pulmonary resection and use of chemical pleurodesis. Ann Thorac Surg. 2010;89.",Incidence and risk factors of persistent air leak after ma-jor pulmonary resection and use of chemical pleurodesis,Ann Thorac Surg,2010,89,,,,,Liberman M; Muzikansky A; Wright CD
9,"Gonfiotti A, Santini P, Jaus M. Safety and effectiveness of a new fibrin pleural air leak sealant: A multicenter, controlled, prospective, parallel-group, randomized clinical trial. Ann Thorac Surg. 2011;92.","Safety and effectiveness of a new fibrin pleural air leak sealant: A multicenter, controlled, prospective, parallel-group, randomized clinical trial",Ann Thorac Surg,2011,92,,,,,Gonfiotti A; Santini P; Jaus M
10,"Kawamura M, Gika M, Izumi Y. The sealing effect of fibrin glue against alveolar air leakage evaluated up to 48h; comparison between different methods of application. Eur J Cardiothorac Surg. 2005;28.",The sealing effect of fibrin glue against alveolar air leakage evaluated up to 48h; comparison between different methods of application,Eur J Cardiothorac Surg,2005,28,,,,,Kawamura M; Gika M; Izumi Y
