#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Shin JH, Song H, Ko G, Lim J, Yoon H, Sung K. Esophagorespiratory fistula: long-term results of palliative treatment with covered expandable metallic stents in 61 patients. Radiology. 2004;232. doi:10.1148/radiol.2321030733.",Esophagorespiratory fistula: long-term results of palliative treatment with covered expandable metallic stents in 61 patients,Radiology,2004,232,,,10.1148/radiol.2321030733,,Shin JH; Song H; Ko G; Lim J; Yoon H; Sung K
2,"Spaander M, Baron T, Siersema P et al.. Esophageal stenting for benign and malignant disease: European Society of Gastrointestinal Endoscopy (ESGE) Clinical Guideline. Endoscopy. 2016;48. doi:10.1055/s-0042-114210.",Esophageal stenting for benign and malignant disease: European Society of Gastrointestinal Endoscopy (ESGE) Clinical Guideline,Endoscopy,2016,48,,,10.1055/s-0042-114210,,Spaander M; Baron T; Siersema P; Fuccio L; Schumacher B; Escorsell À; Garcia-Pagán J; Dumonceau J; Conio M; De Ceglie A; Skowronek J; Nordsmark M; Seufferlein T; Van Gossum A; Hassan C; Repici A; Bruno M
3,Flege JB. Tracheoesophageal fistula caused by cuffed tracheostomy tube. Ann Surg. 1967;166.,Tracheoesophageal fistula caused by cuffed tracheostomy tube,Ann Surg,1967,166,,,,,Flege JB
4,"Muniappan A, Wain JC, Wright CD et al.. Surgical treatment of nonmalignant tracheoesophageal fistula: a thirty-five year experience. Ann Thorac Surg. 2013;95. doi:10.1016/j.athoracsur.2012.07.041.",Surgical treatment of nonmalignant tracheoesophageal fistula: a thirty-five year experience,Ann Thorac Surg,2013,95,,,10.1016/j.athoracsur.2012.07.041,,Muniappan A; Wain JC; Wright CD; Donahue DM; Gaissert H; Lanuti M; Mathisen DJ
5,"Bartels HE, Stein HJ, Siewert JR. Tracheobronchial lesions following oesophagectomy: prevalence, predisposing factors and outcome. Br J Surg. 1998;85. doi:10.1046/j.1365-2168.1998.00579.x.","Tracheobronchial lesions following oesophagectomy: prevalence, predisposing factors and outcome",Br J Surg,1998,85,,,10.1046/j.1365-2168.1998.00579.x,,Bartels HE; Stein HJ; Siewert JR
6,"Iannettoni MD, Whyte RI, Orringer MB. Catastrophic complications of the cervical esophagogastric anastomosis. J Thorac Cardiovasc Surg. 1995;110. doi:10.1016/S0022-5223(95)70072-2.",Catastrophic complications of the cervical esophagogastric anastomosis,J Thorac Cardiovasc Surg,1995,110,,,10.1016/S0022-5223(95)70072-2,,Iannettoni MD; Whyte RI; Orringer MB
7,"Gudovsky LM, Koroleva NS, Biryukov YB, Chernousov AF, Perelman MI. Tracheoesophageal fistulas. Ann Thorac Surg. 1993;55.",Tracheoesophageal fistulas,Ann Thorac Surg,1993,55,,,,,Gudovsky LM; Koroleva NS; Biryukov YB; Chernousov AF; Perelman MI
8,"Baisi A, Bonavina L, Narne S, Peracchia A. Benign tracheoesophageal fistula: results of surgical therapy. Dis Esophagus. 1999;12.",Benign tracheoesophageal fistula: results of surgical therapy,Dis Esophagus,1999,12,,,,,Baisi A; Bonavina L; Narne S; Peracchia A
9,"Silon B, Siddiqui AA, Taylor LJ, Arastu S, Soomro A, Adler DG. Endoscopic management of esophagorespiratory fistulas: a multicenter retrospective study of techniques and outcomes. Dig Dis Sci. 2017;62. doi:10.1007/s10620-016-4390-0.",Endoscopic management of esophagorespiratory fistulas: a multicenter retrospective study of techniques and outcomes,Dig Dis Sci,2017,62,,,10.1007/s10620-016-4390-0,,Silon B; Siddiqui AA; Taylor LJ; Arastu S; Soomro A; Adler DG
10,"Macchiarini P, Verhoye JP, Chapelier A, Fadel E, Dartevelle P. Evaluation and outcome of different surgical techniques for postintubation tracheoesophageal fistulas. J Thorac Cardiovasc Surg. 2000;119. doi:10.1016/S0022-5223(00)70182-6.",Evaluation and outcome of different surgical techniques for postintubation tracheoesophageal fistulas,J Thorac Cardiovasc Surg,2000,119,,,10.1016/S0022-5223(00)70182-6,,Macchiarini P; Verhoye JP; Chapelier A; Fadel E; Dartevelle P
