#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Burt BM, Shrager JB. The Prevention and Management of Air Leaks Following Pulmonary Resection. Thorac Surg Clin. 2015;25(4).",The Prevention and Management of Air Leaks Following Pulmonary Resection,Thorac Surg Clin,2015,25,4,,,26515941,Burt BM; Shrager JB
2,"Singhal S, Ferraris VA, Bridges CR, Clough ER, Mitchell JD, Fernando HC. Management of alveolar air leaks after pulmonary resection. Ann Thorac Surg. 2010;89(4).",Management of alveolar air leaks after pulmonary resection,Ann Thorac Surg,2010,89,4,,,20338378,Singhal S; Ferraris VA; Bridges CR; Clough ER; Mitchell JD; Fernando HC
3,"Mueller MR, Marzluf BA. The anticipation and management of air leaks and residual spaces post lung resection. J Thorac Dis. 2014;6(3).",The anticipation and management of air leaks and residual spaces post lung resection,J Thorac Dis,2014,6,3,,,24624291,Mueller MR; Marzluf BA
4,"Decamp MM, Blackstone EH, Naunheim KS, Krasna MJ, Wood DE, Meli YM. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82(1).",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,1,,,16798215,Decamp MM; Blackstone EH; Naunheim KS; Krasna MJ; Wood DE; Meli YM
5,"Abolhoda A, Liu D, Brooks A, Burt M. Prolonged air leak following radical upper lobectomy: an analysis of incidence and possible risk factors. Chest. 1998;113(6).",Prolonged air leak following radical upper lobectomy: an analysis of incidence and possible risk factors,Chest,1998,113,6,,,9631785,Abolhoda A; Liu D; Brooks A; Burt M
6,"Okereke I, Murthy SC, Alster JM, Blackstone EH, Rice TW. Characterization and importance of air leak after lobectomy. Ann Thorac Surg. 2005;79(4).",Characterization and importance of air leak after lobectomy,Ann Thorac Surg,2005,79,4,,,15797045,Okereke I; Murthy SC; Alster JM; Blackstone EH; Rice TW
7,"Stephan F, Boucheseiche S, Hollande J, Flahault A, Cheffi A, Bazelly B. Pulmonary complications following lung resection: a comprehensive analysis of incidence and possible risk factors. Chest. 2000;118(5).",Pulmonary complications following lung resection: a comprehensive analysis of incidence and possible risk factors,Chest,2000,118,5,,,11083673,Stephan F; Boucheseiche S; Hollande J; Flahault A; Cheffi A; Bazelly B
8,"Elsayed H, Mcshane J, Shackcloth M. Air leaks following pulmonary resection for lung cancer: is it a patient or surgeon related problem?. Ann R Coll Surg Engl. 2012;94(6).",Air leaks following pulmonary resection for lung cancer: is it a patient or surgeon related problem?,Ann R Coll Surg Engl,2012,94,6,,,22943333,Elsayed H; Mcshane J; Shackcloth M
9,"Brunelli A, Xiume F, Refai A et al.. Air leaks after lobectomy increase the risk of empyema but not of cardiopulmonary complications: a case-matched analysis. Chest. 2006;130(4).",Air leaks after lobectomy increase the risk of empyema but not of cardiopulmonary complications: a case-matched analysis,Chest,2006,130,4,,,17035450,Brunelli A; Xiume F; Refai A; Salati M; Marasco M; Sabbatini R; A
10,"Cerfolio RJ, Tummala RP, Holman WL, Zorn GL, Kirklin JK, Mcgiffin DC. A prospective algorithm for the management of air leaks after pulmonary resection. Ann Thorac Surg. 1998;66(5).",A prospective algorithm for the management of air leaks after pulmonary resection,Ann Thorac Surg,1998,66,5,,,9875779,Cerfolio RJ; Tummala RP; Holman WL; Zorn GL; Kirklin JK; Mcgiffin DC
