#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Miñambres E, Burón J, Ballesteros MA, Llorca J, Muñoz P, González-Castro A. Tracheal rupture after endotracheal intubation: a literature systematic review. Eur J Cardiothorac Surg. 2009;35(6).",Tracheal rupture after endotracheal intubation: a literature systematic review,Eur J Cardiothorac Surg,2009,35,6,,,,Miñambres E; Burón J; Ballesteros MA; Llorca J; Muñoz P; González-Castro A
2,"Farzanegan R, Alijanipour P, Akbarshahi H. Major airways trauma, management and long term results. Ann Thorac Cardiovasc Surg. 2011;17(6).","Major airways trauma, management and long term results",Ann Thorac Cardiovasc Surg,2011,17,6,,,,Farzanegan R; Alijanipour P; Akbarshahi H
3,"Symbas PN, Hatcher CR, Boehm GA. Acute penetrating tracheal trauma. Ann Thorac Surg. 1976;22(5).",Acute penetrating tracheal trauma,Ann Thorac Surg,1976,22,5,,,,Symbas PN; Hatcher CR; Boehm GA
4,"Lyons JD, Feliciano DV, Wyrzykowski AD, Rozycki GS. Modern management of penetrating tracheal injuries. Am Surg. 2013;79(2).",Modern management of penetrating tracheal injuries,Am Surg,2013,79,2,,,,Lyons JD; Feliciano DV; Wyrzykowski AD; Rozycki GS
5,"Kiser AC, Brien O, Detterbeck SM, FC. Blunt tracheobronchial injuries: treatment and outcomes. Ann Thorac Surg. 2001;71(6).",Blunt tracheobronchial injuries: treatment and outcomes,Ann Thorac Surg,2001,71,6,,,,Kiser AC; Brien O; Detterbeck SM; FC
6,"Massard G, Rougé C, Dabbagh A. Tracheobronchial lacerations after intubation and tracheostomy. Ann Thorac Surg. 1996;61(5).",Tracheobronchial lacerations after intubation and tracheostomy,Ann Thorac Surg,1996,61,5,,,,Massard G; Rougé C; Dabbagh A
7,"Schneider T, Storz K, Dienemann H, Hoffmann H. Management of iatrogenic tracheobronchial injuries: a retrospective analysis of 29 cases. Ann Thorac Surg. 2007;83(6).",Management of iatrogenic tracheobronchial injuries: a retrospective analysis of 29 cases,Ann Thorac Surg,2007,83,6,,,,Schneider T; Storz K; Dienemann H; Hoffmann H
8,"Seijo LM, Sterman DH. Interventional pulmonology. N Engl J Med. 2001;344(10).",Interventional pulmonology,N Engl J Med,2001,344,10,,,,Seijo LM; Sterman DH
9,"Noppen M, Schlesser M, Meysman M et al.. Bronchoscopic balloon dilatation in the combined management of postintubation stenosis of the trachea in adults. Chest. 1997;112(4).",Bronchoscopic balloon dilatation in the combined management of postintubation stenosis of the trachea in adults,Chest,1997,112,4,,,,Noppen M; Schlesser M; Meysman M; 'haese D; Peche J; Vincken R; W
10,"Sheski FD, Mathur PN. Long-term results of fiberoptic bronchoscopic balloon dilation in the management of benign tracheobronchial stenosis. Chest. 1998;114(3).",Long-term results of fiberoptic bronchoscopic balloon dilation in the management of benign tracheobronchial stenosis,Chest,1998,114,3,,,,Sheski FD; Mathur PN
