#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Deschamps C, Bernard A, Nichols FC et al.. Empyema and bronchopleural fistula after pulmonary resection: factors affecting incidence. Ann Thorac Surg. 2001;72.",Empyema and bronchopleural fistula after pulmonary resection: factors affecting incidence,Ann Thorac Surg,2001,72,,,,,Deschamps C; Bernard A; Nichols FC; Iii; Allen MS; Miller DL; Trastek VF; Jenkins GD; Pairolero PC
2,"Pforr A, Pagès PB, Baste JM et al.. Epithor Project French Society of Thoracic and Cardiovascular Surgery (2016) A predictive score for bronchopleural fistula established using the french database epithor. Ann Thorac Surg. None;101.",Epithor Project French Society of Thoracic and Cardiovascular Surgery (2016) A predictive score for bronchopleural fistula established using the french database epithor,Ann Thorac Surg,,101,,,,,Pforr A; Pagès PB; Baste JM; Thomas P; Falcoz PE; Barthes L; Dahan F; Bernard M; A
3,"Mazzella A, Olland A, Garelli E et al.. Video-assisted thoracoscopic surgery is a safe option for benign lung diseases requiring lobectomy. Surg Endosc. 2017;31(3).",Video-assisted thoracoscopic surgery is a safe option for benign lung diseases requiring lobectomy,Surg Endosc,2017,31,3,,,,Mazzella A; Olland A; Garelli E; Renaud S; Reeb J; Santelmo N; Falcoz PE; Massard G
4,"Okami J, Tokunaga T, Kanou T et al.. Randomized study comparing equal height staples with graduated height staples in bronchial closure. Ann Thorac Surg. 2017;104(3).",Randomized study comparing equal height staples with graduated height staples in bronchial closure,Ann Thorac Surg,2017,104,3,,,,Okami J; Tokunaga T; Kanou T; Kunou H; Ishida D; Fujiwara A; Ito Y; Higashiyama M
5,"Kutlu CA, Patlakoglu S, Tasci AE, Kapicibasi O. A novel technique for bronchopleural fistula closure: an hour glass-shaped stent. J Thorac Cardiovasc Surg. 2009;137.",A novel technique for bronchopleural fistula closure: an hour glass-shaped stent,J Thorac Cardiovasc Surg,2009,137,,,,,Kutlu CA; Patlakoglu S; Tasci AE; Kapicibasi O
6,"Klotz LV, Gesierich W, Schott-Hildebrand S, Hatz RA, Lindner M. Endobronchial closure of bronchopleural fistula using Amplatzer device. J Thorac Dis. 2015;7.",Endobronchial closure of bronchopleural fistula using Amplatzer device,J Thorac Dis,2015,7,,,,,Klotz LV; Gesierich W; Schott-Hildebrand S; Hatz RA; Lindner M
7,"Podgaetz E, Andrade RS, Zamora F, Gibson H, Dincer HE. Endobronchial treatment of bronchopleural fistulas by using intrabronchial valve system: a case series. Semin Thorac Cardiovasc Surg. 2015;27.",Endobronchial treatment of bronchopleural fistulas by using intrabronchial valve system: a case series,Semin Thorac Cardiovasc Surg,2015,27,,,,,Podgaetz E; Andrade RS; Zamora F; Gibson H; Dincer HE
8,"Chae EY, Shin JH, Song HY, Kim JH, Shim TS, Kim DK. Bronchopleural fistula treated with a silicone-covered bronchial occlusion stent. Ann Thorac Surg. 2010;89.",Bronchopleural fistula treated with a silicone-covered bronchial occlusion stent,Ann Thorac Surg,2010,89,,,,,Chae EY; Shin JH; Song HY; Kim JH; Shim TS; Kim DK
9,"Andreetti C, 'andrilli D, Ibrahim A et al.. Effective treatment of post-pneumonectomy bronchopleural fistula by conical fully covered self-expandable stent. Interact Cardiovasc Thorac Surg. 2012;14.",Effective treatment of post-pneumonectomy bronchopleural fistula by conical fully covered self-expandable stent,Interact Cardiovasc Thorac Surg,2012,14,,,,,Andreetti C; 'andrilli D; Ibrahim A; Ciccone M; Maurizi AM; Mattia G; Venuta A; Rendina F; EA
10,"Akulian J, Pathak V, Lessne M et al.. A novel approach to endobronchial closure of a bronchial pleural fistula. Ann Thorac Surg. 2014;98.",A novel approach to endobronchial closure of a bronchial pleural fistula,Ann Thorac Surg,2014,98,,,,,Akulian J; Pathak V; Lessne M; Hong K; Feller-Kopman D; Lee H; Yarmus L
