#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Reed MF, Mathisen DJ. Tracheoesophageal fistula. Chest Surg Clin N Am. 2003;13.",Tracheoesophageal fistula,Chest Surg Clin N Am,2003,13,,,,,Reed MF; Mathisen DJ
2,"Tomaselli F, Maier A, Sankin O. Successful endoscopical sealing of malignant esophageotracheal fistulae by using a covered self-expandable stenting system. Eur J Cardiothorac Surg. 2001;20.",Successful endoscopical sealing of malignant esophageotracheal fistulae by using a covered self-expandable stenting system,Eur J Cardiothorac Surg,2001,20,,,,,Tomaselli F; Maier A; Sankin O
3,"Stemerman DH, Caroline DF, Dabezies M. Nonexpandable silicone esophageal stents for treatment of malignant tracheoesophageal fistulas: complications and radiographic appearances. Abdom Imaging. 1997;22.",Nonexpandable silicone esophageal stents for treatment of malignant tracheoesophageal fistulas: complications and radiographic appearances,Abdom Imaging,1997,22,,,,,Stemerman DH; Caroline DF; Dabezies M
4,"Morgan RA, Ellul JP, Denton ER. Malignant esophageal fistulas and perforations: management with plastic-covered metallic endoprostheses. Radiology. 1997;204.",Malignant esophageal fistulas and perforations: management with plastic-covered metallic endoprostheses,Radiology,1997,204,,,,,Morgan RA; Ellul JP; Denton ER
5,"Herth F, Becker HD, Locicero J, Iii. Successful bronchoscopic placement of tracheobronchial stents without fluoroscopy. Chest. 2001;119.",Successful bronchoscopic placement of tracheobronchial stents without fluoroscopy,Chest,2001,119,,,,,Herth F; Becker HD; Locicero J; Iii
6,"Hegarty MM, Angorn IB, Bryer JV. Palliation of malignant esophago-respiratory fistulae by permanent indwelling prosthetic tube. Ann Surg. 1977;185.",Palliation of malignant esophago-respiratory fistulae by permanent indwelling prosthetic tube,Ann Surg,1977,185,,,,,Hegarty MM; Angorn IB; Bryer JV
7,"Hordijk ML, Dees J, Van Blankenstein M. The management of malignant esophago-respiratory fistulas with a cuffed prosthesis. Endoscopy. 1990;22.",The management of malignant esophago-respiratory fistulas with a cuffed prosthesis,Endoscopy,1990,22,,,,,Hordijk ML; Dees J; Van Blankenstein M
8,"Spivak H, Katariya K, Lo AY. Malignant tracheo-esophageal fistula: use of esophageal endoprosthesis. J Surg Oncol. 1996;63.",Malignant tracheo-esophageal fistula: use of esophageal endoprosthesis,J Surg Oncol,1996,63,,,,,Spivak H; Katariya K; Lo AY
9,"Shin JH, Song HY, Ko GY. Esophagorespiratory fistula: longterm results of palliative treatment with covered expandable metallic stents in 61 patients. Radiology. 2004;232.",Esophagorespiratory fistula: longterm results of palliative treatment with covered expandable metallic stents in 61 patients,Radiology,2004,232,,,,,Shin JH; Song HY; Ko GY
10,"Kozarek RA, Raltz S, Marcon N. Use of the 25 mm flanged esophageal Z stent for malignant dysphagia: a prospective multicenter trial. Gastrointest Endosc. 1997;46.",Use of the 25 mm flanged esophageal Z stent for malignant dysphagia: a prospective multicenter trial,Gastrointest Endosc,1997,46,,,,,Kozarek RA; Raltz S; Marcon N
11,"Ross WA, Alkassab F, Lynch PM. Evolving role of selfexpanding metal stents in the treatment of malignant dysphagia and fistulas. Gastrointest Endosc. 2007;65.",Evolving role of selfexpanding metal stents in the treatment of malignant dysphagia and fistulas,Gastrointest Endosc,2007,65,,,,,Ross WA; Alkassab F; Lynch PM
12,"May A, Ell C. Palliative treatment of malignant esophagorespiratory fistulas with Gianturco-Z stents. A prospective clinical trial and review of the literature on covered metal stents. Am J Gastroenterol. 1998;93.",Palliative treatment of malignant esophagorespiratory fistulas with Gianturco-Z stents. A prospective clinical trial and review of the literature on covered metal stents,Am J Gastroenterol,1998,93,,,,,May A; Ell C
13,"Raijman I, Siddique I, Ajani J. Palliation of malignant dysphagia and fistulae with coated expandable metal stents: experience with 101 patients. Gastrointest Endosc. 1998;48.",Palliation of malignant dysphagia and fistulae with coated expandable metal stents: experience with 101 patients,Gastrointest Endosc,1998,48,,,,,Raijman I; Siddique I; Ajani J
14, Quality of Life Questionnaire. Quality of Life Questionnaire. 2010;None.,Quality of Life Questionnaire,Quality of Life Questionnaire,2010,,,,,,
15,"Development C, Team. R: A Language and Environment for Statistical Computing. R: A Language and Environment for Statistical Computing. 2006;None.",R: A Language and Environment for Statistical Computing,R: A Language and Environment for Statistical Computing,2006,,,,,,Development C; Team
16,"Kvale PA, Simoff M, Prakash UB. Lung cancer. Palliative care. Chest. 2003;123.",Lung cancer. Palliative care,Chest,2003,123,,,,,Kvale PA; Simoff M; Prakash UB
17,"Freitag L, Tekolf E, Steveling H. Management of malignant esophagotracheal fistulas with airway stenting and double stenting. Chest. 1996;110.",Management of malignant esophagotracheal fistulas with airway stenting and double stenting,Chest,1996,110,,,,,Freitag L; Tekolf E; Steveling H
18,"Murthy S, Gonzalez-Stawinski GV, Rozas MS. Palliation of malignant aerodigestive fistulae with self-expanding metallic stents. Dis Esophagus. 2007;20.",Palliation of malignant aerodigestive fistulae with self-expanding metallic stents,Dis Esophagus,2007,20,,,,,Murthy S; Gonzalez-Stawinski GV; Rozas MS
19,"Frenken M. Best palliation in esophageal cancer: surgery, stenting, radiation, or what?. Dis Esophagus. 2001;14.","Best palliation in esophageal cancer: surgery, stenting, radiation, or what?",Dis Esophagus,2001,14,,,,,Frenken M
20,"Nomori H, Horio H, Imazu Y. Double stenting for esophageal and tracheobronchial stenoses. Ann Thorac Surg. 2000;70.",Double stenting for esophageal and tracheobronchial stenoses,Ann Thorac Surg,2000,70,,,,,Nomori H; Horio H; Imazu Y
21,"Colt HG, Meric B, Dumon JF. Double stents for carcinoma of the esophagus invading the tracheo-bronchial tree. Gastrointest Endosc. 1992;38.",Double stents for carcinoma of the esophagus invading the tracheo-bronchial tree,Gastrointest Endosc,1992,38,,,,,Colt HG; Meric B; Dumon JF
22,"Alexiou C, Neuhaus H, Kau RJ. Treatment of an esophagorespiratory fistula by insertion of an esophageal Montgomery and tracheal dynamic stent after failure of conventional endoprosthesis. ORL J Otorhinolaryngol Relat Spec. 1998;60.",Treatment of an esophagorespiratory fistula by insertion of an esophageal Montgomery and tracheal dynamic stent after failure of conventional endoprosthesis,ORL J Otorhinolaryngol Relat Spec,1998,60,,,,,Alexiou C; Neuhaus H; Kau RJ
