#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Riquet M, Mordant P, Pricopi C, Legras A, Foucault C, Dujon A. A review of 250 ten-year survivors after pneumonectomy for non-small-cell lung cancer. Eur J Cardiothorac Surg. 2014;45.",A review of 250 ten-year survivors after pneumonectomy for non-small-cell lung cancer,Eur J Cardiothorac Surg,2014,45,,,,,Riquet M; Mordant P; Pricopi C; Legras A; Foucault C; Dujon A
2,"Licker M, Spiliopoulos A, Frey JG, Robert J, Hhn L, De Perrot M. Risk factors for early mortality and major complications following pneumonectomy for non-small cell carcinoma of the lung. Chest. 2002;121.",Risk factors for early mortality and major complications following pneumonectomy for non-small cell carcinoma of the lung,Chest,2002,121,,,,,Licker M; Spiliopoulos A; Frey JG; Robert J; Hhn L; De Perrot M
3,"Hoffman PC, Mauer AM, Vokes EE. Lung cancer. Lancet. 2000;355.",Lung cancer,Lancet,2000,355,,,,,Hoffman PC; Mauer AM; Vokes EE
4,"Kim AW, Boffa DJ, Wang Z, Detterbeck FC. An analysis, systematic review, and meta-analysis of the perioperative mortality after neoadjuvant therapy and pneumonectomy for non-small cell lung cancer. J Thorac Cardiovasc Surg. 2012;143.","An analysis, systematic review, and meta-analysis of the perioperative mortality after neoadjuvant therapy and pneumonectomy for non-small cell lung cancer",J Thorac Cardiovasc Surg,2012,143,,,,,Kim AW; Boffa DJ; Wang Z; Detterbeck FC
5,"Song WA, Zhou NK, Chu WW, Liang XY, Tian CY, XD. Survival benefit of neoadjuvant chemotherapy in non-small cell lung cancer: an updated meta-analysis of 13 randomized control trials. J Thorac Oncol. 2010;5.",Survival benefit of neoadjuvant chemotherapy in non-small cell lung cancer: an updated meta-analysis of 13 randomized control trials,J Thorac Oncol,2010,5,,,,,Song WA; Zhou NK; Chu WW; Liang XY; Tian CY; XD
6,"Bozcuk H, Abali H, Coskun S, Cancer Committee L, Of T, Oncology G. The correlates of benefit from neoadjuvant chemotherapy before surgery in non-small-cell lung cancer: a metaregression analysis. World J Surg Oncol. 2012;10:161.",The correlates of benefit from neoadjuvant chemotherapy before surgery in non-small-cell lung cancer: a metaregression analysis,World J Surg Oncol,2012,10,,161,,,Bozcuk H; Abali H; Coskun S; Cancer Committee L; Of T; Oncology G
7,"Martin J, Ginsberg RJ, Abolhoda A, Bains MS, Downey RJ, Korst RJ. Morbidity and mortality after neoadjuvant therapy for lung cancer: the risks of right pneumonectomy. Ann Thorac Surg. 2001;72.",Morbidity and mortality after neoadjuvant therapy for lung cancer: the risks of right pneumonectomy,Ann Thorac Surg,2001,72,,,,,Martin J; Ginsberg RJ; Abolhoda A; Bains MS; Downey RJ; Korst RJ
8,"Doddoli C, Barlesi F, Trousse D, Robitail S, Yena S, Astoul P. One hundred consecutive pneumonectomies after induction therapy for non-small cell lung cancer: an uncertain balance between risks and benefits. J Thorac Cardiovasc Surg. 2005;130.",One hundred consecutive pneumonectomies after induction therapy for non-small cell lung cancer: an uncertain balance between risks and benefits,J Thorac Cardiovasc Surg,2005,130,,,,,Doddoli C; Barlesi F; Trousse D; Robitail S; Yena S; Astoul P
9,"Shekar K, Foot C, Fraser J, Ziegenfuss M, Hopkins P, Windsor M. Bronchopleural fistula: an update for intensivists. J Crit Care. 2010;25.",Bronchopleural fistula: an update for intensivists,J Crit Care,2010,25,,,,,Shekar K; Foot C; Fraser J; Ziegenfuss M; Hopkins P; Windsor M
10,"Zaheer S, Allen MS, Cassivi SD et al.. Postpneumonectomy empyema: results after the Clagett procedure. Ann Thorac Surg. 2006;82.",Postpneumonectomy empyema: results after the Clagett procedure,Ann Thorac Surg,2006,82,,,,,Zaheer S; Allen MS; Cassivi SD; Nichols FC; Iii; Johnson CH; Deschamps C
11,"Zakkar M, Kanagasabay R, Hunt I. No evidence that manual closure of the bronchial stump has a lower failure rate than mechanical stapler closure following anatomical lung resection. Interact Cardiovasc Thorac Surg. 2014;18.",No evidence that manual closure of the bronchial stump has a lower failure rate than mechanical stapler closure following anatomical lung resection,Interact Cardiovasc Thorac Surg,2014,18,,,,,Zakkar M; Kanagasabay R; Hunt I
