#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Maio D, Perrone M, Deschamps F, C, RG. A metaanalysis of the impact of bronchial stump coverage on the risk of bronchopleural fistula after pneumonectomy. Eur J Cardiothorac Surg. 2015;48.",A metaanalysis of the impact of bronchial stump coverage on the risk of bronchopleural fistula after pneumonectomy,Eur J Cardiothorac Surg,2015,48,,,,,Maio D; Perrone M; Deschamps F; C; RG
2,"Shekar K, Foot C, Fraser J, Ziegenfuss M, Hopkins P, Windsor M. Bronchopleural fistula: an update for intensivists. J Crit Care. 2010;25.",Bronchopleural fistula: an update for intensivists,J Crit Care,2010,25,,,,,Shekar K; Foot C; Fraser J; Ziegenfuss M; Hopkins P; Windsor M
3,"Sirbu H, Busch T, Aleksic I, Schreiner W, Oster O, Dalichau H. Bronchopleural fistula in the surgery of non-small cell lung cancer: incidence, risk factors, and management. Ann Thorac Cardiovasc Surg. 2001;7.","Bronchopleural fistula in the surgery of non-small cell lung cancer: incidence, risk factors, and management",Ann Thorac Cardiovasc Surg,2001,7,,,,,Sirbu H; Busch T; Aleksic I; Schreiner W; Oster O; Dalichau H
4,"Sonobe M, Nakagawa M, Ichinose M, Ikegami N, Nagasawa M, Shindo T. Analysis of risk factors in bronchopleural fistula after pulmonary resection for primary lung cancer. Eur J Cardiothorac Surg. 2000;18.",Analysis of risk factors in bronchopleural fistula after pulmonary resection for primary lung cancer,Eur J Cardiothorac Surg,2000,18,,,,,Sonobe M; Nakagawa M; Ichinose M; Ikegami N; Nagasawa M; Shindo T
5,"Satoh Y, Okumura S, Nakagawa K, Horiike A, Ohyanagi F, Nishio M. Postoperative ischemic change in bronchial stumps after primary lung cancer resection. Eur J Cardiothorac Surg. 2006;30(1).",Postoperative ischemic change in bronchial stumps after primary lung cancer resection,Eur J Cardiothorac Surg,2006,30,1,,,,Satoh Y; Okumura S; Nakagawa K; Horiike A; Ohyanagi F; Nishio M
6,"Yamamoto R, Tada H, Kishi A, Tojo T. Effects of preoperative chemotherapy and radiation therapy on human bronchial blood flow. J Thorac Cardiovasc Surg. 2000;119.",Effects of preoperative chemotherapy and radiation therapy on human bronchial blood flow,J Thorac Cardiovasc Surg,2000,119,,,,,Yamamoto R; Tada H; Kishi A; Tojo T
7,"Benhamed L, Bellier J, Fournier C, Akkad R, Mathieu D, Kipnis E. Postoperative ischemic bronchitis after lymph node dissection and primary lung cancer resection. Ann Thorac Surg. 2011;91.",Postoperative ischemic bronchitis after lymph node dissection and primary lung cancer resection,Ann Thorac Surg,2011,91,,,,,Benhamed L; Bellier J; Fournier C; Akkad R; Mathieu D; Kipnis E
8,"Zakkar M, Kanagasabay R, Hunt I. No evidence that manual closure of the bronchial stump has a lower failure rate than mechanical stapler closure following anatomical lung resection. Interact Cardiovasc Thorac Surg. 2014;18.",No evidence that manual closure of the bronchial stump has a lower failure rate than mechanical stapler closure following anatomical lung resection,Interact Cardiovasc Thorac Surg,2014,18,,,,,Zakkar M; Kanagasabay R; Hunt I
9,"Kawaguchi T, Watanabe S, Kawachi R, Suzuki K, Asamura H. The impact of residual tumor morphology on prognosis, recurrence, and fistula formation after lung cancer resection. J Thorac Oncol. 2008;3.","The impact of residual tumor morphology on prognosis, recurrence, and fistula formation after lung cancer resection",J Thorac Oncol,2008,3,,,,,Kawaguchi T; Watanabe S; Kawachi R; Suzuki K; Asamura H
10,"Jichen QV, Chen G, Jiang G, Ding J, Gao W, Chen C. Risk factor comparison and clinical analysis of early and late bronchopleural fistula after non-small cell lung cancer surgery. Ann Thorac Surg. 2009;88.",Risk factor comparison and clinical analysis of early and late bronchopleural fistula after non-small cell lung cancer surgery,Ann Thorac Surg,2009,88,,,,,Jichen QV; Chen G; Jiang G; Ding J; Gao W; Chen C
11,"Amato TA, Ashrafi AS, Schuchert MJ, Alshehab DS, Seely AJ, Shamji FM. Risk of pneumonectomy after induction therapy for locally advanced non small cell lung cancer. Ann Thorac Surg. 2009;88.",Risk of pneumonectomy after induction therapy for locally advanced non small cell lung cancer,Ann Thorac Surg,2009,88,,,,,Amato TA; Ashrafi AS; Schuchert MJ; Alshehab DS; Seely AJ; Shamji FM
12,"Uramoto H, Hanagiri T. The development of bronchopleural fistula in lung cancer patients after major surgery: 31 years of experience with 19 cases. Anticancer Res. 2011;31.",The development of bronchopleural fistula in lung cancer patients after major surgery: 31 years of experience with 19 cases,Anticancer Res,2011,31,,,,,Uramoto H; Hanagiri T
13,"Puri V, Bell TA, Crabtree JM, Kreisel TD, Krupnick D, AS. Completion pneumonectomy: outcomes for benign and malignant indications. Ann Thorac Surg. 2013;95.",Completion pneumonectomy: outcomes for benign and malignant indications,Ann Thorac Surg,2013,95,,,,,Puri V; Bell TA; Crabtree JM; Kreisel TD; Krupnick D; AS
14,"Hu XF, Duan L, Jiang GN, Wang H, Liu HC, Chen C. A clinical risk model for the evaluation of bronchopleural fistula in nonsmall cell lung cancer after pneumonectomy. Ann Thorac Surg. 2013;96.",A clinical risk model for the evaluation of bronchopleural fistula in nonsmall cell lung cancer after pneumonectomy,Ann Thorac Surg,2013,96,,,,,Hu XF; Duan L; Jiang GN; Wang H; Liu HC; Chen C
15,"Kobayashi S, Karube Y, Nishihira M, Inoue T, Araki O, Maeda S. Postoperative pyothorax a risk factor for acute exacerbation of idiopathic interstitial pneumonia following lung cancer resection. Gen Thorac Cardiovasc Surg. 2016;64.",Postoperative pyothorax a risk factor for acute exacerbation of idiopathic interstitial pneumonia following lung cancer resection,Gen Thorac Cardiovasc Surg,2016,64,,,,,Kobayashi S; Karube Y; Nishihira M; Inoue T; Araki O; Maeda S
16,"Li S, Fan J, Zhou J, Ren Y, Shen C, CG. Residual disease at the bronchial stump is positively associated with the risk of bronchoplerual fistula in patients undergoing lung cancer surgery: a meta-analysis. Interact Cardiovasc Thorac Surg. 2016;22.",Residual disease at the bronchial stump is positively associated with the risk of bronchoplerual fistula in patients undergoing lung cancer surgery: a meta-analysis,Interact Cardiovasc Thorac Surg,2016,22,,,,,Li S; Fan J; Zhou J; Ren Y; Shen C; CG
17,"Li S, Fan J, Liu J, Zhou J, Ren Y, Shen C. Neoadjuvant therapy and risk of bronchopleural fistula after lung cancer surgery: a systematic meta-analysis of 14912 patients. Jpn J Clin Oncol. 2016;46.",Neoadjuvant therapy and risk of bronchopleural fistula after lung cancer surgery: a systematic meta-analysis of 14912 patients,Jpn J Clin Oncol,2016,46,,,,,Li S; Fan J; Liu J; Zhou J; Ren Y; Shen C
18,"Li SJ, Fan J, Zhou J, Ren YT, Shen C, Che GW. Diabetes mellitus and risk of bronchopleural fistula after pulmonary resections: a meta-analysis. Ann Thorac Surg. 2016;102.",Diabetes mellitus and risk of bronchopleural fistula after pulmonary resections: a meta-analysis,Ann Thorac Surg,2016,102,,,,,Li SJ; Fan J; Zhou J; Ren YT; Shen C; Che GW
19,"Li SJ, Zhou XD, Huang J, Liu J, Tian L, Che GW. A systematic review and meta-analysis-does chronic obstructive pulmonary disease predispose to bronchopleural fistula formation in patients undergoing lung cancer surgery?. J Thorac Dis. 2016;8.",A systematic review and meta-analysis-does chronic obstructive pulmonary disease predispose to bronchopleural fistula formation in patients undergoing lung cancer surgery?,J Thorac Dis,2016,8,,,,,Li SJ; Zhou XD; Huang J; Liu J; Tian L; Che GW
20, The Japanese Association for Thoracic Surgery. Thoracic and cardiovascular surgery in Japan during 2014. Gen Thorac Cardiovasc Surg. 2016;64.,The Japanese Association for Thoracic Surgery. Thoracic and cardiovascular surgery in Japan during 2014,Gen Thorac Cardiovasc Surg,2016,64,,,,,
21,"Takahashi S, Go T, Kasai Y, Yokomise H, Shibata T. Relationship between dose-volume parameters and pulmonary complications after neoadjuvant chemoradiotherapy followed by surgery for lung cancer. Strahlenther Onkol. 2016;192.",Relationship between dose-volume parameters and pulmonary complications after neoadjuvant chemoradiotherapy followed by surgery for lung cancer,Strahlenther Onkol,2016,192,,,,,Takahashi S; Go T; Kasai Y; Yokomise H; Shibata T
22,"Matsuoka K, Imanishi N, Yamada T, Matsuoka T, Nagai S, Ueda M. Clinical results of bronchial stump coverage using free pericardial fat pad. Interact Cardiovasc Thorac Surg. 2016;23.",Clinical results of bronchial stump coverage using free pericardial fat pad,Interact Cardiovasc Thorac Surg,2016,23,,,,,Matsuoka K; Imanishi N; Yamada T; Matsuoka T; Nagai S; Ueda M
23,"Brewer LA, Bai AF. Surgery of the bronchi and trachea: experience with the pedicled pericardial fat graft reinforcement. Am J Surg. 1955;89.",Surgery of the bronchi and trachea: experience with the pedicled pericardial fat graft reinforcement,Am J Surg,1955,89,,,,,Brewer LA; Bai AF
24,"Yokomise H, Takahashi Y, Inui K, Yagi K, Mizuno H, Aoki M. Omentoplasty for postpneumonectomy bronchopleural fistulas. Eur J Cardiothorac Surg. 1994;8.",Omentoplasty for postpneumonectomy bronchopleural fistulas,Eur J Cardiothorac Surg,1994,8,,,,,Yokomise H; Takahashi Y; Inui K; Yagi K; Mizuno H; Aoki M
25,"Shrager JB, Wain JC, Wright CD, Donahue DM, Vlahakes GJ, Moncure AC. Omentum is highly effective in the management of complex cardiothoracic surgical problems. J Thorac Cardiovasc Surg. 2003;125.",Omentum is highly effective in the management of complex cardiothoracic surgical problems,J Thorac Cardiovasc Surg,2003,125,,,,,Shrager JB; Wain JC; Wright CD; Donahue DM; Vlahakes GJ; Moncure AC
26,"Sfyridis PG, Kapetanakis EI, Baltayiannis NE, Bolanos NV, Anagnostopoulos DS, Markogiannakis A. Bronchial stump buttressing with an intercostal muscle flap in diabetic patients. Ann Thorac Surg. 2007;84.",Bronchial stump buttressing with an intercostal muscle flap in diabetic patients,Ann Thorac Surg,2007,84,,,,,Sfyridis PG; Kapetanakis EI; Baltayiannis NE; Bolanos NV; Anagnostopoulos DS; Markogiannakis A
27,"Watanabe S, Asamura H, Suzuki K, Tsuchiya R. Recent results of postoperative mortality for surgical resections in lung cancer. Ann Thorac Surg. 2004;78.",Recent results of postoperative mortality for surgical resections in lung cancer,Ann Thorac Surg,2004,78,,,,,Watanabe S; Asamura H; Suzuki K; Tsuchiya R
