#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wang H, Ke M, Wang Z. Chinese expert consensus on diagnosis and management of aquired respiratory-digestive tract fistulas. Thorac Cancer. 2018;9(11).",Chinese expert consensus on diagnosis and management of aquired respiratory-digestive tract fistulas,Thorac Cancer,2018,9,11,,,,Wang H; Ke M; Wang Z
2,"Burt M, Diehl W, Martinin N. Malignant esophagorespiratoryfistula:managementoptions and survival. Ann Thorac Surg. 1991;52(6).",Malignant esophagorespiratoryfistula:managementoptions and survival,Ann Thorac Surg,1991,52,6,,,,Burt M; Diehl W; Martinin N
3,"Shin JH, Kim JH, Song HY. Interventional management of esophagorespiratory fistula. Korean J Radiol. 2010;11(2).",Interventional management of esophagorespiratory fistula,Korean J Radiol,2010,11,2,,,,Shin JH; Kim JH; Song HY
4,"Lenz CJ, Bick BL, Katzka D. Esophagorespiratory fistulas: survival and outcomes of treatment. J Clin Gastroenterol. 2018;52(2).",Esophagorespiratory fistulas: survival and outcomes of treatment,J Clin Gastroenterol,2018,52,2,,,,Lenz CJ; Bick BL; Katzka D
5,"Tazi-Mezalek R, Musani AI, Laroumagne S. Airway stenting in the management of iatrogenic tracheal injuries: 10-Year experience. Respirology. 2016;21(8).",Airway stenting in the management of iatrogenic tracheal injuries: 10-Year experience,Respirology,2016,21,8,,,,Tazi-Mezalek R; Musani AI; Laroumagne S
6,"Debourdeau A, Gonzalez JM, Dutau H. Endoscopic treatment of nonmalignant tracheoesophageal and bronchoesophageal fistula: results and prognostic factors for its success. Surg Endosc. 2019;33(2).",Endoscopic treatment of nonmalignant tracheoesophageal and bronchoesophageal fistula: results and prognostic factors for its success,Surg Endosc,2019,33,2,,,,Debourdeau A; Gonzalez JM; Dutau H
7,"Schweigert M, Dubecz A, Beron M. Management of anastomotic leakage-induced tracheobronchial fistula following oesophagecto-my: the role of endocopic stent insertion. Eur J Cardiothorac Surg. 2012;41(5).",Management of anastomotic leakage-induced tracheobronchial fistula following oesophagecto-my: the role of endocopic stent insertion,Eur J Cardiothorac Surg,2012,41,5,,,,Schweigert M; Dubecz A; Beron M
8,"Balazs A, Kupcsulik PK, Galambos Z. Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period. Eur J Cardiothorac Surg. 2008;34(5).",Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period,Eur J Cardiothorac Surg,2008,34,5,,,,Balazs A; Kupcsulik PK; Galambos Z
9,"Schweigert M, Solymosi N, Dubecz A. Endoscopic stent insertion for anastomotic leakage following oesophagectomy. Ann R Coll Surg Engl. 2013;95(1).",Endoscopic stent insertion for anastomotic leakage following oesophagectomy,Ann R Coll Surg Engl,2013,95,1,,,,Schweigert M; Solymosi N; Dubecz A
10,"Ke M, Wu X, Zeng J. The treatment strategy for tracheoesophageal fistula. J Thorac Dis. 2015;7(Suppl 4).",The treatment strategy for tracheoesophageal fistula,J Thorac Dis,2015,7,Suppl 4,,,,Ke M; Wu X; Zeng J
11,"Ramaid, Bivonaa. Endoscopic management of tracheoesophageal fistulas. Ann Gastroenterol. 2019;32(1).",Endoscopic management of tracheoesophageal fistulas,Ann Gastroenterol,2019,32,1,,,,Ramaid; Bivonaa
12,"Herth FJ, Peter S, Baty F. Combined airway and oesophageal stenting in malignant airway-oesophageal fistulas. a prospective study. EurRespirJ. 2010;36(6).",Combined airway and oesophageal stenting in malignant airway-oesophageal fistulas. a prospective study,EurRespirJ,2010,36,6,,,,Herth FJ; Peter S; Baty F
13,"Scappaticci E, Ardissone F, Baldi S. Closure of an iatrogenic trachea-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient. Ann Thorac Surg. 2004;77(1).",Closure of an iatrogenic trachea-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient,Ann Thorac Surg,2004,77,1,,,,Scappaticci E; Ardissone F; Baldi S
14,"Lippert E, Klebl FH, Schweller F. Fibrin glue in the endoscopic treatment of fistulae and anastomotic leakages of the gastrointestinal tract. Int J Colorectal Dis. 2011;26(3).",Fibrin glue in the endoscopic treatment of fistulae and anastomotic leakages of the gastrointestinal tract,Int J Colorectal Dis,2011,26,3,,,,Lippert E; Klebl FH; Schweller F
15,"Aworanti O, Awadalla S. Management of recurrent tracheoesophageal fistulas: a systematic review. Eur J Pediatr Surg. 2014;24(5).",Management of recurrent tracheoesophageal fistulas: a systematic review,Eur J Pediatr Surg,2014,24,5,,,,Aworanti O; Awadalla S
16,"Younessha, Harrisk. Bronchoscopic advances in the management of aerodigestive fistulas. J Thorac Dis. 2018;10(9).",Bronchoscopic advances in the management of aerodigestive fistulas,J Thorac Dis,2018,10,9,,,,Younessha; Harrisk
17,"Haito-Chavez Y, Law JK, Kratt T. International multicenter experience with an over-the-scope clipping device for endoscopic management of GI defects. Gastrointest Endosc. 2014;80(4).",International multicenter experience with an over-the-scope clipping device for endoscopic management of GI defects,Gastrointest Endosc,2014,80,4,,,,Haito-Chavez Y; Law JK; Kratt T
18,"Smith MR, Tidswell R, Tripathi D. Outcomes of endoscopic human thrombin injection in the management of gastric varices. Eur J Gastroenterol Hepatol. 2014;26(8).",Outcomes of endoscopic human thrombin injection in the management of gastric varices,Eur J Gastroenterol Hepatol,2014,26,8,,,,Smith MR; Tidswell R; Tripathi D
19,"Scordamaglio PR, Tedde ML, Minamoto H. Endoscopic treatment of tracheobronchial tree fistulas using atrial septal defect occluders: preliminary results. J Bras Pneumol. 2009;35(11).",Endoscopic treatment of tracheobronchial tree fistulas using atrial septal defect occluders: preliminary results,J Bras Pneumol,2009,35,11,,,,Scordamaglio PR; Tedde ML; Minamoto H
20,"Miller PE, Arias S, Lee H. Complications associated with the use of the amplatzer device for the management of tracheoesophageal fistula. Ann Am Thorac Soc. 2014;11(9).",Complications associated with the use of the amplatzer device for the management of tracheoesophageal fistula,Ann Am Thorac Soc,2014,11,9,,,,Miller PE; Arias S; Lee H
21,"Lee HJ, Lee H. Endoscopic vacuum-assisted closure with sponge for esophagotracheal fistula after esophagectomy. Surg Laparosc Endosc Percutan Tech. 2015;25(2).",Endoscopic vacuum-assisted closure with sponge for esophagotracheal fistula after esophagectomy,Surg Laparosc Endosc Percutan Tech,2015,25,2,,,,Lee HJ; Lee H
22,"Schweigert M, Posada-Gonzalez M, Dubecz A. Recurrent oesophageal cancer complicated by tracheo-oesophageal fistula: improved palliation by means of parallel tracheal and oesophageal stenting. Interact Cardiovasc Thorac Surg. 2014;18(2).",Recurrent oesophageal cancer complicated by tracheo-oesophageal fistula: improved palliation by means of parallel tracheal and oesophageal stenting,Interact Cardiovasc Thorac Surg,2014,18,2,,,,Schweigert M; Posada-Gonzalez M; Dubecz A
23,"Nasir BS, Tahiri M, Kazakov J. Palliation of concomitant tracheobronchial and esophageal disease using a combined airway and esophageal approach. Ann Thorac Surg. 2016;102(2).",Palliation of concomitant tracheobronchial and esophageal disease using a combined airway and esophageal approach,Ann Thorac Surg,2016,102,2,,,,Nasir BS; Tahiri M; Kazakov J
24,"Binkert CA, Petersen BD. Two fatal complications after parallel tracheal-esophageal stenting. Cardiovasc Intervent Radiol. 2002;25(2).",Two fatal complications after parallel tracheal-esophageal stenting,Cardiovasc Intervent Radiol,2002,25,2,,,,Binkert CA; Petersen BD
25,"Folch E, Keyes C. Airway stents. Ann Cardiothorac Surg. 2018;7(2).",Airway stents,Ann Cardiothorac Surg,2018,7,2,,,,Folch E; Keyes C
26,"Breen DP, Dutau H. On-site customization of silicone Stents: towards optimal palliation of complex airway conditions. Respiration. 2009;77.",On-site customization of silicone Stents: towards optimal palliation of complex airway conditions,Respiration,2009,77,,,,,Breen DP; Dutau H
