#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Tomaselli F, Maier A, Sankin O et al.. Successful endoscopical sealing of malignant esophageotracheal fistulae by using a covered self-expandable stenting system. Eur J Cardiothorac Surg. 2001;20.",Successful endoscopical sealing of malignant esophageotracheal fistulae by using a covered self-expandable stenting system,Eur J Cardiothorac Surg,2001,20,,,,,Tomaselli F; Maier A; Sankin O; Woltsche M; Pinter H; ¨ttner S; FM
2,"Reed MF, Mathisen DJ. Tracheoesophageal fistula. Chest Surg Clin N Am. 2003;13.",Tracheoesophageal fistula,Chest Surg Clin N Am,2003,13,,,,,Reed MF; Mathisen DJ
3,"Balazs A, Galambos Z, Kupcsulik PK. Characteristics of esophagorespiratory fistulas resulting from esophageal cancers: a single-center study on 243 cases in a 20-year period. World J Surg. 2009;33.",Characteristics of esophagorespiratory fistulas resulting from esophageal cancers: a single-center study on 243 cases in a 20-year period,World J Surg,2009,33,,,,,Balazs A; Galambos Z; Kupcsulik PK
4,"Balazs A, Kupcsulik PK, Galambos Z. Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period. Eur J Cardiothorac Surg. 2008;34.",Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period,Eur J Cardiothorac Surg,2008,34,,,,,Balazs A; Kupcsulik PK; Galambos Z
5,"Herth FJ, Peter S, Baty F, Eberhardt R, Leuppi JD, Chhajed PN. Combined airway and oesophageal stenting in malignant airwayoesophageal fistulas: a prospective study. Eur Respir J. 2010;36.",Combined airway and oesophageal stenting in malignant airwayoesophageal fistulas: a prospective study,Eur Respir J,2010,36,,,,,Herth FJ; Peter S; Baty F; Eberhardt R; Leuppi JD; Chhajed PN
6,"Shin JH, Song HY, Ko GY, Lim JO, Yoon HK, Sung KB. Esophagorespiratory fistula: long-term results of palliative treatment with covered expandable metallic stents in 61 patients. Radiology. 2004;232.",Esophagorespiratory fistula: long-term results of palliative treatment with covered expandable metallic stents in 61 patients,Radiology,2004,232,,,,,Shin JH; Song HY; Ko GY; Lim JO; Yoon HK; Sung KB
7,"Ross WA, Alkassab F, Lynch PM. Evolving role of selfexpanding metal stents in the treatment of malignant dysphagia and fistulas. Gastrointest Endosc. 2007;65.",Evolving role of selfexpanding metal stents in the treatment of malignant dysphagia and fistulas,Gastrointest Endosc,2007,65,,,,,Ross WA; Alkassab F; Lynch PM
8,"Zori AG, Jantz MA, Forsmark CE, Wagh MS. Simultaneous dual scope endotherapy of esophago-airway fistulas and obstructions. Dis Esophagus. 2014;27.",Simultaneous dual scope endotherapy of esophago-airway fistulas and obstructions,Dis Esophagus,2014,27,,,,,Zori AG; Jantz MA; Forsmark CE; Wagh MS
9,"Hu Y, Zhao YF, Chen LQ. Comparative study of different treatments for malignant tracheoesophageal/bronchoesophageal fistulae. Dis Esophagus. 2009;22.",Comparative study of different treatments for malignant tracheoesophageal/bronchoesophageal fistulae,Dis Esophagus,2009,22,,,,,Hu Y; Zhao YF; Chen LQ
10,"Kim KR, Shin JH, Song HY. Palliative treatment of malignant esophagopulmonary fistulas with covered expandable metallic stents. AJR Am J Roentgenol. 2009;193.",Palliative treatment of malignant esophagopulmonary fistulas with covered expandable metallic stents,AJR Am J Roentgenol,2009,193,,,,,Kim KR; Shin JH; Song HY
11,"Wang MQ, Sze DY, Wang ZP, Wang ZQ, Gao YA, Dake MD. Delayed complications after esophageal stent placement for treatment of malignant esophageal obstructions and esophagorespiratory fistulas. J Vasc Interv Radiol. 2001;12.",Delayed complications after esophageal stent placement for treatment of malignant esophageal obstructions and esophagorespiratory fistulas,J Vasc Interv Radiol,2001,12,,,,,Wang MQ; Sze DY; Wang ZP; Wang ZQ; Gao YA; Dake MD
12,"Adler DG, Pleskow DK. Closure of a benign tracheoesophageal fistula by using a coated, self-expanding plastic stent in a patient with a history of esophageal atresia. Gastrointest Endosc. 2005;61.","Closure of a benign tracheoesophageal fistula by using a coated, self-expanding plastic stent in a patient with a history of esophageal atresia",Gastrointest Endosc,2005,61,,,,,Adler DG; Pleskow DK
13,"Shin JH, Kim JH, Song HY. Interventional management of esophagorespiratory fistula. Korean J Radiol. 2010;11.",Interventional management of esophagorespiratory fistula,Korean J Radiol,2010,11,,,,,Shin JH; Kim JH; Song HY
