#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Lung Cancer Statistics. Lung Cancer Statistics. 2024;None.,Lung Cancer Statistics,Lung Cancer Statistics,2024,,,,,,
2,"Detterbeck FC, Nishimura KK, Cilento VJ. The International Association for the Study of Lung Cancer staging project: methods and guiding principles for the development of the ninth edition TNM classification. J Thorac Oncol. 2022;17(6).",The International Association for the Study of Lung Cancer staging project: methods and guiding principles for the development of the ninth edition TNM classification,J Thorac Oncol,2022,17,6,,,,Detterbeck FC; Nishimura KK; Cilento VJ
3,"Detterbeck FC, Asamura H, Rami-Porta R, Rusch VW. The only constant is change: introducing the International Association for the Study of Lung Cancer Proposals for the ninth edition of TNM stage classification of thoracic tumors. J Thorac Oncol. 2023;18(10).",The only constant is change: introducing the International Association for the Study of Lung Cancer Proposals for the ninth edition of TNM stage classification of thoracic tumors,J Thorac Oncol,2023,18,10,,,,Detterbeck FC; Asamura H; Rami-Porta R; Rusch VW
4,"Asamura H, Nishimura KK, Giroux DJ. Members of the IASLC Staging and Prognostic Factors Committee and of the Advisory Boards, and Participating Institutions. IASLC Lung Cancer Staging Project: the new database to inform revisions in the ninth edition of the TNM classification of lung cancer. J Thorac Oncol. 2023;18(5).","Members of the IASLC Staging and Prognostic Factors Committee and of the Advisory Boards, and Participating Institutions. IASLC Lung Cancer Staging Project: the new database to inform revisions in the ninth edition of the TNM classification of lung cancer",J Thorac Oncol,2023,18,5,,,,Asamura H; Nishimura KK; Giroux DJ
5,Rami-Porta R. Future perspectives on the TNM staging for lung cancer. Cancers. 2021;13(8):1940.,Future perspectives on the TNM staging for lung cancer,Cancers,2021,13,8,1940,,,Rami-Porta R
6,"Rami-Porta R, Nishimura KK, Giroux DJ. Members of the IASLC Staging and Prognostic Factors Committee and of the Advisory Boards, and Participating Institutions. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for revision of the TNM stage groups in the forthcoming (ninth) edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;24.","Members of the IASLC Staging and Prognostic Factors Committee and of the Advisory Boards, and Participating Institutions. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for revision of the TNM stage groups in the forthcoming (ninth) edition of the TNM classification for lung cancer",J Thorac Oncol,2024,,24,,,,Rami-Porta R; Nishimura KK; Giroux DJ
7,"Van Schil PE, Asamura H, Nishimura KK. The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revisions of the T-descriptors in the forthcoming ninth edition of the TNM classification for lung cancer. J Thorac Oncol. 2024;19(5).",The International Association for the Study of Lung Cancer Lung Cancer Staging Project: proposals for the revisions of the T-descriptors in the forthcoming ninth edition of the TNM classification for lung cancer,J Thorac Oncol,2024,19,5,,,,Van Schil PE; Asamura H; Nishimura KK
8,"Travis WD, Asamura H, Bankier AA. The IASLC Lung Cancer Staging Project: proposals for coding T categories for subsolid nodules and assessment of tumor size in part-solid tumors in the forthcoming eighth edition of the TNM classification of lung cancer. J Thorac Oncol. 2016;11(8).",The IASLC Lung Cancer Staging Project: proposals for coding T categories for subsolid nodules and assessment of tumor size in part-solid tumors in the forthcoming eighth edition of the TNM classification of lung cancer,J Thorac Oncol,2016,11,8,,,,Travis WD; Asamura H; Bankier AA
9,"Detterbeck FC, Boffa DJ, Kim AW, Tanoue LT. The eighth edition lung cancer stage classification. Chest. 2017;151(1).",The eighth edition lung cancer stage classification,Chest,2017,151,1,,,,Detterbeck FC; Boffa DJ; Kim AW; Tanoue LT
10,"Travis WD, Brambilla E, Nicholson AG. The 2015 World Health Organization classification of lung tumors: impact of genetic, clinical and radiologic advances since the 2004 classification. J Thorac Oncol. 2015;10(9).","The 2015 World Health Organization classification of lung tumors: impact of genetic, clinical and radiologic advances since the 2004 classification",J Thorac Oncol,2015,10,9,,,,Travis WD; Brambilla E; Nicholson AG
11,"Sun JD, Sugarbaker E, Byrne SC. Clinical outcomes of resected pure ground-glass, heterogeneous ground-glass, and part-solid pulmonary nodules. AJR Am J Roentgenol. 2024;10.","Clinical outcomes of resected pure ground-glass, heterogeneous ground-glass, and part-solid pulmonary nodules",AJR Am J Roentgenol,2024,10,,,,,Sun JD; Sugarbaker E; Byrne SC
