#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Slebos D, Shah PL, Herth F, Valipour A. Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction. Respiration. 2017;93(2).",Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction,Respiration,2017,93,2,,,,Slebos D; Shah PL; Herth F; Valipour A
2,"Gompelmann D, Benjamin N, Bischoff E. Survival after endoscopic valve therapy in patients with severe emphysema. Respiration. 2019;97(2).",Survival after endoscopic valve therapy in patients with severe emphysema,Respiration,2019,97,2,,,,Gompelmann D; Benjamin N; Bischoff E
3,"Hopkinson NS, Kemp SV, Toma TP. Atelectasis and survival after bronchoscopic lung volume reduction for COPD. Eur Respir J. 2011;37(6).",Atelectasis and survival after bronchoscopic lung volume reduction for COPD,Eur Respir J,2011,37,6,,,,Hopkinson NS; Kemp SV; Toma TP
4,"Koster TD, Klooster K, Hacken T, Nick HT, Van Dijk M, Slebos D. Endobronchial valve therapy for severe emphysema: an overview of valve-related complications and its management. Expert Rev Respir Med. 2020;14(12).",Endobronchial valve therapy for severe emphysema: an overview of valve-related complications and its management,Expert Rev Respir Med,2020,14,12,,,,Koster TD; Klooster K; Hacken T; Nick HT; Van Dijk M; Slebos D
5,"Van Dijk M, Sue R, Criner GJ. Expert statement: pneumothorax associated with one-way valve therapy for emphysema: 2020 update. Respiration. 2021;100(10).",Expert statement: pneumothorax associated with one-way valve therapy for emphysema: 2020 update,Respiration,2021,100,10,,,,Van Dijk M; Sue R; Criner GJ
6,"Gompelmann D, Lim H, Eberhardt R. Predictors of pneumothorax following endoscopic valve therapy in patients with severe emphysema. Int J Chron Obstruct Pulmon Dis. 2016;11.",Predictors of pneumothorax following endoscopic valve therapy in patients with severe emphysema,Int J Chron Obstruct Pulmon Dis,2016,11,,,,,Gompelmann D; Lim H; Eberhardt R
7,"Van Geffen WH, Klooster K, Hartman JE. Pleural adhesion assessment as a predictor for pneumothorax after endobronchial valve treatment. Respiration. 2017;94(2).",Pleural adhesion assessment as a predictor for pneumothorax after endobronchial valve treatment,Respiration,2017,94,2,,,,Van Geffen WH; Klooster K; Hartman JE
8,"Hu K, Benn BS, Doelken P, Chopra A. The tale of two pneumothoraces after bronchoscopic lung volume reduction. Ann Am Thorac Soc. 2022;19(9).",The tale of two pneumothoraces after bronchoscopic lung volume reduction,Ann Am Thorac Soc,2022,19,9,,,,Hu K; Benn BS; Doelken P; Chopra A
9,"Gompelmann D, Herth F, Slebos DJ. Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema. Respiration. 2014;87(6).",Pneumothorax following endobronchial valve therapy and its impact on clinical outcomes in severe emphysema,Respiration,2014,87,6,,,,Gompelmann D; Herth F; Slebos DJ
10,"Sterman DH, Mehta AC, Wood DE. A multicenter pilot study of a bronchial valve for the treatment of severe emphysema. Respiration. 2010;79(3).",A multicenter pilot study of a bronchial valve for the treatment of severe emphysema,Respiration,2010,79,3,,,,Sterman DH; Mehta AC; Wood DE
11,"Criner GJ, Sue R, Wright S. A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE). Am J Respir Crit Care Med. 2018;198(9).",A multicenter randomized controlled trial of Zephyr endobronchial valve treatment in heterogeneous emphysema (LIBERATE),Am J Respir Crit Care Med,2018,198,9,,,,Criner GJ; Sue R; Wright S
12,"Valipour A, Slebos D, Oliveira HG. Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema-potential mechanisms, treatment algorithm, and case examples. Respiration. 2014;87(6).","Expert statement: pneumothorax associated with endoscopic valve therapy for emphysema-potential mechanisms, treatment algorithm, and case examples",Respiration,2014,87,6,,,,Valipour A; Slebos D; Oliveira HG
13,"Achenbach T, Weinheimer O, Buschsieweke C, Heussel CP, Thelen M, Kauczor HU. Fully automatic detection and quantification of emphysema on thin section MD-CT of the chest by a new and dedicated software. Rofo. 2004;176(10).",Fully automatic detection and quantification of emphysema on thin section MD-CT of the chest by a new and dedicated software,Rofo,2004,176,10,,,,Achenbach T; Weinheimer O; Buschsieweke C; Heussel CP; Thelen M; Kauczor HU
14,"Klooster K, Hacken T, Nick HT. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373(24).",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,24,,,,Klooster K; Hacken T; Nick HT
15,"Gompelmann D, Benjamin N, Kontogianni K. Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves. Int J Chron Obstruct Pulmon Dis. 2016;11.",Clinical and radiological outcome following pneumothorax after endoscopic lung volume reduction with valves,Int J Chron Obstruct Pulmon Dis,2016,11,,,,,Gompelmann D; Benjamin N; Kontogianni K
16,"Gesierich W, Samitas K, Reichenberger F, Behr J. Collapse phenomenon during Chartis collateral ventilation assessment. Eur Respir J. 2016;47(6).",Collapse phenomenon during Chartis collateral ventilation assessment,Eur Respir J,2016,47,6,,,,Gesierich W; Samitas K; Reichenberger F; Behr J
17,"Egenod T, Tricard J, Fumat R. Two-stage bronchoscopic endobronchial valve treatment can lead to progressive lung volume reduction and may decrease pneumothorax risk. Int J Chron Obstruct Pulmon Dis. 2021;16.",Two-stage bronchoscopic endobronchial valve treatment can lead to progressive lung volume reduction and may decrease pneumothorax risk,Int J Chron Obstruct Pulmon Dis,2021,16,,,,,Egenod T; Tricard J; Fumat R
