#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Arora G, Rockey D, Gupta S. High in-hospital mortality after percutaneous endoscopic gastrostomy: Results of a nationwide population-based study. Clinical Gastroenterology and Hepatology. 2013;11(11).",High in-hospital mortality after percutaneous endoscopic gastrostomy: Results of a nationwide population-based study,Clinical Gastroenterology and Hepatology,2013,11,11,,,,Arora G; Rockey D; Gupta S
2,"Standards Of Practice, Committee, Anderson MA et al.. Management of antithrombotic agents for endoscopic procedures. Gastrointestinal Endoscopy. 2009;70(6).",Management of antithrombotic agents for endoscopic procedures,Gastrointestinal Endoscopy,2009,70,6,,,,Standards Of Practice; Committee; Anderson MA; Ben-Menachem T; Ben-Menachem T; Gan SI; Appalaneni V; Banerjee S; Cash BD; Dominitz JA
3,"Bechtold ML, Matteson ML, Choudhary A, Puli SR, Jiang PP, Roy PK. Early versus delayed feeding after placement of a percutaneous endoscopic gastrostomy: A meta-analysis. American Journal of Gastroenterology. 2008;103(11).",Early versus delayed feeding after placement of a percutaneous endoscopic gastrostomy: A meta-analysis,American Journal of Gastroenterology,2008,103,11,,,,Bechtold ML; Matteson ML; Choudhary A; Puli SR; Jiang PP; Roy PK
4,"Beer KT, Krause KB, Zuercher T, Stanga Z. Early percutaneous endoscopic gastrostomy insertion maintains nutritional state in patients with aerodigestive tract cancer. Nutrition and Cancer. 2005;52(1).",Early percutaneous endoscopic gastrostomy insertion maintains nutritional state in patients with aerodigestive tract cancer,Nutrition and Cancer,2005,52,1,,,,Beer KT; Krause KB; Zuercher T; Stanga Z
5,"Biswas S, Dontukurthy S, Rosenzweig MG, Kothuru R, Abrol S. Buried bumper syndrome revisited: A rare but potentially fatal complication of PEG tube placement. Case Reports in Critical Care. 2014;None:634953.",Buried bumper syndrome revisited: A rare but potentially fatal complication of PEG tube placement,Case Reports in Critical Care,2014,,,634953,,,Biswas S; Dontukurthy S; Rosenzweig MG; Kothuru R; Abrol S
6,"Blomberg J, Lagergren P, Martin L, Mattsson F, Lagergren J. Novel approach to antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG): Randomised controlled trial. British Medical Journal. 2010;341:3115.",Novel approach to antibiotic prophylaxis in percutaneous endoscopic gastrostomy (PEG): Randomised controlled trial,British Medical Journal,2010,341,,3115,,,Blomberg J; Lagergren P; Martin L; Mattsson F; Lagergren J
7,"Blumenstein I, Shastri YM, Stein J. Gastroenteric tubefeeding: Techniques, problems and solutions. World Journal of Gastroenterology. 2014;20(26).","Gastroenteric tubefeeding: Techniques, problems and solutions",World Journal of Gastroenterology,2014,20,26,,,,Blumenstein I; Shastri YM; Stein J
8,"Born P, Winker J, Jung A, Strebel H. Buried bumper-The endoscopic approach. Arab Journal of Gastroenterology. 2014;15(2).",Buried bumper-The endoscopic approach,Arab Journal of Gastroenterology,2014,15,2,,,,Born P; Winker J; Jung A; Strebel H
9,"Brown T, Banks M, Hughes B, Kenny L, Lin C, Bauer J. Protocol for a randomized controlled trial of early prophylactic feeding via gastrostomy versus standard care in high risk patients with head and neck cancer. BioMed Central Nursing. 2014;13:17.",Protocol for a randomized controlled trial of early prophylactic feeding via gastrostomy versus standard care in high risk patients with head and neck cancer,BioMed Central Nursing,2014,13,,17,,,Brown T; Banks M; Hughes B; Kenny L; Lin C; Bauer J
10,Cady J. Nutritional support during radiotherapy for head and neck cancer: The role of prophylactic feeding tube placement. Clinical Journal of Oncology Nursing. 2007;11(6).,Nutritional support during radiotherapy for head and neck cancer: The role of prophylactic feeding tube placement,Clinical Journal of Oncology Nursing,2007,11,6,,,,Cady J
