#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ault MJ, Rosen BT, Scher J, Feinglass J, Barsuk JH. Thoracentesis outcomes: a 12-year experience. Thorax. 2015;70.",Thoracentesis outcomes: a 12-year experience,Thorax,2015,70,,,,,Ault MJ; Rosen BT; Scher J; Feinglass J; Barsuk JH
2,Sahn SA. Pleural effusions of extravascular origin. Clin. Chest Med. 2006;27.,Pleural effusions of extravascular origin,Clin. Chest Med,2006,27,,,,,Sahn SA
3,"Owings MF, Kozak LJ. Ambulatory and inpatient procedures in the United States, 1996. Vital Health Stat. 1998;13.","Ambulatory and inpatient procedures in the United States, 1996",Vital Health Stat,1998,13,,,,,Owings MF; Kozak LJ
4,Light RW. Pleural diseases. Dis. Mon. 1992;38.,Pleural diseases,Dis. Mon,1992,38,,,,,Light RW
5,"David F, Richard L. Pleural Disease. N. Engl. J. Med. 2018;378.",Pleural Disease,N. Engl. J. Med,2018,378,,,,,David F; Richard L
6,Dancel R. Recommendations on the Use of Ultrasound Guidance for Adult Thoracentesis: A Position Statement of the Society of Hospital Medicine. J. Hosp. Med. 2018;13.,Recommendations on the Use of Ultrasound Guidance for Adult Thoracentesis: A Position Statement of the Society of Hospital Medicine,J. Hosp. Med,2018,13,,,,,Dancel R
7,"Diacon AH, Brutsche MH, Solèr M. Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound. Chest. 2003;123.",Accuracy of pleural puncture sites: a prospective comparison of clinical examination with ultrasound,Chest,2003,123,,,,,Diacon AH; Brutsche MH; Solèr M
8,"Grogan DR. Complications associated with thoracentesis. A prospective, randomized study comparing three different methods. Arch. Intern. Med. 1990;150.","Complications associated with thoracentesis. A prospective, randomized study comparing three different methods",Arch. Intern. Med,1990,150,,,,,Grogan DR
9,"Cantey EP, Walter JM, Corbridge T, Barsuk JH. Complications of thoracentesis: incidence, risk factors, and strategies for prevention. Curr. Opin. Pulm. Med. 2016;22.","Complications of thoracentesis: incidence, risk factors, and strategies for prevention",Curr. Opin. Pulm. Med,2016,22,,,,,Cantey EP; Walter JM; Corbridge T; Barsuk JH
10,Jones PW. Ultrasound-guided thoracentesis: is it a safer method?. Chest. 2003;123.,Ultrasound-guided thoracentesis: is it a safer method?,Chest,2003,123,,,,,Jones PW
11,"Lentz RJ. Routine monitoring with pleural manometry during therapeutic largevolume thoracentesis to prevent pleural-pressure-related complications: a multicentre, single-blind randomised controlled trial. Lancet Respir Med. 2019;7.","Routine monitoring with pleural manometry during therapeutic largevolume thoracentesis to prevent pleural-pressure-related complications: a multicentre, single-blind randomised controlled trial",Lancet Respir Med,2019,7,,,,,Lentz RJ
12,"Rakesh HR, Gelzinis TA. The Updated ATS/STS/STR Clinical Practice Guidelines on the Management of Malignant Pleural Effusions: What Is New in 2018?. J. Cardiothorac. Vasc. Anesth. 2019;33.",The Updated ATS/STS/STR Clinical Practice Guidelines on the Management of Malignant Pleural Effusions: What Is New in 2018?,J. Cardiothorac. Vasc. Anesth,2019,33,,,,,Rakesh HR; Gelzinis TA
13,Feller-Kopman DJ. Management of Malignant Pleural Effusions. An Official ATS/STS/STR Clinical Practice Guideline. Am. J. Respir. Crit. Care Med. 2018;198.,Management of Malignant Pleural Effusions. An Official ATS/STS/STR Clinical Practice Guideline,Am. J. Respir. Crit. Care Med,2018,198,,,,,Feller-Kopman DJ
14,Cavanna L. Ultrasound guidance reduces pneumothorax rate and improves safety of thoracentesis in malignant pleural effusion: report on 445 consecutive patients with advanced cancer. World J. Surg. Oncol. 2014;12:139.,Ultrasound guidance reduces pneumothorax rate and improves safety of thoracentesis in malignant pleural effusion: report on 445 consecutive patients with advanced cancer,World J. Surg. Oncol,2014,12,,139,,,Cavanna L
15,Zhang M. Rapid detection of pneumothorax by ultrasonography in patients with multiple trauma. Crit. Care. 2006;10:112.,Rapid detection of pneumothorax by ultrasonography in patients with multiple trauma,Crit. Care,2006,10,,112,,,Zhang M
16,Martínez Redondo J. Higher Accuracy of Lung Ultrasound over Chest X-ray for Early Diagnosis of COVID-19 Pneumonia. Int. J. Environ. Res. Public Health. 2021;18.,Higher Accuracy of Lung Ultrasound over Chest X-ray for Early Diagnosis of COVID-19 Pneumonia,Int. J. Environ. Res. Public Health,2021,18,,,,,Martínez Redondo J
17,Brogi E. Could the use of bedside lung ultrasound reduce the number of chest x-rays in the intensive care unit?. Cardiovasc. Ultrasound. 2017;15:23.,Could the use of bedside lung ultrasound reduce the number of chest x-rays in the intensive care unit?,Cardiovasc. Ultrasound,2017,15,,23,,,Brogi E
18,Touw HR. Lung ultrasound compared with chest X-ray in diagnosing postoperative pulmonary complications following cardiothoracic surgery: a prospective observational study. Anaesthesia. 2018;73.,Lung ultrasound compared with chest X-ray in diagnosing postoperative pulmonary complications following cardiothoracic surgery: a prospective observational study,Anaesthesia,2018,73,,,,,Touw HR
19,"Brockelsby C, Ahmed M, Gautam M. P1 Pleural effusion size estimation: US, CXR or CT?. Thorax. 2016;71.","P1 Pleural effusion size estimation: US, CXR or CT?",Thorax,2016,71,,,,,Brockelsby C; Ahmed M; Gautam M
20,Marini TJ. Lung Ultrasound: The Essentials. Radiol Cardiothorac Imaging. 2021;3:200564.,Lung Ultrasound: The Essentials,Radiol Cardiothorac Imaging,2021,3,,200564,,,Marini TJ
21,Roberts ME. British Thoracic Society Guideline for pleural disease. Thorax. 2023;78.,British Thoracic Society Guideline for pleural disease,Thorax,2023,78,,,,,Roberts ME
22,Harris PA. The REDCap consortium: Building an international community of software platform partners. J. Biomed. Inform. 2019;95:103208.,The REDCap consortium: Building an international community of software platform partners,J. Biomed. Inform,2019,95,,103208,,,Harris PA
23,Harris PA. Research electronic data capture (REDCap)--a metadata-driven methodology and workflow process for providing translational research informatics support. J. Biomed. Inform. 2009;42.,Research electronic data capture (REDCap)--a metadata-driven methodology and workflow process for providing translational research informatics support,J. Biomed. Inform,2009,42,,,,,Harris PA
24,"Banka R, Terrington D, Mishra EK. Management of Septated Malignant Pleural Effusions. Curr Pulmonol Rep. 2018;7.",Management of Septated Malignant Pleural Effusions,Curr Pulmonol Rep,2018,7,,,,,Banka R; Terrington D; Mishra EK
25,Psallidas I. Assessment of patient-reported outcome measures in pleural interventions. BMJ Open Respir Res. 2017;4:171.,Assessment of patient-reported outcome measures in pleural interventions,BMJ Open Respir Res,2017,4,,171,,,Psallidas I
26,"Ibitoye BO, Idowu BM, Ogunrombi AB, Afolabi BI. Ultrasonographic quantification of pleural effusion: comparison of four formulae. Ultrasonography. 2018;37.",Ultrasonographic quantification of pleural effusion: comparison of four formulae,Ultrasonography,2018,37,,,,,Ibitoye BO; Idowu BM; Ogunrombi AB; Afolabi BI
27,"Landis JR, Koch GG. The measurement of observer agreement for categorical data. Biometrics. 1977;33.",The measurement of observer agreement for categorical data,Biometrics,1977,33,,,,,Landis JR; Koch GG
28,"Vach W, Gerke O. Gwet's AC1 is not a substitute for Cohen's kappa -A comparison of basic properties. MethodsX. 2023;10:102212.",Gwet's AC1 is not a substitute for Cohen's kappa -A comparison of basic properties,MethodsX,2023,10,,102212,,,Vach W; Gerke O
