#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sriratanaviriyakul N, Lam F, Morrissey BM. Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review. American Thoracic Society. 2015;None.",Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review,American Thoracic Society,2015,,,,,,Sriratanaviriyakul N; Lam F; Morrissey BM
2,"Sriratanaviriyakul N, Lam F, Morrissey BM. Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review. International Conference 2015. 2015;None.",Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review,International Conference 2015,2015,,,,,,Sriratanaviriyakul N; Lam F; Morrissey BM
3,"Arney KL, Judson MA, Sahn SA. Airway obstruction arising from blood clot: three reports and a review of the literature. Chest. 1999;115.",Airway obstruction arising from blood clot: three reports and a review of the literature,Chest,1999,115,,,,,Arney KL; Judson MA; Sahn SA
4,Thomson DB. Endobronchial streptokinase to dissolve a right mainstem clot. Chest. 1986;89:904.,Endobronchial streptokinase to dissolve a right mainstem clot,Chest,1986,89,,904,,,Thomson DB
5,"Homasson J, Vergnon J. Cryotherapy to extract obstructing blood clots. J Bronchol Interv Pulmonol. 2002;9.",Cryotherapy to extract obstructing blood clots,J Bronchol Interv Pulmonol,2002,9,,,,,Homasson J; Vergnon J
6,"Mathur PN, Wolf KM, Busk MF. Fiberoptic bronchoscopic cryotherapy in the management of tracheobronchial obstruction. Chest. 1996;110.",Fiberoptic bronchoscopic cryotherapy in the management of tracheobronchial obstruction,Chest,1996,110,,,,,Mathur PN; Wolf KM; Busk MF
7,"Hetzel J, Eberhardt R, Herth FJ. Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial. Eur Respir J. 2012;39.",Cryobiopsy increases the diagnostic yield of endobronchial biopsy: a multicentre trial,Eur Respir J,2012,39,,,,,Hetzel J; Eberhardt R; Herth FJ
8,"Pajares V, Puzo C, Castillo D. Diagnostic yield of transbronchial cryobiopsy in interstitial lung disease: a randomized trial. Respirology. 2014;19.",Diagnostic yield of transbronchial cryobiopsy in interstitial lung disease: a randomized trial,Respirology,2014,19,,,,,Pajares V; Puzo C; Castillo D
9,"Fruchter O, Fridel L, Rosengarten D. Transbronchial cryo-biopsy in lung transplantation patients: first report. Respirology. 2013;18.",Transbronchial cryo-biopsy in lung transplantation patients: first report,Respirology,2013,18,,,,,Fruchter O; Fridel L; Rosengarten D
10,"Weerdt SD, Noppen M, Remels L. Successful removal of a massive endobronchial blood clot by means of cryotherapy. J Bronchol Interv Pulmonol. 2005;12.",Successful removal of a massive endobronchial blood clot by means of cryotherapy,J Bronchol Interv Pulmonol,2005,12,,,,,Weerdt SD; Noppen M; Remels L
11,"Schummer W, Schummer C. Hemorrhagic tracheobronchial obstruction. J Bronchol Interv Pulmonol. 2001;8:236.",Hemorrhagic tracheobronchial obstruction,J Bronchol Interv Pulmonol,2001,8,,236,,,Schummer W; Schummer C
12,"Schumann C, Kropf C, Rudiger S. Removal of an aspirated foreign body with a flexible cryoprobe. Respir Care. 2010;55.",Removal of an aspirated foreign body with a flexible cryoprobe,Respir Care,2010,55,,,,,Schumann C; Kropf C; Rudiger S
13,"Bhardwaj B, Youness BH, Awab HA. Bronchoscopic cryoextraction: a novel approach for the removal of massive endobronchial blood clots causing acute airway obstruction. Southwest J Pulm Crit Care. 2013;7.",Bronchoscopic cryoextraction: a novel approach for the removal of massive endobronchial blood clots causing acute airway obstruction,Southwest J Pulm Crit Care,2013,7,,,,,Bhardwaj B; Youness BH; Awab HA
14,"Lee H, Leem CS, Lee JH. Successful removal of endobronchial blood clots using bronchoscopic cry-otherapy at bedside in the intensive care unit. Tuberc Respir Dis. 2014;77.",Successful removal of endobronchial blood clots using bronchoscopic cry-otherapy at bedside in the intensive care unit,Tuberc Respir Dis,2014,77,,,,,Lee H; Leem CS; Lee JH
15,"Fruchter O, Kramer MR. Retrieval of various aspirated foreign bodies by flexible cryoprobe: in vitro feasibility study. Clin Respir J. 2015;9.",Retrieval of various aspirated foreign bodies by flexible cryoprobe: in vitro feasibility study,Clin Respir J,2015,9,,,,,Fruchter O; Kramer MR
16,"Paul H, Brian KY, M. Extracorporeal membrane oxygenation coupled with multimodality therapy in an adult with plastic bronchitis. C53. Critical Care Systems Issues. 2013;None.",Extracorporeal membrane oxygenation coupled with multimodality therapy in an adult with plastic bronchitis,C53. Critical Care Systems Issues,2013,,,,,,Paul H; Brian KY; M
17,"Schumann C, Hetzel M, Babiak AJ. Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis. J Thorac Cardiovasc Surg. 2010;139.",Endobronchial tumor debulking with a flexible cryoprobe for immediate treatment of malignant stenosis,J Thorac Cardiovasc Surg,2010,139,,,,,Schumann C; Hetzel M; Babiak AJ
